,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,15.708374505928854,12.559997422929484,18.60637509266123,52.80539772727273,51.54785297812712,53.96293550778354,31.486227766798418,35.892149598943405,27.430689399555224
1,Westchester County (Southwest)--Yonkers City PUMA,13.805522208883552,7.923930269413629,17.391304347826086,61.644657863145255,77.65451664025356,51.8840579710145,24.54981992797119,14.421553090332806,30.72463768115942
2,St. Lawrence County PUMA,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",28.75536480686695,11.188811188811188,56.666666666666664,64.37768240343348,77.62237762237763,43.333333333333336,6.866952789699571,11.188811188811188,0.0
4,Erie County (Central) PUMA,8.0,0.0,13.636363636363635,70.0,46.774193548387096,86.36363636363636,22.0,53.2258064516129,0.0
5,Monroe County (South) PUMA,58.69565217391305,58.69565217391305,#DIV/0!,22.282608695652172,22.282608695652172,#DIV/0!,19.021739130434785,19.021739130434785,#DIV/0!
6,Onondaga County (North) PUMA,100.0,100.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",10.936916759985069,6.745737583395107,15.18796992481203,45.651362448674874,50.40770941438102,40.82706766917293,43.41172079134005,42.84655300222387,43.984962406015036
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",15.217391304347828,13.05732484076433,100.0,27.32919254658385,28.02547770700637,0.0,57.453416149068325,58.917197452229296,0.0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,36.36363636363637,48.97959183673469,0.0,35.60606060606061,13.26530612244898,100.0,28.030303030303028,37.755102040816325,0.0
10,Suffolk County (Northwest)--Smithtown Town PUMA,86.0,100.0,69.56521739130434,14.000000000000002,0.0,30.434782608695656,0.0,0.0,0.0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",10.242587601078167,9.82905982905983,10.948905109489052,43.126684636118604,50.427350427350426,30.656934306569344,46.63072776280324,39.743589743589745,58.3941605839416
12,Dutchess County (Southwest) PUMA,19.51951951951952,10.714285714285714,22.48995983935743,29.72972972972973,67.85714285714286,16.867469879518072,50.750750750750754,21.428571428571427,60.6425702811245
13,Ulster County (East) PUMA,11.03896103896104,6.353591160220995,28.000000000000004,51.082251082251084,51.657458563535904,49.0,37.878787878787875,41.988950276243095,23.0
14,Orange County (Northwest) PUMA,12.524084778420038,10.652920962199312,14.912280701754385,63.58381502890174,59.450171821305844,68.85964912280701,23.892100192678228,29.896907216494846,16.228070175438596
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",12.717536813922356,8.0,14.75095785440613,58.768406961178044,58.22222222222222,59.00383141762452,28.514056224899598,33.77777777777778,26.245210727969347
