,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_ownership_BABS,Home_ownership_HS
0,Total Geo,1.0415172416150134,0.40139318000282814,0.9535112064026123,0.9867875260798682,1.1099438157888963,0.8803838255368868,1.3569130523754172,1.6551842460091506,0.850270342247729,0.8873841149022913,1.2659733093760737,0.8989629544539357,0.953949915832009,0.8368044464630437
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",#DIV/0!,0.0,0.7880635058265998,0.9638139577371202,0.8075254582484725,1.2922705620552588,0.8075254582484725,1.2922705620552588,1.1973471063630188,1.0127018648894013,0.24100661690110986,0.8858733110524468,2.0195453649563104,0.36237298794979883
2,Ulster County (East) PUMA,1.742123564328615,0.0,1.167741935483871,1.2338111715274345,1.4001581027667982,0.7911244292237443,1.4001581027667982,0.7911244292237443,0.627484938724873,0.5493530706992126,#DIV/0!,1.8506600899463226,0.7083912483912485,0.8298145665773011
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,#DIV/0!,1.108860759493671,#DIV/0!,0.0,0.0,0.0,0.0,0.48293439472961847,#DIV/0!,#DIV/0!,#DIV/0!,5.430769230769231,6.267716535433071
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,6.871345029239764,0.3593073593073593,#DIV/0!,0.7272105884546076,0.0,0.7272105884546076,0.0,0.8743310043073104,#DIV/0!,#DIV/0!,#DIV/0!,0.627626208378088,1.3008204193254331
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,1.0901225666906993,0.37690945649890456,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0985824281383147,0.16995993836671802,#DIV/0!,#DIV/0!,1.5660569105691056,0.6724137931034483
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,#DIV/0!,0.87212649040687,0.7970502928060745,#DIV/0!,1.634712147913503,#DIV/0!,1.634712147913503,0.6968366741798098,0.9048300462468212,#DIV/0!,0.6706273579401812,1.0352952002949583,1.4609313061639841
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,1.465648854961832,#DIV/0!,#DIV/0!,85.74999999999999,#DIV/0!,85.74999999999999,1.5078002664598729,#DIV/0!,#DIV/0!,#DIV/0!,1.0942788074133762,1.1763636363636365
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,0.0,#DIV/0!,0.9290981229477323,0.0,2.397870692992644,0.0,2.397870692992644,#DIV/0!,0.8688447123789834,#DIV/0!,0.0,1.90625,0.8710403942714061
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.9493481230922378,0.8220937479170056,1.1993161660253462,0.9146600196995492,0.7198217715567374,0.9146600196995492,0.7198217715567374,0.7683520521417709,0.9735547984605321,0.24149433273879023,0.8541273559808721,1.5804068541775524,2.2025564461208025
