,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_ownership_BABS,Home_ownership_HS
0,Total Geo,1.6272627529473198,1.2532729613411473,1.0281991701806055,0.9884143942375337,0.9769549168036935,1.6217039896989196,1.5445935696741253,1.7171667263759212,0.7644833451269765,0.8201674551590385,1.0446063595031914,1.1182141857032613,0.8745925290170964,0.7797300747144477
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",#DIV/0!,#DIV/0!,2.208963779891976,1.01968949044586,1.2002109863612387,#DIV/0!,1.2002109863612387,#DIV/0!,1.2287746778646924,0.4835050910262712,0.819182928220929,0.10002251674252549,0.850953206239168,0.0
2,Ulster County (East) PUMA,#DIV/0!,#DIV/0!,1.0,1.0,0.5547785547785548,#DIV/0!,0.5547785547785548,#DIV/0!,1.071330253044947,1.0455777777777777,#DIV/0!,#DIV/0!,0.45662100456621,0.9119901066162005
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,#DIV/0!,0.0,0.5682281059063137,0.9081210682216287,#DIV/0!,6.282457896492984,#DIV/0!,6.282457896492984,0.5515567533372232,0.36699022057793984,#DIV/0!,#DIV/0!,1.056776296683974,0.05483471410006498
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.190871369294606
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,0.6832313965341489,1.223423768775453,1.1710417736492096,0.18651080219052776,1.6444090533460634,0.18651080219052776,1.6444090533460634,1.2730399950271258,1.73810704574574,0.0,1.2704374538812975,1.763888888888889,1.144605621033545
11,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.7755102040816326,#DIV/0!,8.507895640233436,#DIV/0!,8.507895640233436,#DIV/0!,1.0476415001669908,0.0,#DIV/0!,#DIV/0!,#DIV/0!
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.9429742825195676,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.45903686900940216,#DIV/0!,#DIV/0!,#DIV/0!,0.8024459407323411
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.40327868852459015,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5206496519721577,#DIV/0!,#DIV/0!,#DIV/0!,0.7177231329690346
16,Monroe County (Central)--Rochester City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0
17,Westchester County (Northwest) PUMA,#DIV/0!,#DIV/0!,1.2619383911756794,1.5498502503626748,0.0,2.365141451681059,0.0,2.365141451681059,1.8029975115791117,1.118984135496891,0.0,1.793814432989691,0.8445152840586156,0.562233905140223
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,#DIV/0!,#DIV/0!,0.7058823529411765,1.0,#DIV/0!,0.11465968586387434,#DIV/0!,0.11465968586387434,0.7226618264877431,3.001133406697189,#DIV/0!,0.42919909438234044,1.064346865506766,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,#DIV/0!,#DIV/0!,1.0,0.3282051282051282,#DIV/0!,0.0,#DIV/0!,0.0,1.6944444444444444,3.066666666666667,#DIV/0!,#DIV/0!,1.0,1.564102564102564
20,Westchester County (Northeast) PUMA,#DIV/0!,#DIV/0!,1.0,1.4924848080818442,#DIV/0!,2.4711249667338326,#DIV/0!,2.4711249667338326,1.3277867244994228,1.5041539299658,#DIV/0!,0.4629273346159538,0.8524251805985553,0.6259123256216571
21,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (Central)--Rochester City (West) PUMA,#DIV/0!,0.0,#DIV/0!,0.0,0.0,1.6283758439609903,0.0,1.6283758439609903,#DIV/0!,#DIV/0!,0.0,#DIV/0!,#DIV/0!,0.607279286926995
24,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,1.2482517482517481,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.8392857142857144,1.6228576671577368,#DIV/0!,#DIV/0!,0.0,1.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,#DIV/0!,#DIV/0!,2.5864661654135337,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.34074074074074073,#DIV/0!,#DIV/0!,#DIV/0!,2.1344086021505375,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,#DIV/0!,1.6271186440677965,1.5014326894232621,0.5150932923444771,0.667091350733473,0.5150932923444771,0.667091350733473,0.4561261452649941,1.0959515374758177,0.702283679027865,1.016647834274953,1.109651627641348,1.2400457229948563
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0
28,Columbia & Greene Counties PUMA,#DIV/0!,#DIV/0!,1.0,#DIV/0!,0.0,1.0,0.0,1.0,0.5696594427244582,#DIV/0!,#DIV/0!,#DIV/0!,1.0,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,#DIV/0!,1.0,0.7344632768361582,0.0,#DIV/0!,0.0,#DIV/0!,0.7028398796553939,0.15543624161073824,#DIV/0!,#DIV/0!,1.6270270270270268,0.7894975786924939
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",#DIV/0!,0.0,#DIV/0!,1.9541985327938505,#DIV/0!,0.45238625101243907,#DIV/0!,0.45238625101243907,#DIV/0!,1.4316433206119368,#DIV/0!,0.4861151662611517,0.9233622429498719,1.4163296737106594
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.6074991883566798,#DIV/0!,#DIV/0!,1.0,0.9199862417144223
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",#DIV/0!,#DIV/0!,0.803680981595092,5.449999999999999,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5662687420070994,0.8059375,#DIV/0!,#DIV/0!,1.4762331485292812,0.0
34,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.5289256198347108,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,1.366054054054054,#DIV/0!,#DIV/0!,1.0,1.9859353023909987
36,Suffolk County (East) PUMA,#DIV/0!,0.0,1.0,1.373986435006515,#DIV/0!,2.3461164900044356,#DIV/0!,2.3461164900044356,1.3052511143339633,0.9825130134904003,#DIV/0!,4.05355750064997,0.0,1.0695364159308947
37,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,#DIV/0!,#DIV/0!,0.9300385109114249,1.1269487750556793,#DIV/0!,0.0,#DIV/0!,0.0,0.7118665830177459,0.8565362110246886,#DIV/0!,#DIV/0!,0.8047239756271837,0.3608051319601414
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,1.0530805687203793
40,Westchester County (Central)--White Plains City PUMA,#DIV/0!,#DIV/0!,1.1604215456674474,1.1572905697555684,#DIV/0!,0.5586491200253686,#DIV/0!,0.5586491200253686,0.671613214463672,1.5861280891588008,#DIV/0!,1.540324705393926,0.6742605512374991,0.9561236522911052
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",#DIV/0!,#DIV/0!,0.7861799217731421,1.1876000508656241,#DIV/0!,5.035671050909567,#DIV/0!,5.035671050909567,0.6524200466795185,1.445761444181413,#DIV/0!,0.33843694733676843,1.1365217391304347,0.5780308915787451
