,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_ownership_BABS,Home_ownership_HS
0,Total Geo,1.7061149390896744,1.000581375822114,0.9958134606984855,0.9904062027578743,1.0,1.0,1.4619383689581242,1.0990007902779506,1.035679409365649,0.9406664666518386,1.1382614081205673,1.0395764623802737,0.9013695628622986,0.9680125465133091
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",#DIV/0!,0.3585155732273029,2.03500475692874,1.0147860476716428,#DIV/0!,3.1439506992115005,#DIV/0!,3.1439506992115005,0.5055072387531927,0.7273686318797878,#DIV/0!,1.9618705972684156,0.14634315665243502,1.0653394945946868
2,Ulster County (East) PUMA,0.39999999999999997,#DIV/0!,0.856353591160221,0.9889548047518231,#DIV/0!,1.041540722185788,#DIV/0!,1.041540722185788,1.7183215454977134,0.9188460425323721,#DIV/0!,0.6615026979332812,1.0921580629803442,0.8700292553118976
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,0.8382203441950994,1.0249329564398058,1.6516197557089751,#DIV/0!,0.8149868193426147,#DIV/0!,0.8149868193426147,0.8742633810381804,1.8248554913294797,#DIV/0!,4.600572994519182,0.6761095372993391,1.1752400394831297
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,0.7861576971214019,1.7043989913140936,0.7562917594654789,1.0663766175814369,0.6150464853930836,1.0663766175814369,0.6150464853930836,1.6154401154401155,1.959479077010256,#DIV/0!,#DIV/0!,1.2912113570561314,1.0839987582832342
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,0.9173280423280423,1.153911944711869,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.9467908057262793,1.3872736848270426,#DIV/0!,#DIV/0!,3.0102901640864004,1.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.5858816804801372,#DIV/0!,1.022580525652832,1.236575202453023,#DIV/0!,0.49151809984440314,#DIV/0!,0.49151809984440314,0.8235948938722342,1.027013021602796,#DIV/0!,0.41401971522453446,0.9633954994140896,0.7798388475247446
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,0.7186588921282799,#DIV/0!,0.7186588921282799,#DIV/0!,1.189203052139446,#DIV/0!,#DIV/0!,0.37628865979381443,0.9170417919432898
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,#DIV/0!,1.1934694735930576,0.9603956638354707,#DIV/0!,1.8828361435365328,#DIV/0!,1.8828361435365328,0.7703060790871533,0.853966555232343,#DIV/0!,2.3987876231320255,0.7152070102889775,0.8758619217385734
