,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,358237.0,186545.0,171692.0,275871.0,148003.0,127868.0,82366.0,38542.0,43824.0,69080.0,30571.0,38509.0,58353.0,26049.0,32304.0,10727.0,4522.0,6205.0,208509.0,110585.0,97924.0,162700.0,88694.0,74006.0,45809.0,21891.0,23918.0,80648.0,45389.0,35259.0,54818.0,33260.0,21558.0,25830.0,12129.0,13701.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7321.0,4424.0,2897.0,5973.0,3546.0,2427.0,1348.0,878.0,470.0,2110.0,793.0,1317.0,1966.0,747.0,1219.0,144.0,46.0,98.0,4192.0,2914.0,1278.0,3616.0,2470.0,1146.0,576.0,444.0,132.0,1019.0,717.0,302.0,391.0,329.0,62.0,628.0,388.0,240.0
2,Ulster County (East) PUMA,1006.0,450.0,556.0,413.0,279.0,134.0,593.0,171.0,422.0,308.0,196.0,112.0,196.0,196.0,0.0,112.0,0.0,112.0,305.0,171.0,134.0,134.0,0.0,134.0,171.0,171.0,0.0,393.0,83.0,310.0,83.0,83.0,0.0,310.0,0.0,310.0
3,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,223.0,133.0,90.0,223.0,133.0,90.0,0.0,0.0,0.0,223.0,133.0,90.0,223.0,133.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,133.0,0.0,133.0,0.0,0.0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4956.0,2569.0,2387.0,4329.0,1942.0,2387.0,627.0,627.0,0.0,475.0,327.0,148.0,475.0,327.0,148.0,0.0,0.0,0.0,3673.0,1699.0,1974.0,3046.0,1072.0,1974.0,627.0,627.0,0.0,808.0,543.0,265.0,808.0,543.0,265.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",117.0,60.0,57.0,117.0,60.0,57.0,0.0,0.0,0.0,60.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,57.0,57.0,0.0,57.0,0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,351.0,155.0,196.0,351.0,155.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,155.0,46.0,201.0,155.0,46.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,150.0,0.0,0.0,0.0
