,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,0.8492847156887744,0.8942124571497304,0.8141836862548553,0.805323247860695,0.8815279197128109,0.7043371067435239,0.8096140706618765,0.9008558482966941,0.6350796096558808
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.7625498007968128,0.9441391941391941,0.6227080394922426,0.8812268423219431,0.8818994757940178,0.8798761609907121,0.7383015597920277,1.0,0.0
2,Ulster County (East) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,0.21119592875318066,1.0,0.0
3,Albany County (East Central)--Albany City PUMA,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.3333333333333333,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1.0,1.0,#DIV/0!,0.3275862068965517,#DIV/0!,0.3275862068965517,#DIV/0!,#DIV/0!,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.8457059679767104,1.0,0.5708502024291497,0.648861646234676,0.9129474149359258,0.389587852494577,1.0,1.0,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,1.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.7711442786069652,1.0,0.0,1.0,1.0,#DIV/0!
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.707532667179093,0.7087378640776699,0.7064421669106882,0.8972046889089269,0.873779113448535,0.9323562570462233,0.7342761443989579,0.902333621434745,0.6071895424836601
11,Livingston & Wyoming Counties PUMA,1.0,1.0,1.0,1.0,#DIV/0!,1.0,0.105,1.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.2628992628992629,0.4053030303030303,0.0,0.8363095238095238,1.0,0.6659919028340081,1.0,#DIV/0!,1.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.3472803347280335,1.0,0.0,0.9518716577540107,1.0,0.7769679300291545,0.5117994100294986,0.5886157826649417,0.4099485420240137
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,1.0,1.0,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1.0,1.0,1.0,0.789838337182448,1.0,0.6666666666666666,0.7676902536715621,1.0,0.625
16,Monroe County (Central)--Rochester City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0
17,Westchester County (Northwest) PUMA,0.7031900138696255,1.0,0.34355828220858897,0.7472395583293326,0.8115866388308977,0.6924444444444444,0.8232421875,0.7090032154340836,1.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.8936170212765957,1.0,0.7058823529411765,1.0,1.0,1.0,0.49217002237136465,0.6128133704735376,0.0
19,Onondaga County (Central)--Syracuse City PUMA,1.0,#DIV/0!,1.0,0.5704918032786885,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
20,Westchester County (Northeast) PUMA,1.0,1.0,1.0,0.6949280847842544,1.0,0.16041666666666668,0.5495251017639078,1.0,0.17412935323383086
21,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.5514705882352942,0.5514705882352942,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,#DIV/0!,0.13071895424836602,0.15267175572519084,0.0,1.0,1.0,#DIV/0!
24,Suffolk County (Central)--Islip Town (East) PUMA,0.836405529953917,#DIV/0!,0.836405529953917,1.0,1.0,1.0,1.0,#DIV/0!,1.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.46851385390428213,0.34868421052631576,0.5428571428571428,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.9602364320257926,1.0,0.9248730964467005,0.7845070422535211,0.8649453823237339,0.6931177134261001,0.7198889274557445,0.7120451693851945,0.7296037296037297
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
28,Columbia & Greene Counties PUMA,1.0,1.0,#DIV/0!,0.7142857142857143,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1.0,1.0,1.0,0.8588588588588588,1.0,0.8246268656716418,0.8735632183908046,0.8735632183908046,#DIV/0!
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.2653333333333333,0.0,0.3834296724470135,0.7093700370566437,0.8381725021349274,0.49930362116991645,1.0,#DIV/0!,1.0
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,1.0,#DIV/0!,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
