,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.10513980487273124,0.12647215048445884,0.089365044966952,0.2337295227920228,0.18563073443047315,0.28704653485924225,0.37496494105848255,0.31025448550948614,0.4633935395631361
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0725050916496945,0.040421792618629174,0.10022779043280182,0.3701111568546727,0.41720629047178537,0.2755417956656347,0.5441941074523396,0.45539906103286387,0.7947019867549668
2,Ulster County (East) PUMA,0.36,0.07981220657276995,0.5142118863049095,0.2375,0.6240875912408759,0.0,0.7888040712468194,0.0,1.0
3,Albany County (East Central)--Albany City PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.3533834586466165,0.0,0.5300751879699248,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,#DIV/0!,0.6724137931034483,#DIV/0!,0.6724137931034483,0.0,#DIV/0!,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0,0.3193852990187002,0.2866019417475728,0.3492569002123142,0.2881578947368421,0.2441860465116279,0.38114754098360654
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,1.0,#DIV/0!,1.0,0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,#DIV/0!,0.0,0.8397212543554007,1.0,0.0,0.6405959031657356,0.0,1.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.24363270777479892,0.27238805970149255,0.22019464720194648,0.27683168316831686,0.19944502254595908,0.37978772496538993,0.5330953926022064,0.2239540607054963,0.735373054213634
11,Livingston & Wyoming Counties PUMA,0.7990867579908676,1.0,0.0,0.0,#DIV/0!,0.0,0.895,0.0,1.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,0.0,0.419175911251981,0.03383458646616541,0.7,0.644808743169399,0.3157894736842105,1.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,0.046946916231972995,0.0,0.19973890339425587,0.5795698924731183,0.4113842173350582,0.6991720331186753
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,1.0,1.0,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.4591584158415842,0.28421052631578947,0.5544933078393881
16,Monroe County (Central)--Rochester City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0
17,Westchester County (Northwest) PUMA,0.1141185076810534,0.0,0.2703639514731369,0.21203007518796993,0.10542797494780794,0.28660094925155166,0.1715210355987055,0.0,0.34527687296416937
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,0.0,0.2267946959304984,0.16445623342175067,0.2935606060606061,0.22562141491395793,0.21144278606965175,0.2727272727272727
19,Onondaga County (Central)--Syracuse City PUMA,0.0,#DIV/0!,0.0,0.36065573770491804,0.632183908045977,0.0,#DIV/0!,#DIV/0!,#DIV/0!
