,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,335990.0,174428.0,161562.0,90228.0,43108.0,47120.0,245762.0,131320.0,114442.0,70031.0,28570.0,41461.0,26786.0,9370.0,17416.0,43245.0,19200.0,24045.0,190523.0,102125.0,88398.0,46973.0,23974.0,22999.0,143550.0,78151.0,65399.0,75436.0,43733.0,31703.0,16469.0,9764.0,6705.0,58967.0,33969.0,24998.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7281.0,4725.0,2556.0,207.0,207.0,0.0,7074.0,4518.0,2556.0,1731.0,893.0,838.0,207.0,207.0,0.0,1524.0,686.0,838.0,4396.0,2980.0,1416.0,0.0,0.0,0.0,4396.0,2980.0,1416.0,1154.0,852.0,302.0,0.0,0.0,0.0,1154.0,852.0,302.0
2,Ulster County (East) PUMA,1039.0,470.0,569.0,426.0,103.0,323.0,613.0,367.0,246.0,396.0,196.0,200.0,88.0,0.0,88.0,308.0,196.0,112.0,643.0,274.0,369.0,338.0,103.0,235.0,305.0,171.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,121.0,0.0,121.0,121.0,0.0,121.0,0.0,0.0,0.0,90.0,0.0,90.0,90.0,0.0,90.0,0.0,0.0,0.0,31.0,0.0,31.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,223.0,133.0,90.0,0.0,0.0,0.0,223.0,133.0,90.0,223.0,133.0,90.0,0.0,0.0,0.0,223.0,133.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5037.0,2110.0,2927.0,1000.0,175.0,825.0,4037.0,1935.0,2102.0,934.0,57.0,877.0,729.0,0.0,729.0,205.0,57.0,148.0,3078.0,1389.0,1689.0,54.0,54.0,0.0,3024.0,1335.0,1689.0,1025.0,664.0,361.0,217.0,121.0,96.0,808.0,543.0,265.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",275.0,91.0,184.0,158.0,31.0,127.0,117.0,60.0,57.0,102.0,60.0,42.0,42.0,0.0,42.0,60.0,60.0,0.0,85.0,0.0,85.0,85.0,0.0,85.0,0.0,0.0,0.0,88.0,31.0,57.0,31.0,31.0,0.0,57.0,0.0,57.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,857.0,434.0,423.0,552.0,279.0,273.0,305.0,155.0,150.0,79.0,0.0,79.0,79.0,0.0,79.0,0.0,0.0,0.0,241.0,241.0,0.0,86.0,86.0,0.0,155.0,155.0,0.0,537.0,193.0,344.0,387.0,193.0,194.0,150.0,0.0,150.0
