,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,227445,138915,88530,187864,115670,72194,39581,23245,16336,53293,23490,29803,49324,20800,28524,3969,2690,1279,127866,81555,46311,104708,69350,35358,23158,12205,10953,46286,33870,12416,33832,25520,8312,12454,8350,4104
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7281,4725,2556,4723,2984,1739,2558,1741,817,1731,893,838,1599,893,706,132,0,132,4396,2980,1416,2598,1627,971,1798,1353,445,1154,852,302,526,464,62,628,388,240
2,Ulster County (East) PUMA,1039,470,569,756,299,457,283,171,112,396,196,200,284,196,88,112,0,112,643,274,369,472,103,369,171,171,0,0,0,0,0,0,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,121,0,121,121,0,121,0,0,0,90,0,90,90,0,90,0,0,0,31,0,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,223,133,90,223,133,90,0,0,0,223,133,90,223,133,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5037,2110,2927,3059,1120,1939,1978,990,988,934,57,877,934,57,877,0,0,0,3078,1389,1689,1538,651,887,1540,738,802,1025,664,361,587,412,175,438,252,186
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",275,91,184,190,91,99,85,0,85,102,60,42,102,60,42,0,0,0,85,0,85,0,0,0,85,0,85,88,31,57,88,31,57,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,857,434,423,272,193,79,585,241,344,79,0,79,79,0,79,0,0,0,241,241,0,0,0,0,241,241,0,537,193,344,193,193,0,344,0,344
