,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,227681,138925,88756,45010.76967335878,46825.67018175274,42170.00338005318,53519,23490,30029,64115.642295259626,69921.63260962111,59573.94218921709,127876,81565,46311,40231.769292126744,43510.62379697174,34456.904407160284,46286,33870,12416,36123.54189171672,38791.0555063478,28846.74693943299
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",6314,4342,1972,40144.52011403231,42134.38507600184,35763.184584178496,1581,893,688,66931.68880455408,99613.66181410974,24511.627906976744,3881,2597,1284,30865.75624838959,25463.611859838275,41792.056074766355,852,852,0,32703.63849765258,32703.63849765258,0.0
2,Ulster County (East) PUMA,824,367,457,29465.16990291262,18645.776566757493,38153.82932166302,284,196,88,35788.7323943662,23571.428571428572,63000.0,540,171,369,26139.444444444445,13000.0,32228.455284552845,0,0,0,#DIV/0!,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,90,0,90,44540.0,0.0,44540.0,90,0,90,44540.0,0.0,44540.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,133,133,0,50000.0,50000.0,0.0,133,133,0,50000.0,50000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2734,2007,727,41665.91075347476,41131.83856502242,43140.30261348005,279,57,222,82376.3440860215,33000.0,95054.05405405405,1712,1286,426,26361.915887850468,30125.66096423017,15000.0,743,664,79,61641.99192462988,63146.0843373494,49000.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",159,60,99,66471.69811320755,96000.0,48575.757575757576,102,60,42,99705.88235294117,96000.0,105000.0,0,0,0,#DIV/0!,0.0,0.0,57,0,57,7000.0,0.0,7000.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,348,348,0,24899.42528735632,24899.42528735632,0.0,0,0,0,#DIV/0!,0.0,0.0,155,155,0,31000.0,31000.0,0.0,193,193,0,20000.0,20000.0,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",6809,3362,3447,43734.11661036863,40417.78703152885,46968.6684073107,1255,290,965,55555.37848605578,58000.0,54820.72538860104,3581,2028,1553,39908.07037140463,37637.179487179485,42873.535093367675,1973,1044,929,43159.047136340596,40935.249042145595,45658.127018299245
11,Livingston & Wyoming Counties PUMA,277,175,102,24844.76534296029,7200.0,55117.64705882353,219,175,44,21625.570776255707,7200.0,79000.0,58,0,58,37000.0,0.0,37000.0,0,0,0,#DIV/0!,0.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,853,348,505,28484.1735052755,25227.011494252874,30728.712871287127,107,107,0,37000.0,37000.0,0.0,570,241,329,29814.035087719298,20000.0,37003.03951367781,176,0,176,19000.0,0.0,19000.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2612,2130,482,38641.17917304747,35967.27699530516,50457.38589211618,0,0,0,#DIV/0!,0.0,0.0,2530,2130,400,38435.08300395257,35967.27699530516,51576.15,82,0,82,45000.0,0.0,45000.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,139,139,0,17000.0,17000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,139,139,0,17000.0,17000.0,0.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,366,123,243,18132.786885245903,18000.0,18200.0,0,0,0,#DIV/0!,0.0,0.0,123,123,0,18000.0,18000.0,0.0,243,0,243,18200.0,0.0,18200.0
16,Monroe County (Central)--Rochester City (East) PUMA,97,0,97,52000.0,0.0,52000.0,0,0,0,#DIV/0!,0.0,0.0,97,0,97,52000.0,0.0,52000.0,0,0,0,#DIV/0!,0.0,0.0
17,Westchester County (Northwest) PUMA,3538,2298,1240,49246.66478236292,61436.29242819843,26656.532258064515,790,637,153,101829.11392405063,113736.26373626373,52254.901960784315,2275,1421,854,33708.395604395606,41246.02392681211,21166.276346604216,473,240,233,36158.77378435518,42166.666666666664,29970.38626609442
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1862,1023,839,69569.81740064448,85669.59921798631,49939.21334922527,228,0,228,62166.666666666664,0.0,62166.666666666664,1556,945,611,72888.8174807198,90677.24867724867,45376.43207855974,78,78,0,25000.0,25000.0,0.0
19,Onondaga County (Central)--Syracuse City PUMA,164,64,100,55146.34146341463,46000.0,61000.0,100,0,100,61000.0,0.0,61000.0,64,64,0,46000.0,46000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
20,Westchester County (Northeast) PUMA,1848,1472,376,58773.21428571428,49498.301630434784,95083.51063829787,510,274,236,82039.2156862745,35000.0,136652.54237288135,703,703,0,56556.18776671408,56556.18776671408,0.0,635,495,140,42541.574803149604,47500.0,25010.0
