,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,381733.0,186372.0,195361.0,200142.0,94886.0,105256.0,181591.0,91486.0,90105.0,213030.0,98428.0,114602.0,106343.0,47721.0,58622.0,106687.0,50707.0,55980.0,146468.0,75258.0,71210.0,80703.0,39846.0,40857.0,65765.0,35412.0,30353.0,22235.0,12686.0,9549.0,13096.0,7319.0,5777.0,9139.0,5367.0,3772.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3297.0,1094.0,2203.0,1584.0,502.0,1082.0,1713.0,592.0,1121.0,2519.0,801.0,1718.0,1071.0,390.0,681.0,1448.0,411.0,1037.0,778.0,293.0,485.0,513.0,112.0,401.0,265.0,181.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ulster County (East) PUMA,649.0,99.0,550.0,301.0,0.0,301.0,348.0,99.0,249.0,388.0,99.0,289.0,289.0,0.0,289.0,99.0,99.0,0.0,261.0,0.0,261.0,12.0,0.0,12.0,249.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,1409.0,436.0,973.0,408.0,226.0,182.0,1001.0,210.0,791.0,768.0,348.0,420.0,226.0,226.0,0.0,542.0,122.0,420.0,537.0,88.0,449.0,182.0,0.0,182.0,355.0,88.0,267.0,104.0,0.0,104.0,0.0,0.0,0.0,104.0,0.0,104.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,524.0,161.0,363.0,457.0,161.0,296.0,67.0,0.0,67.0,457.0,161.0,296.0,457.0,161.0,296.0,0.0,0.0,0.0,67.0,0.0,67.0,0.0,0.0,0.0,67.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,1125.0,819.0,306.0,1024.0,819.0,205.0,101.0,0.0,101.0,1125.0,819.0,306.0,1024.0,819.0,205.0,101.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3259.0,1935.0,1324.0,2930.0,1701.0,1229.0,329.0,234.0,95.0,2306.0,1549.0,757.0,2102.0,1440.0,662.0,204.0,109.0,95.0,847.0,386.0,461.0,722.0,261.0,461.0,125.0,125.0,0.0,106.0,0.0,106.0,106.0,0.0,106.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3790.0,2130.0,1660.0,2451.0,1355.0,1096.0,1339.0,775.0,564.0,1790.0,715.0,1075.0,1261.0,608.0,653.0,529.0,107.0,422.0,1439.0,903.0,536.0,812.0,418.0,394.0,627.0,485.0,142.0,561.0,512.0,49.0,378.0,329.0,49.0,183.0,183.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1311.0,407.0,904.0,1182.0,348.0,834.0,129.0,59.0,70.0,680.0,122.0,558.0,660.0,122.0,538.0,20.0,0.0,20.0,631.0,285.0,346.0,522.0,226.0,296.0,109.0,59.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4673.0,2423.0,2250.0,2770.0,1309.0,1461.0,1903.0,1114.0,789.0,631.0,308.0,323.0,396.0,73.0,323.0,235.0,235.0,0.0,3445.0,1832.0,1613.0,1968.0,953.0,1015.0,1477.0,879.0,598.0,597.0,283.0,314.0,406.0,283.0,123.0,191.0,0.0,191.0
