,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,262344,151481,110863,93909.01145061446,107023.57008469709,75989.5391609464,159964,83900,76064,115359.18975519492,138537.61764004768,89792.95474863274,90400,58681,31719,60835.70055309735,68866.51147730953,45978.48513509253,11980,8900,3080,57061.84808013355,61525.34157303371,44164.09090909091
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3343,1094,2249,66978.67185163028,85164.53382084095,58132.36994219653,2504,801,1703,77080.1517571885,103397.00374531835,64702.11391661773,839,293,546,36830.75089392134,35320.819112627985,37641.02564102564,0,0,0,#DIV/0!,0.0,0.0
2,Ulster County (East) PUMA,399,99,300,147768.9223057644,76000.0,171452.66666666666,234,99,135,206836.75213675213,76000.0,302783.7037037037,165,0,165,64000.0,0.0,64000.0,0,0,0,#DIV/0!,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,868,436,432,63543.77880184332,67055.04587155963,60000.0,468,348,120,61358.97435897436,70103.44827586207,36000.0,400,88,312,66100.0,55000.0,69230.76923076923,0,0,0,#DIV/0!,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,161,161,0,139000.0,139000.0,0.0,161,161,0,139000.0,139000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,793,646,147,70455.23329129886,68716.71826625387,78095.23809523809,793,646,147,70455.23329129886,68716.71826625387,78095.23809523809,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2250,1671,579,104456.44444444444,130512.86654697786,29257.3402417962,1416,1285,131,113101.69491525424,117340.07782101167,71526.7175572519,834,386,448,89778.17745803358,174365.28497409326,16897.321428571428,0,0,0,#DIV/0!,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2365,1821,544,97206.2156448203,94624.82152663372,105847.24264705883,749,576,173,169179.17222963952,161336.80555555556,195290.17341040462,1154,783,371,63006.49913344887,62469.73180076628,64139.353099730455,462,462,0,65948.05194805194,65948.05194805194,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1041,334,707,49370.18251681076,81960.95808383233,33973.691654879774,680,122,558,57102.58823529412,170080.0,32401.433691756272,361,212,149,34804.98614958449,31250.943396226416,39861.74496644295,0,0,0,#DIV/0!,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2421,1322,1099,36224.24617926477,33536.913767019665,39456.86988171065,365,256,109,73481.09589041096,47713.28125,134000.0,2056,1066,990,29610.068093385213,30132.457786116323,29047.575757575756,0,0,0,#DIV/0!,0.0,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",823,711,112,45880.92345078979,49142.053445850914,25178.571428571428,565,565,0,56672.566371681416,56672.566371681416,0.0,258,146,112,22248.062015503878,20000.0,25178.571428571428,0,0,0,#DIV/0!,0.0,0.0
11,Livingston & Wyoming Counties PUMA,87,33,54,47020.68965517241,27600.0,58888.88888888889,32,0,32,65000.0,0.0,65000.0,55,33,22,36560.0,27600.0,50000.0,0,0,0,#DIV/0!,0.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,1609,923,686,163257.61342448727,236320.4767063922,64952.915451895045,1373,764,609,185447.7785870357,277177.74869109946,70371.10016420361,159,159,0,40000.0,40000.0,0.0,77,0,77,22100.0,0.0,22100.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1359,761,598,54163.83370125092,40692.509855453354,71307.10702341137,415,85,330,79102.65060240965,160000.0,58265.454545454544,944,676,268,43200.26483050847,25690.828402366864,87365.85820895522,0,0,0,#DIV/0!,0.0,0.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,1019,629,390,38701.766437684004,43818.759936407,30448.97435897436,467,268,199,28497.002141327623,26977.611940298506,30543.21608040201,446,361,85,54544.843049327355,56321.3296398892,47000.0,106,0,106,17000.0,0.0,17000.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,2357,1659,698,107548.23928722953,119915.37070524412,78154.15472779369,1096,722,374,147959.85401459853,169629.91689750692,106126.20320855615,1182,937,245,73923.18104906938,81608.11099252934,44532.244897959186,79,0,79,50000.0,0.0,50000.0
16,Monroe County (Central)--Rochester City (East) PUMA,60,60,0,80000.0,80000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,60,60,0,80000.0,80000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
17,Westchester County (Northwest) PUMA,2548,1268,1280,80431.55416012558,113491.32492113565,47681.71875,1105,641,464,111104.61538461539,163393.13572542902,38869.8275862069,1070,492,578,51515.32710280374,39508.13008130081,61735.98615916955,373,135,238,72513.67292225201,146177.77777777778,30729.41176470588
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,305,119,186,69462.29508196721,171000.0,4500.0,305,119,186,69462.29508196721,171000.0,4500.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
19,Onondaga County (Central)--Syracuse City PUMA,798,212,586,82483.7969924812,91448.44339622642,79240.61433447099,798,212,586,82483.7969924812,91448.44339622642,79240.61433447099,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
20,Westchester County (Northeast) PUMA,1536,1136,400,137349.609375,139941.9014084507,129987.5,1169,822,347,166836.6124893071,178201.94647201945,139913.54466858789,367,314,53,43425.06811989101,39783.43949044586,65000.0,0,0,0,#DIV/0!,0.0,0.0
21,Madison & Cortland Counties PUMA,50,0,50,28700.0,0.0,28700.0,20,0,20,14900.0,0.0,14900.0,30,0,30,37900.0,0.0,37900.0,0,0,0,#DIV/0!,0.0,0.0
22,Erie County (West Central)--Buffalo City (West) PUMA,254,82,172,92195.27559055119,200000.0,40800.0,82,82,0,200000.0,200000.0,0.0,172,0,172,40800.0,0.0,40800.0,0,0,0,#DIV/0!,0.0,0.0
23,Monroe County (Central)--Rochester City (West) PUMA,496,236,260,35725.8064516129,42033.898305084746,30000.0,496,236,260,35725.8064516129,42033.898305084746,30000.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
24,Suffolk County (Central)--Islip Town (East) PUMA,266,146,120,78458.64661654136,91164.38356164383,63000.0,206,146,60,89660.19417475729,91164.38356164383,86000.0,60,0,60,40000.0,0.0,40000.0,0,0,0,#DIV/0!,0.0,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,1290,544,746,91946.51162790698,69448.5294117647,108352.54691689007,1216,470,746,93890.625,70936.17021276595,108352.54691689007,74,74,0,60000.0,60000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",163,163,0,38000.0,38000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,163,163,0,38000.0,38000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
27,St. Lawrence County PUMA,307,159,148,109213.68078175896,138532.0754716981,77716.21621621621,307,159,148,109213.68078175896,138532.0754716981,77716.21621621621,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
