,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,172882.0,86226.0,86656.0,139312.0,70974.0,68338.0,33570.0,15252.0,18318.0,102877.0,48814.0,54063.0,87708.0,42635.0,45073.0,15169.0,6179.0,8990.0,61454.0,32495.0,28959.0,45831.0,24654.0,21177.0,15623.0,7841.0,7782.0,8551.0,4917.0,3634.0,5773.0,3685.0,2088.0,2778.0,1232.0,1546.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1713.0,592.0,1121.0,1277.0,379.0,898.0,436.0,213.0,223.0,1448.0,411.0,1037.0,1012.0,198.0,814.0,436.0,213.0,223.0,265.0,181.0,84.0,265.0,181.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ulster County (East) PUMA,348.0,99.0,249.0,348.0,99.0,249.0,0.0,0.0,0.0,99.0,99.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,249.0,0.0,249.0,249.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,1001.0,210.0,791.0,701.0,210.0,491.0,300.0,0.0,300.0,542.0,122.0,420.0,242.0,122.0,120.0,300.0,0.0,300.0,355.0,88.0,267.0,355.0,88.0,267.0,0.0,0.0,0.0,104.0,0.0,104.0,104.0,0.0,104.0,0.0,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,67.0,0.0,67.0,67.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,67.0,67.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,101.0,0.0,101.0,101.0,0.0,101.0,0.0,0.0,0.0,101.0,0.0,101.0,101.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,329.0,234.0,95.0,329.0,234.0,95.0,0.0,0.0,0.0,204.0,109.0,95.0,204.0,109.0,95.0,0.0,0.0,0.0,125.0,125.0,0.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1339.0,775.0,564.0,1189.0,775.0,414.0,150.0,0.0,150.0,529.0,107.0,422.0,379.0,107.0,272.0,150.0,0.0,150.0,627.0,485.0,142.0,627.0,485.0,142.0,0.0,0.0,0.0,183.0,183.0,0.0,183.0,183.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",129.0,59.0,70.0,98.0,59.0,39.0,31.0,0.0,31.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,109.0,59.0,50.0,78.0,59.0,19.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1903.0,1114.0,789.0,1855.0,1114.0,741.0,48.0,0.0,48.0,235.0,235.0,0.0,235.0,235.0,0.0,0.0,0.0,0.0,1477.0,879.0,598.0,1429.0,879.0,550.0,48.0,0.0,48.0,191.0,0.0,191.0,191.0,0.0,191.0,0.0,0.0,0.0
