,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,308209,166167,142042,298718,162363,136355,9491,3804,5687,182417,90562,91855,177632,88812,88820,4785,1750,3035,110038,65077,44961,105450,63090,42360,4588,1987,2601,15754,10528,5226,15636,10461,5175,118,67,51
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3236,1094,2142,3175,1094,2081,61,0,61,2397,801,1596,2336,801,1535,61,0,61,839,293,546,839,293,546,0,0,0,0,0,0,0,0,0,0,0,0
2,Ulster County (East) PUMA,649,99,550,565,99,466,84,0,84,388,99,289,388,99,289,0,0,0,261,0,261,177,0,177,84,0,84,0,0,0,0,0,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,1005,436,569,1005,436,569,0,0,0,468,348,120,468,348,120,0,0,0,537,88,449,537,88,449,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,228,161,67,228,161,67,0,0,0,161,161,0,161,161,0,0,0,0,67,0,67,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,793,646,147,793,646,147,0,0,0,793,646,147,793,646,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2450,1671,779,2450,1671,779,0,0,0,1616,1285,331,1616,1285,331,0,0,0,834,386,448,834,386,448,0,0,0,0,0,0,0,0,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2944,1821,1123,2944,1821,1123,0,0,0,1223,576,647,1223,576,647,0,0,0,1259,783,476,1259,783,476,0,0,0,462,462,0,462,462,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1078,321,757,1078,321,757,0,0,0,680,122,558,680,122,558,0,0,0,398,199,199,398,199,199,0,0,0,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2982,1519,1463,2908,1445,1463,74,74,0,417,308,109,343,234,109,74,74,0,2341,1066,1275,2341,1066,1275,0,0,0,224,145,79,224,145,79,0,0,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",823,711,112,823,711,112,0,0,0,565,565,0,565,565,0,0,0,0,258,146,112,258,146,112,0,0,0,0,0,0,0,0,0,0,0,0
11,Livingston & Wyoming Counties PUMA,87,33,54,87,33,54,0,0,0,32,0,32,32,0,32,0,0,0,55,33,22,55,33,22,0,0,0,0,0,0,0,0,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,2047,1256,791,2047,1256,791,0,0,0,1811,1097,714,1811,1097,714,0,0,0,159,159,0,159,159,0,0,0,0,77,0,77,77,0,77,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1487,761,726,1487,761,726,0,0,0,546,85,461,546,85,461,0,0,0,941,676,265,941,676,265,0,0,0,0,0,0,0,0,0,0,0,0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,1153,627,526,887,492,395,266,135,131,722,387,335,456,252,204,266,135,131,325,240,85,325,240,85,0,0,0,106,0,106,106,0,106,0,0,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3176,1693,1483,3176,1693,1483,0,0,0,1569,783,786,1569,783,786,0,0,0,1505,910,595,1505,910,595,0,0,0,102,0,102,102,0,102,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,247,60,187,247,60,187,0,0,0,187,0,187,187,0,187,0,0,0,60,60,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Westchester County (Northwest) PUMA,2701,1352,1349,2341,1352,989,360,0,360,1221,641,580,940,641,299,281,0,281,1107,576,531,1028,576,452,79,0,79,373,135,238,373,135,238,0,0,0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,493,307,186,493,307,186,0,0,0,493,307,186,493,307,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Onondaga County (Central)--Syracuse City PUMA,918,242,676,918,242,676,0,0,0,828,242,586,828,242,586,0,0,0,90,0,90,90,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20,Westchester County (Northeast) PUMA,2020,1136,884,1621,1136,485,399,0,399,1568,822,746,1169,822,347,399,0,399,367,314,53,367,314,53,0,0,0,85,0,85,85,0,85,0,0,0
21,Madison & Cortland Counties PUMA,42,0,42,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,523,289,234,523,289,234,0,0,0,144,82,62,144,82,62,0,0,0,172,0,172,172,0,172,0,0,0,207,207,0,207,207,0,0,0,0
23,Monroe County (Central)--Rochester City (West) PUMA,686,426,260,686,426,260,0,0,0,686,426,260,686,426,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Suffolk County (Central)--Islip Town (East) PUMA,348,146,202,348,146,202,0,0,0,288,146,142,288,146,142,0,0,0,60,0,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,1415,611,804,1415,611,804,0,0,0,1216,470,746,1216,470,746,0,0,0,199,141,58,199,141,58,0,0,0,0,0,0,0,0,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",163,163,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,163,163,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,735,519,216,679,519,160,56,0,56,723,519,204,667,519,148,56,0,56,0,0,0,0,0,0,0,0,0,12,0,12,12,0,12,0,0,0
28,Columbia & Greene Counties PUMA,395,27,368,395,27,368,0,0,0,120,0,120,120,0,120,0,0,0,250,27,223,250,27,223,0,0,0,25,0,25,25,0,25,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3686,2011,1675,3686,2011,1675,0,0,0,2737,1403,1334,2737,1403,1334,0,0,0,949,608,341,949,608,341,0,0,0,0,0,0,0,0,0,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4561,2248,2313,4561,2248,2313,0,0,0,3009,1353,1656,3009,1353,1656,0,0,0,1438,781,657,1438,781,657,0,0,0,114,114,0,114,114,0,0,0,0
31,Monroe County (North & West) PUMA,143,143,0,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,143,0,143,143,0,0,0,0
32,Schenectady County--Schenectady City PUMA,167,76,91,167,76,91,0,0,0,63,31,32,63,31,32,0,0,0,104,45,59,104,45,59,0,0,0,0,0,0,0,0,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1855,956,899,1563,956,607,292,0,292,252,60,192,252,60,192,0,0,0,1421,802,619,1129,802,327,292,0,292,182,94,88,182,94,88,0,0,0
34,Niagara County (North & East) PUMA,204,204,0,204,204,0,0,0,0,126,126,0,126,126,0,0,0,0,78,78,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1713,1224,489,1713,1224,489,0,0,0,755,540,215,755,540,215,0,0,0,858,584,274,858,584,274,0,0,0,100,100,0,100,100,0,0,0,0
36,Suffolk County (East) PUMA,1707,1092,615,1707,1092,615,0,0,0,694,354,340,694,354,340,0,0,0,1013,738,275,1013,738,275,0,0,0,0,0,0,0,0,0,0,0,0
37,Warren & Washington Counties PUMA,440,214,226,389,214,175,51,0,51,239,214,25,239,214,25,0,0,0,0,0,0,0,0,0,0,0,0,201,0,201,150,0,150,51,0,51
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,9335,5235,4100,9071,5180,3891,264,55,209,6029,2888,3141,5765,2833,2932,264,55,209,2918,1959,959,2918,1959,959,0,0,0,388,388,0,388,388,0,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1025,533,492,1025,533,492,0,0,0,751,533,218,751,533,218,0,0,0,274,0,274,274,0,274,0,0,0,0,0,0,0,0,0,0,0,0
40,Westchester County (Central)--White Plains City PUMA,1861,1327,534,1801,1267,534,60,60,0,1486,952,534,1426,892,534,60,60,0,301,301,0,301,301,0,0,0,0,74,74,0,74,74,0,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",544,338,206,305,233,72,239,105,134,104,32,72,104,32,72,0,0,0,440,306,134,201,201,0,239,105,134,0,0,0,0,0,0,0,0,0
42,Erie County (North Central) PUMA,1002,617,385,1002,617,385,0,0,0,693,370,323,693,370,323,0,0,0,235,173,62,235,173,62,0,0,0,74,74,0,74,74,0,0,0,0
43,Chautauqua County PUMA,252,93,159,252,93,159,0,0,0,93,93,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,159,159,0,159,0,0,0
44,Dutchess County (Southwest) PUMA,1278,385,893,1278,385,893,0,0,0,518,297,221,518,297,221,0,0,0,300,88,212,300,88,212,0,0,0,460,0,460,460,0,460,0,0,0
45,Westchester County (Southeast) PUMA,3815,2469,1346,3815,2469,1346,0,0,0,2287,1182,1105,2287,1182,1105,0,0,0,1262,1181,81,1262,1181,81,0,0,0,266,106,160,266,106,160,0,0,0
46,Rockland County (North)--New City & Congers PUMA,332,190,142,332,190,142,0,0,0,142,0,142,142,0,142,0,0,0,190,190,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,8195,5495,2700,8096,5396,2700,99,99,0,4250,2489,1761,4151,2390,1761,99,99,0,3181,2242,939,3181,2242,939,0,0,0,764,764,0,764,764,0,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,1468,957,511,1388,877,511,80,80,0,818,353,465,818,353,465,0,0,0,650,604,46,570,524,46,80,80,0,0,0,0,0,0,0,0,0,0
49,Erie County (West Central)--Buffalo City (East) PUMA,928,790,138,928,790,138,0,0,0,532,532,0,532,532,0,0,0,0,396,258,138,396,258,138,0,0,0,0,0,0,0,0,0,0,0,0
50,Wayne & Seneca Counties PUMA,112,102,10,112,102,10,0,0,0,82,82,0,82,82,0,0,0,0,30,20,10,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0
51,Monroe County (South) PUMA,1850,982,868,1644,982,662,206,0,206,1005,369,636,915,369,546,90,0,90,480,364,116,364,364,0,116,0,116,365,249,116,365,249,116,0,0,0
52,Tompkins County PUMA,1198,662,536,1140,662,478,58,0,58,869,333,536,811,333,478,58,0,58,329,329,0,329,329,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,200,54,146,200,54,146,0,0,0,146,0,146,146,0,146,0,0,0,54,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",155,34,121,155,34,121,0,0,0,0,0,0,0,0,0,0,0,0,155,34,121,155,34,121,0,0,0,0,0,0,0,0,0,0,0,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,8854,4719,4135,8854,4719,4135,0,0,0,8596,4560,4036,8596,4560,4036,0,0,0,216,117,99,216,117,99,0,0,0,42,42,0,42,42,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",4156,2824,1332,4156,2824,1332,0,0,0,3965,2758,1207,3965,2758,1207,0,0,0,191,66,125,191,66,125,0,0,0,0,0,0,0,0,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",2027,1120,907,2027,1120,907,0,0,0,1758,1061,697,1758,1061,697,0,0,0,269,59,210,269,59,210,0,0,0,0,0,0,0,0,0,0,0,0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2261,1398,863,2261,1398,863,0,0,0,1476,878,598,1476,878,598,0,0,0,736,520,216,736,520,216,0,0,0,49,0,49,49,0,49,0,0,0
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",453,226,227,453,226,227,0,0,0,36,36,0,36,36,0,0,0,0,348,121,227,348,121,227,0,0,0,69,69,0,69,69,0,0,0,0
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,1219,389,830,1219,389,830,0,0,0,134,0,134,134,0,134,0,0,0,1085,389,696,1085,389,696,0,0,0,0,0,0,0,0,0,0,0,0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2482,1005,1477,2482,1005,1477,0,0,0,1014,92,922,1014,92,922,0,0,0,1468,913,555,1468,913,555,0,0,0,0,0,0,0,0,0,0,0,0
