,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,262040,151339,110701,246188,140753,105435,15852,10586,5266,159660,83758,75902,152567,79853,72714,7093,3905,3188,90400,58681,31719,83034,53275,29759,7366,5406,1960,11980,8900,3080,10587,7625,2962,1393,1275,118
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3358,1094,2264,3074,1094,1980,284,0,284,2519,801,1718,2296,801,1495,223,0,223,839,293,546,778,293,485,61,0,61,0,0,0,0,0,0,0,0,0
2,Ulster County (East) PUMA,649,99,550,637,99,538,12,0,12,388,99,289,388,99,289,0,0,0,261,0,261,249,0,249,12,0,12,0,0,0,0,0,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,1409,436,973,1109,436,673,300,0,300,768,348,420,468,348,120,300,0,300,537,88,449,537,88,449,0,0,0,104,0,104,104,0,104,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,524,161,363,457,161,296,67,0,67,457,161,296,457,161,296,0,0,0,67,0,67,0,0,0,67,0,67,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,1125,819,306,1125,819,306,0,0,0,1125,819,306,1125,819,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3259,1935,1324,3259,1935,1324,0,0,0,2306,1549,757,2306,1549,757,0,0,0,847,386,461,847,386,461,0,0,0,106,0,106,106,0,106,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3868,2208,1660,3790,2130,1660,78,78,0,1790,715,1075,1790,715,1075,0,0,0,1517,981,536,1439,903,536,78,78,0,561,512,49,561,512,49,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1311,407,904,1169,335,834,142,72,70,680,122,558,680,122,558,0,0,0,631,285,346,489,213,276,142,72,70,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4673,2423,2250,3268,1697,1571,1405,726,679,631,308,323,558,235,323,73,73,0,3445,1832,1613,2383,1179,1204,1062,653,409,597,283,314,327,283,44,270,0,270
