,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,0.04442565451584617,0.04662241218749254,0.04200152828647467,0.08148230088495576,0.09212521940662224,0.06179261641287556,0.1162771285475793,0.14325842696629212,0.03831168831168831
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.08852719333068677,0.0,0.129802095459837,0.07270560190703218,0.0,0.11172161172161173,#DIV/0!,#DIV/0!,#DIV/0!
2,Ulster County (East) PUMA,0.0,0.0,0.0,0.04597701149425287,#DIV/0!,0.04597701149425287,#DIV/0!,#DIV/0!,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,0.390625,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,#DIV/0!,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0,0.051417270929466054,0.07951070336391437,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.22503961965134706,0.25263157894736843,0.2023121387283237,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.11568938193343899,0.237012987012987,0.0,0.30827285921625547,0.3564410480349345,0.25356478611283323,0.45226130653266333,0.0,0.8598726114649682
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,#DIV/0!,0.5658914728682171,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
11,Livingston & Wyoming Counties PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.2316358720144209,0.2353395061728395,0.22643553629469124,0.1506849315068493,0.2570093457943925,0.0,1.0,#DIV/0!,1.0
