,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,192107,104823,87284,158076,93930,64146,34031,10893,23138,51497,24279,27218,43071,21116,21955,8426,3163,5263,108303,59825,48478,87825,53002,34823,20478,6823,13655,32307,20719,11588,27180,19812,7368,5127,907,4220
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1259,462,797,733,401,332,526,61,465,797,199,598,333,138,195,464,61,403,462,263,199,400,263,137,62,0,62,0,0,0,0,0,0,0,0,0
2,Ulster County (East) PUMA,674,100,574,364,100,264,310,0,310,204,17,187,204,17,187,0,0,0,77,0,77,77,0,77,0,0,0,393,83,310,83,83,0,310,0,310
3,Albany County (East Central)--Albany City PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,176,0,176,0,0,0,176,0,176,176,0,176,0,0,0,176,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,508,102,406,235,102,133,273,0,273,102,102,0,102,102,0,0,0,0,406,0,406,133,0,133,273,0,273,0,0,0,0,0,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3152,2168,984,2581,1971,610,571,197,374,883,823,60,883,823,60,0,0,0,1823,977,846,1252,780,472,571,197,374,446,368,78,446,368,78,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,46,0,46,0,0,0,46,0,46,0,0,0,0,0,0,0,0,0,46,0,46,0,0,0,46,0,46,0,0,0,0,0,0,0,0,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",2059,1357,702,985,884,101,1074,473,601,946,946,0,586,586,0,360,360,0,512,411,101,399,298,101,113,113,0,601,0,601,0,0,0,601,0,601
11,Livingston & Wyoming Counties PUMA,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,21,21,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,430,430,0,273,273,0,157,157,0,157,157,0,0,0,0,157,157,0,273,273,0,273,273,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2248,1302,946,1274,984,290,974,318,656,478,166,312,166,166,0,312,0,312,496,363,133,496,363,133,0,0,0,1274,773,501,612,455,157,662,318,344
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,61,61,0,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,61,61,0,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1334,702,632,1240,702,538,94,0,94,347,220,127,347,220,127,0,0,0,561,197,364,561,197,364,0,0,0,426,285,141,332,285,47,94,0,94
16,Monroe County (Central)--Rochester City (East) PUMA,243,0,243,243,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,243,243,0,243,0,0,0
17,Westchester County (Northwest) PUMA,2264,849,1415,1432,488,944,832,361,471,380,153,227,224,153,71,156,0,156,1514,495,1019,838,134,704,676,361,315,370,201,169,370,201,169,0,0,0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,898,898,0,898,898,0,0,0,0,570,570,0,570,570,0,0,0,0,186,186,0,186,186,0,0,0,0,142,142,0,142,142,0,0,0,0
19,Onondaga County (Central)--Syracuse City PUMA,175,110,65,175,110,65,0,0,0,65,0,65,65,0,65,0,0,0,110,110,0,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Westchester County (Northeast) PUMA,884,313,571,685,313,372,199,0,199,295,0,295,295,0,295,0,0,0,414,138,276,215,138,77,199,0,199,175,175,0,175,175,0,0,0,0
21,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Monroe County (Central)--Rochester City (West) PUMA,393,393,0,60,60,0,333,333,0,0,0,0,0,0,0,0,0,0,393,393,0,60,60,0,333,333,0,0,0,0,0,0,0,0,0,0
24,Suffolk County (Central)--Islip Town (East) PUMA,538,94,444,467,94,373,71,0,71,357,0,357,286,0,286,71,0,71,181,94,87,181,94,87,0,0,0,0,0,0,0,0,0,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,431,186,245,220,87,133,211,99,112,344,99,245,133,0,133,211,99,112,0,0,0,0,0,0,0,0,0,87,87,0,87,87,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1391,543,848,792,345,447,599,198,401,192,0,192,118,0,118,74,0,74,1199,543,656,674,345,329,525,198,327,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,64,40,24,40,40,0,24,0,24,40,40,0,40,40,0,0,0,0,24,0,24,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,920,594,326,909,583,326,11,11,0,753,518,235,753,518,235,0,0,0,156,65,91,156,65,91,0,0,0,11,11,0,0,0,0,11,11,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1826,885,941,770,367,403,1056,518,538,231,231,0,0,0,0,231,231,0,1501,654,847,676,367,309,825,287,538,94,0,94,94,0,94,0,0,0
31,Monroe County (North & West) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Schenectady County--Schenectady City PUMA,900,557,343,900,557,343,0,0,0,0,0,0,0,0,0,0,0,0,900,557,343,900,557,343,0,0,0,0,0,0,0,0,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",990,515,475,723,515,208,267,0,267,663,455,208,663,455,208,0,0,0,327,60,267,60,60,0,267,0,267,0,0,0,0,0,0,0,0,0
34,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
