,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,157957,93930,64027,139966,81214,58752,17991,12716,5275,42952,21116,21836,40881,19630,21251,2071,1486,585,87825,53002,34823,78562,46942,31620,9263,6060,3203,27180,19812,7368,20523,14642,5881,6657,5170,1487
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1186,508,678,1140,462,678,46,46,0,724,245,479,678,199,479,46,46,0,462,263,199,462,263,199,0,0,0,0,0,0,0,0,0,0,0,0
2,Ulster County (East) PUMA,674,100,574,260,83,177,414,17,397,204,17,187,100,0,100,104,17,87,77,0,77,77,0,77,0,0,0,393,83,310,83,83,0,310,0,310
3,Albany County (East Central)--Albany City PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,318,0,318,177,0,177,141,0,141,176,0,176,35,0,35,141,0,141,142,0,142,142,0,142,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,634,102,532,361,102,259,273,0,273,102,102,0,102,102,0,0,0,0,406,0,406,133,0,133,273,0,273,126,0,126,126,0,126,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3701,2377,1324,3516,2377,1139,185,0,185,883,823,60,883,823,60,0,0,0,2323,1186,1137,2138,1186,952,185,0,185,495,368,127,495,368,127,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,46,0,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",2504,1461,1043,1210,983,227,1294,478,816,1265,1050,215,685,685,0,580,365,215,638,411,227,525,298,227,113,113,0,601,0,601,0,0,0,601,0,601
11,Livingston & Wyoming Counties PUMA,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,21,21,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,448,448,0,430,430,0,18,18,0,157,157,0,157,157,0,0,0,0,291,291,0,273,273,0,18,18,0,0,0,0,0,0,0,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2248,1302,946,1674,984,690,574,318,256,478,166,312,478,166,312,0,0,0,496,363,133,496,363,133,0,0,0,1274,773,501,700,455,245,574,318,256
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,61,61,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1393,702,691,1265,621,644,128,81,47,347,220,127,347,220,127,0,0,0,561,197,364,561,197,364,0,0,0,485,285,200,357,204,153,128,81,47
16,Monroe County (Central)--Rochester City (East) PUMA,301,0,301,0,0,0,301,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,301,0,0,0,301,0,301
17,Westchester County (Northwest) PUMA,2433,849,1584,2040,849,1191,393,0,393,380,153,227,224,153,71,156,0,156,1629,495,1134,1446,495,951,183,0,183,424,201,223,370,201,169,54,0,54
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,989,898,91,712,712,0,277,186,91,570,570,0,570,570,0,0,0,0,277,186,91,0,0,0,277,186,91,142,142,0,142,142,0,0,0,0
19,Onondaga County (Central)--Syracuse City PUMA,175,110,65,65,0,65,110,110,0,65,0,65,65,0,65,0,0,0,110,110,0,0,0,0,110,110,0,0,0,0,0,0,0,0,0,0
20,Westchester County (Northeast) PUMA,1161,477,684,1074,390,684,87,87,0,295,0,295,295,0,295,0,0,0,414,138,276,327,51,276,87,87,0,452,339,113,452,339,113,0,0,0
21,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
