,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,0.8363788181835835,0.8697228057168747,0.8066353148651627,0.8109193651145398,0.8859506895110739,0.7183258385246916,0.8413037422230476,0.9562237559727786,0.6358301691404902
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.4178168130489335,0.6934673366834171,0.32608695652173914,0.8658008658008658,1.0,0.6884422110552764,#DIV/0!,#DIV/0!,#DIV/0!
2,Ulster County (East) PUMA,1.0,1.0,1.0,1.0,#DIV/0!,1.0,0.21119592875318066,1.0,0.0
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1.0,1.0,#DIV/0!,0.3275862068965517,#DIV/0!,0.3275862068965517,#DIV/0!,#DIV/0!,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1.0,1.0,1.0,0.6867800329127811,0.7983623336745138,0.557919621749409,1.0,1.0,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.6194503171247357,0.6194503171247357,#DIV/0!,0.779296875,0.7250608272506083,1.0,0.0,#DIV/0!,0.0
11,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,#DIV/0!,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.3472803347280335,1.0,0.0,1.0,1.0,1.0,0.4803767660910518,0.5886157826649417,0.313373253493014
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,0.7793427230046949,1.0,0.3333333333333333
16,Monroe County (Central)--Rochester City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,1.0
17,Westchester County (Northwest) PUMA,0.5894736842105263,1.0,0.31277533039647576,0.5535006605019815,0.27070707070707073,0.6908734052993131,1.0,1.0,1.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1.0,1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0,1.0,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,1.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20,Westchester County (Northeast) PUMA,1.0,#DIV/0!,1.0,0.5193236714975845,1.0,0.27898550724637683,1.0,1.0,#DIV/0!
