,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.10648611350698638,0.11676336112498559,0.09811226246752026,0.16975861790586905,0.1605678832578899,0.17932704982863168,0.34777514764603207,0.30126150131146173,0.4105257245562795
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.06353591160220995,0.18775510204081633,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
2,Ulster County (East) PUMA,0.5098039215686274,1.0,0.46524064171123,0.0,#DIV/0!,0.0,0.7888040712468194,0.0,1.0
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.8011363636363636,#DIV/0!,0.8011363636363636,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,#DIV/0!,0.6724137931034483,#DIV/0!,0.6724137931034483,0.0,#DIV/0!,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0,0.07963839862247095,0.0,0.1627088830255057,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.45849802371541504,0.3476190476190476,1.0,0.17711598746081506,0.2749391727493917,0.0,1.0,#DIV/0!,1.0
11,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,#DIV/0!,0.061855670103092786,0.061855670103092786,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.45054945054945056,0.4113842173350582,0.5109780439121756
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.2639175257731959,0.28421052631578947,0.235
16,Monroe County (Central)--Rochester City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,1.0
17,Westchester County (Northwest) PUMA,0.4105263157894737,0.0,0.6872246696035242,0.11233885819521179,0.0,0.16137566137566137,0.12735849056603774,0.0,0.242152466367713
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,#DIV/0!,1.0,1.0,1.0,0.0,0.0,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,0.0,#DIV/0!,0.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20,Westchester County (Northeast) PUMA,0.0,#DIV/0!,0.0,0.21014492753623187,0.6304347826086957,0.0,0.0,0.0,0.0
21,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (Central)--Rochester City (West) PUMA,1.0,#DIV/0!,1.0,0.3739130434782609,0.43765903307888043,0.0,1.0,1.0,#DIV/0!
24,Suffolk County (Central)--Islip Town (East) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.3854166666666667,#DIV/0!,0.3854166666666667,0.35555555555555557,0.36464088397790057,0.3486750348675035,1.0,#DIV/0!,1.0
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
28,Columbia & Greene Counties PUMA,0.375,0.375,#DIV/0!,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.08058608058608059,0.11301369863013698,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,#DIV/0!,0.3659647125782584,0.15749235474006115,0.48957388939256574,1.0,#DIV/0!,1.0
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
34,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,0.5991452991452991,0.6231111111111111,0.0,0.0,#DIV/0!,0.0
36,Suffolk County (East) PUMA,0.0,0.0,0.0,0.2701365991521432,0.09036445332001997,0.4306732055283103,0.5,0.6415478615071283,0.31758530183727035
37,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.0,0.0,0.0,0.11264822134387352,0.29081632653061223,0.0,#DIV/0!,#DIV/0!,#DIV/0!
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0
40,Westchester County (Central)--White Plains City PUMA,0.0,0.0,0.0,0.21518987341772153,0.38958333333333334,0.0,0.0,#DIV/0!,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.0,0.0,0.0,0.0780065005417118,0.13284132841328414,0.0,0.8295625942684767,0.7635983263598326,1.0
42,Erie County (North Central) PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
43,Chautauqua County PUMA,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,1.0,1.0,#DIV/0!
