,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,7265893,3563151,3702742,6084655,3051413,3033242,1181238,511738,669500,3061516,1369729,1691787,2875405,1295123,1580282,186111,74606,111505,3697468,1919016,1778452,2956797,1602867,1353930,740671,316149,424522,506909,274406,232503,252453,153423,99030,254456,120983,133473
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",43848,20197,23651,35595,17440,18155,8253,2757,5496,23625,10347,13278,21446,9246,12200,2179,1101,1078,16985,7776,9209,12260,6650,5610,4725,1126,3599,3238,2074,1164,1889,1544,345,1349,530,819
2,Ulster County (East) PUMA,69250,35361,33889,57288,29620,27668,11962,5741,6221,21255,8683,12572,18735,7982,10753,2520,701,1819,43881,24097,19784,35901,20315,15586,7980,3782,4198,4114,2581,1533,2652,1323,1329,1462,1258,204
3,Albany County (East Central)--Albany City PUMA,42278,20485,21793,30413,15710,14703,11865,4775,7090,18053,8855,9198,16247,7772,8475,1806,1083,723,21441,10162,11279,13534,7413,6121,7907,2749,5158,2784,1468,1316,632,525,107,2152,943,1209
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,48156,22917,25239,40302,19406,20896,7854,3511,4343,13681,6783,6898,13450,6552,6898,231,231,0,31564,13963,17601,24863,11141,13722,6701,2822,3879,2911,2171,740,1989,1713,276,922,458,464
5,Ontario & Yates Counties PUMA,64379,31648,32731,55372,26458,28914,9007,5190,3817,23918,9743,14175,23145,9331,13814,773,412,361,36483,19435,17048,29556,15646,13910,6927,3789,3138,3978,2470,1508,2671,1481,1190,1307,989,318
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,42202,21703,20499,40377,20759,19618,1825,944,881,18473,7885,10588,18142,7885,10257,331,0,331,22346,12797,9549,21210,12147,9063,1136,650,486,1383,1021,362,1025,727,298,358,294,64
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,62032,29442,32590,54724,28159,26565,7308,1283,6025,30429,13095,17334,28953,13058,15895,1476,37,1439,28082,14597,13485,23959,13858,10101,4123,739,3384,3521,1750,1771,1812,1243,569,1709,507,1202
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",79786,39983,39803,65817,33534,32283,13969,6449,7520,21593,8344,13249,20025,7259,12766,1568,1085,483,53165,28989,24176,43523,24877,18646,9642,4112,5530,5028,2650,2378,2269,1398,871,2759,1252,1507
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,64075,31878,32197,47289,24080,23209,16786,7798,8988,19575,9033,10542,17872,8346,9526,1703,687,1016,39992,19655,20337,28127,15163,12964,11865,4492,7373,4508,3190,1318,1290,571,719,3218,2619,599
