,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,0.8740266748064923,0.9196922240792169,0.8350492243296763,0.8155395457365548,0.8775687097349973,0.7401161524330883,0.7248128980125825,0.7771012990858285,0.6381135510529707
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.8583210883063943,0.8364168495871224,0.8764960971379011,0.8633008293083022,0.8284096127353436,0.9146396396396397,0.8189300411522634,1.0,0.6123348017621145
2,Ulster County (East) PUMA,0.8238911763172981,0.9030125842125334,0.768904593639576,0.7933018920891584,0.8449263302168486,0.7238860001316396,0.7676999617298125,0.8357771260997068,0.6398678414096917
3,Albany County (East Central)--Albany City PUMA,0.8359724938489685,0.8381618381618382,0.833737090399082,0.7338233363958525,0.8455705800581322,0.6131058020477815,0.435031847133758,1.0,0.15119617224880383
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.916450397655923,0.9778173575129534,0.8507540301612064,0.8085594989561586,0.8451831868418762,0.7747812826069508,0.2854830005396654,0.21603005635566688,0.71875
5,Ontario & Yates Counties PUMA,0.8152551429334758,0.8375792755025261,0.7994678829342455,0.8249051833122629,0.9012407569870912,0.7385106382978723,0.8670520231213873,0.9471635150166852,0.6362179487179487
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.87798941154993,0.9368009702196469,0.829560585885486,0.8479694739711093,0.8925118650026367,0.7752260657384814,0.6370481927710844,0.7061769616026711,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.8527808471454881,0.9578463770452164,0.7643627484229804,0.7737254564243886,0.8321411152658105,0.7079289507416224,0.7874465049928673,1.0,0.3726315789473684
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.8336602994321115,0.888814197364883,0.7992792490781093,0.8112859362859363,0.8716260428594798,0.7231054267272292,0.7607585703865791,0.8634742740703005,0.5019255455712451
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.86926461345066,0.9369938065745593,0.8068094453596925,0.7946463878326996,0.8356850994279488,0.7427685950413223,0.6856252434748734,0.6571879936808847,0.7664670658682635
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.844288342532196,0.9410282258064516,0.7962453066332916,0.8334807722329187,0.8494203927135084,0.8209606986899564,0.6071428571428571,0.4528117359413203,0.7310561444837064
11,Livingston & Wyoming Counties PUMA,0.873536546777766,0.9439322202840768,0.8218727139722019,0.8655332869233869,0.9223706176961602,0.7899991466848707,0.6349757113115891,0.781294964028777,0.49865951742627346
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.9298260264439805,0.9588448571973793,0.9072460898831914,0.7511155180961825,0.6552407370715276,0.8471615720524017,0.33214709371293,0.6534653465346535,0.10010214504596528
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.9065543998679214,0.8847946725860155,0.9194375082139572,0.8319105579115492,0.9182360177912369,0.7117259552042161,0.8806060606060606,0.7418086500655308,1.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.8523494970725116,0.851528384279476,0.8532238065716057,0.7820927723840345,0.8349240014139272,0.731680580150097,0.490072202166065,0.3077731092436975,0.627373417721519
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.841631699615002,0.8818734015345269,0.7941537010843942,0.8748091603053435,0.9947257383966245,0.7324707846410684,0.648,0.645320197044335,0.6511627906976745
16,Monroe County (Central)--Rochester City (East) PUMA,0.8741166906384842,0.8761928998600331,0.8721101819970487,0.7371048252911814,0.7618158592905572,0.7110604805302403,0.754014598540146,0.736942980354576,0.7716262975778547
17,Westchester County (Northwest) PUMA,0.8470242784501898,0.9072753209700428,0.7973608570681996,0.839892047950794,0.8854446100347739,0.7617586912065439,0.6733755031627372,0.6352490421455939,0.7880184331797235
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.9135422016777949,0.9488721804511279,0.903125692751053,0.7929457870672763,0.7746967071057193,0.8056872037914692,0.6560196560196561,0.7484802431610942,0.5766470971950424
19,Onondaga County (Central)--Syracuse City PUMA,0.8501457725947522,0.9314318095957688,0.7860229473997914,0.7519915959030027,0.8102891357441109,0.6791096227715946,0.7603117895420591,0.8195797027165556,0.6578014184397163
20,Westchester County (Northeast) PUMA,0.8223525558962755,0.9499251272836179,0.696282703918551,0.7842206191215414,0.9580547112462006,0.5225348890414093,0.4760914760914761,1.0,0.0
21,Madison & Cortland Counties PUMA,0.8955738347042694,0.9089187653853437,0.8861571352218065,0.8406742603237296,0.8888452988099909,0.7842761999540687,0.9600313479623824,0.9760900140646976,0.8782816229116945
22,Erie County (West Central)--Buffalo City (West) PUMA,0.8582857677552166,0.8686412684430742,0.850634559062805,0.8160084378296028,0.8460979659609796,0.7769851951547779,0.7219846022241232,0.8754180602006689,0.5612959719789843
23,Monroe County (Central)--Rochester City (West) PUMA,0.8814169088141691,0.9242160278745645,0.8424530795664816,0.7715558029501809,0.786042944785276,0.7603786608815699,0.6926131850675139,0.6462836056931998,0.8341384863123994
24,Suffolk County (Central)--Islip Town (East) PUMA,0.9225106131441776,0.9430529595015577,0.9069349962207105,0.8932274004456933,0.9632075471698113,0.7808634183287049,0.2952710495963091,0.4641509433962264,0.22093023255813954
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.8679753656658968,0.9472143287694825,0.7897867278443368,0.7817403708987162,0.8892883895131086,0.6447920640976726,1.0,1.0,1.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.946604600219058,1.0,0.9065644465740297,0.8426999410493221,0.8677985501716902,0.8160453808752026,0.5931818181818181,0.6364812419146184,0.5319926873857403
27,St. Lawrence County PUMA,0.8978903766496484,0.919522091974752,0.8817493692178301,0.8428978893325727,0.9147681041497152,0.7511041829046505,0.6645678305666858,0.7452357071213641,0.5573333333333333
28,Columbia & Greene Counties PUMA,0.8625170507574126,0.8260577568838147,0.8897529160918098,0.7998503406718916,0.8620516138307814,0.7244773519163763,0.45673758865248226,0.7181303116147308,0.19460227272727273
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.9152691968225949,0.9356826736154196,0.8960467380720545,0.6754944686557157,0.8039293510617186,0.5099744245524297,0.7057471264367816,0.670995670995671,0.7247924080664294
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.8317886018536778,0.9553664726078519,0.7345548508339206,0.8120106761565836,0.8719447396386822,0.7515194851626743,0.5802469135802469,0.5262206148282098,0.6686390532544378
31,Monroe County (North & West) PUMA,0.8656768821788634,0.9137853107344632,0.8272751871561288,0.8285736887904438,0.8862466972604645,0.7524770642201835,0.5074415308291992,0.9671052631578947,0.2879581151832461
32,Schenectady County--Schenectady City PUMA,0.8599895351879305,0.9302374893977947,0.8109169011998223,0.8552712252734841,0.9202271032861157,0.7716942148760331,0.9371088861076345,0.8621399176954733,1.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.7539672622766462,0.8480213644088371,0.6542224510813595,0.635170382835507,0.7276027297807464,0.5078031212484994,0.47880539499036606,0.653517422748192,0.0
34,Niagara County (North & East) PUMA,0.8773397929971372,0.9354230900993491,0.8337829158638407,0.8001412678792159,0.8659654104284977,0.720571027381231,0.637223974763407,0.5500667556742324,0.715311004784689
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.9203040423816653,0.9885255306942053,0.8745430055801424,0.8460369097929524,0.8727929147627912,0.8147586388815616,0.8571428571428571,1.0,0.7910447761194029
36,Suffolk County (East) PUMA,0.8513154935911851,0.9232547799021787,0.7777070063694268,0.832977408115095,0.9625548512920526,0.6567183976654729,0.7102888086642599,0.8128654970760234,0.36363636363636365
37,Warren & Washington Counties PUMA,0.8503366789480371,0.9107449856733524,0.8022141063684091,0.7770247477690209,0.8071127533052365,0.7429356357927787,0.6365079365079365,0.7145981410606889,0.42981186685962375
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.9198158777064273,0.9244941427050053,0.9144632630681125,0.7933417971505149,0.8613806487385639,0.7228604250430787,1.0,1.0,1.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.8771398102935398,0.9415719916531416,0.8166684800348166,0.7275487670224512,0.7693019811146085,0.6862996158770807,0.7019455252918287,0.6379310344827587,0.8118393234672304
40,Westchester County (Central)--White Plains City PUMA,0.8813633703920422,0.9584429247764334,0.8041122371272919,0.8204541990550221,0.8858111927642736,0.743962950711214,1.0,1.0,#DIV/0!
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.8883750597990752,0.9702112919986144,0.8185579196217494,0.725467474321833,0.7500303803621339,0.7066753439940499,0.716132658797077,0.7808219178082192,0.6421686746987951
42,Erie County (North Central) PUMA,0.8835889515462807,0.9342837001644866,0.8406527796205386,0.8511320240043644,0.8859730917810044,0.8145871175073355,0.6406685236768802,0.4691358024691358,1.0
43,Chautauqua County PUMA,0.8344041609300903,0.8524410312671421,0.8214332675871138,0.7967989957633768,0.8992915840181355,0.669620253164557,0.7776859504132232,0.8972972972972973,0.6250783699059561
44,Dutchess County (Southwest) PUMA,0.834483679921628,0.8847625943932967,0.7964816262705239,0.817937701396348,0.8877786704157461,0.7156617647058824,0.6450882752376641,0.7421731123388582,0.5512021371326803
45,Westchester County (Southeast) PUMA,0.8551889884203627,0.9262850835698517,0.7667875698460935,0.796937607326846,0.834638196915777,0.7396321673278038,0.6393728222996515,0.5059665871121718,1.0
46,Rockland County (North)--New City & Congers PUMA,0.8279474880080787,0.9664705882352941,0.7237947810703229,0.812813720022309,0.8624919302775984,0.7213861386138614,0.8574498567335244,0.9165390505359877,0.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.9092125984251969,0.9482710540992749,0.8585383502170767,0.8430382587232133,0.849258448820812,0.8377083333333334,1.0,1.0,1.0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.8968085715922764,0.9385416666666667,0.8640130973089123,0.7753626800937236,0.8567558415171013,0.6587850127319025,0.3309734513274336,0.44508670520231214,0.28061224489795916
49,Erie County (West Central)--Buffalo City (East) PUMA,0.8539115999169953,0.9340337161006597,0.7947700631199278,0.7647430630175084,0.8449348438216226,0.6899395272127543,0.5822900068290462,0.5756805807622505,0.5934065934065934
50,Wayne & Seneca Counties PUMA,0.8217573897593281,0.9308957952468008,0.7353877314814815,0.8428005665886162,0.9155136587096447,0.7462656439241018,0.7683741648106904,0.8926919518963923,0.4943934760448522
51,Monroe County (South) PUMA,0.8121172075529238,0.8851066162363647,0.7490287122145362,0.7698780372506382,0.8017062669430712,0.7235253135160241,0.7471264367816092,0.8809182209469153,0.5681381957773513
52,Tompkins County PUMA,0.8274193548387097,0.8457091032762726,0.8135578657960306,0.8041885650581303,0.8769798554513302,0.7260115606936416,0.6640893470790378,0.8122699386503067,0.31805157593123207
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.8688599052624748,0.8615144418423107,0.8740839440373085,0.8793193262719222,0.9408922152159821,0.7909690512430239,0.9567002612915267,0.9512809743805124,1.0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.841527116300507,0.8606652325004137,0.8249462365591398,0.8324713289858331,0.8934518769404459,0.7633892885691447,0.82,0.867247565351102,0.666110183639399
55,NYC-Manhattan Community District 8--Upper East Side PUMA,0.9128150089206066,0.9617935455208961,0.8744500509557307,0.910913140311804,0.9932574799831437,0.8461028192371476,1.0,1.0,1.0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.926096145459425,0.9436117530538132,0.9080060010911075,0.8445116191195919,0.8799791720906014,0.7506887052341598,0.9150197628458498,0.843065693430657,1.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.8563953274127575,0.9126680316923351,0.8166498993963782,0.7702122917479245,0.7412269837337957,0.8303632625085675,0.8006209037599172,0.8145823273780782,0.7657004830917874
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.8598330954211046,0.847036328871893,0.8665605629083598,0.8068513492754366,0.9156302855437269,0.6914960962228318,0.746422893481717,0.7391304347826086,0.7630208333333334
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.8175242095438106,0.9448488241881299,0.7265453090618124,0.8207336768438053,0.8500649772579597,0.7943624945231488,0.9206560283687943,1.0,0.8562248995983935
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,0.8643489254108723,0.9324324324324325,0.8045130641330166,0.8196613728835805,0.8103585657370518,0.8323260498992716,0.8643471462079749,0.8558909444985394,0.8988095238095238
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.8399308946142868,0.7916449991332987,0.8768557794273595,0.8449045879009338,0.9899830220713073,0.7119066147859923,0.9793702497285559,0.9585152838427947,1.0
62,Saratoga County (South & Central) PUMA,0.8629592043840065,0.9040495867768595,0.8232947746310331,0.9050440744368267,0.9567528606180737,0.8434717305010192,0.9270186335403726,0.8503184713375797,1.0
63,Cattaraugus & Allegany Counties PUMA,0.8797030199658874,0.9494674824382506,0.8242707958228304,0.7944644253322909,0.8539392855012823,0.7288926880589164,0.7839659453706989,0.8888888888888888,0.4208860759493671
64,Genesee & Orleans Counties PUMA,0.8474848597206773,0.9016339869281046,0.8145497912939773,0.8395089941562469,0.9279033976559725,0.7308000291184392,0.7073083778966132,0.6673618352450469,0.7936865839909808
65,Cayuga & Onondaga (South) Counties PUMA,0.8532837496491721,0.9374290808883126,0.7890634665347025,0.7896728744332446,0.9064516129032258,0.6617727879406453,0.6703087885985748,0.5064,0.9099415204678363
66,Sullivan & Ulster (West) Counties PUMA,0.7981038746908491,0.7972063278357455,0.7989657401422108,0.8030282668100166,0.889322191272052,0.7225828789059119,0.6593655589123867,0.8895582329317269,0.3613518197573657
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.8823529411764706,0.9305555555555556,0.8587234042553191,0.7082642135424522,0.6999286224125625,0.7175962921527889,0.8533513270355375,0.5985221674876847,1.0
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.8740593040457966,0.9584830339321357,0.7950697211155379,0.839735401459854,0.9309671393393903,0.7338065661047027,0.7457386363636364,0.8519480519480519,0.6175548589341693
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,0.9205242900239259,0.9405532329190768,0.9038635605735792,0.757135703555333,0.7849948612538541,0.7137367915465899,0.8102766798418972,0.8816793893129771,0.7336065573770492
70,Jefferson & Lewis Counties PUMA,0.8918267419962336,0.9160612150255063,0.8687922421392889,0.842046903587071,0.9626053204582031,0.6716617607706716,0.7535566773749426,0.9281934996220711,0.48364485981308414
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.865807223672759,0.9524643774818967,0.7902667481164732,0.9247373722837818,0.9570750896679394,0.8715509039010466,0.826865671641791,1.0,0.6258064516129033
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,0.9057753900196301,0.8889614630960156,0.9135559921414538,0.7659058889828121,0.7676726481783578,0.7646549234767542,1.0,1.0,1.0
73,Orange County (Northeast)--Greater Newburgh City PUMA,0.8679917751884852,0.9507720532028742,0.8007205864082495,0.8240667361835246,0.8582948406795584,0.7850383860024995,0.8797250859106529,0.8785578747628083,0.8809766022380467
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",0.9068475087124424,0.9194751736557757,0.899554234769688,0.8730956575810965,0.8801494794910579,0.8632584687926542,0.7149499284692418,0.7077844311377246,0.7255772646536413
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.8752388535031848,0.8589867699257825,0.8805623084240567,0.8524933510638298,0.8711034614649072,0.8322101021329813,0.8583596214511041,0.8647727272727272,0.850354609929078
76,Erie County (Central) PUMA,0.8983534871268574,0.9403359005289041,0.8594636410520887,0.8143137905510606,0.9171802194498723,0.7074921956295526,0.7162642045454546,0.8715025906735752,0.3781038374717833
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.918932584269663,0.9512522907758094,0.8914196567862714,0.8492382465650995,0.8789118065433855,0.8163546798029556,0.679216288897426,0.7351321585903083,0.5501905972045743
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.8532411102243505,0.8690289741581833,0.8401685848597827,0.8101675332177932,0.858211747100636,0.7325475974614687,0.766531713900135,0.8147429679922406,0.656319290465632
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.8381870781099325,0.8473410501593692,0.8324994788409422,0.816090857033785,0.9191808660309521,0.6544964469492771,0.8192307692307692,1.0,0.6133133881824981
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.8206376005561625,0.8900598120193677,0.7834705702958219,0.8847432024169184,0.9144047982108366,0.8556320462935249,0.7269503546099291,0.7559726962457338,0.6955719557195572
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.8986682489451476,0.9423908494908635,0.859482435304413,0.8374883037027135,0.9110863785321215,0.7509272052941605,0.5564257742969028,0.549502050380785,0.5671506352087115
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.9214876815573693,0.9517729461549687,0.8887970072848986,0.9540349960825281,0.9375,1.0,0.6487341772151899,0.6487341772151899,#DIV/0!
83,"Chenango, Delaware & Broome (East) Counties PUMA",0.8060303893637227,0.9113756613756614,0.7202842377260982,0.825187127039426,0.8796576032225579,0.7591391284438678,0.7590612002376709,0.7205882352941176,0.8294117647058824
84,Orange County (Northwest) PUMA,0.8042173989765308,0.8789452656811826,0.7451011378002529,0.7840983148682618,0.8473617044887088,0.7038028169014084,0.9171662125340599,0.884108867427568,0.9712643678160919
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.8804169298799748,0.9122398486392083,0.8560107154816385,0.7873916865502951,0.9020771513353115,0.5880330123796423,0.7022026431718061,0.4855403348554033,1.0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.8297693528807545,0.9064154329295648,0.7466173464421298,0.8082343466881418,0.9377980922098569,0.6752345981232151,0.5384615384615384,0.8249027237354085,0.1895734597156398
87,Dutchess County (North & East) PUMA,0.8824264876128733,0.8989062961868164,0.867814083522628,0.8587174816683013,0.9204747295333441,0.7739612188365651,0.534850640113798,0.6524249422632794,0.34629629629629627
88,Putnam County PUMA,0.8717204550731368,0.9665990695455088,0.7817976257772753,0.7594422430656568,0.8822937625754527,0.6102410307675219,0.8016528925619835,0.7816377171215881,0.8116480793060719
89,Albany County (Outside Albany City) PUMA,0.908484013890552,0.9657347670250896,0.8674308625475481,0.8453357216826668,0.90710774272839,0.7708783408431579,0.6833333333333333,0.7625284738041003,0.4673913043478261
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",0.9029063159603832,0.9110130111524164,0.8985525330671326,0.8310668978735055,0.9302749254720106,0.7092905062004472,0.9001416430594901,1.0,0.6028169014084507
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.8329976194836111,0.9448818897637795,0.7357069496747689,0.778297581013236,0.8314932126696832,0.6875578882371102,0.6609257265877287,0.6884615384615385,0.6259168704156479
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",0.7849438202247191,0.9215904042647712,0.6450659390632105,0.5344067048963388,0.740478515625,0.222365988909427,0.7322291235334714,0.6753138075313807,1.0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.8835595379277024,0.9578159067210162,0.8194467179571124,0.8429625228971731,0.8852908891328211,0.7930290277328154,0.5704863973619126,0.6162988115449916,0.5272435897435898
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.8333977020372695,0.9162391567950751,0.7445211648153708,0.845562372188139,0.9026708918062472,0.7779564130046445,0.5781990521327014,0.7330960854092526,0.2695035460992908
95,Oswego County PUMA,0.9089325018341893,0.9344808439755691,0.8838393019451009,0.8266200742566534,0.9358374243635118,0.6949700681208285,0.8931893189318932,0.8763652249890782,0.9300766283524904
