,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,0.0984421318443465,0.08315007129094835,0.11076318514519369,0.22887462474174242,0.2027607125810276,0.25439307880383677,0.36948503079788,0.3171146279365814,0.4208420813709357
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.1237667693271389,0.12209877901220988,0.125273196900457,0.1415528396836808,0.1326923076923077,0.14993006993006994,0.2754927163667524,0.21214099216710183,0.39650872817955113
2,Ulster County (East) PUMA,0.08674344523401127,0.1953765846383296,0.033576642335766425,0.13247388308513003,0.09656065620952656,0.17058643860720832,0.32607303010890454,0.5556768558951966,0.0
3,Albany County (East Central)--Albany City PUMA,0.153468815697267,0.1728730633324273,0.1328125,0.20961758953260942,0.15030576118442227,0.2524091489608731,0.4712475633528265,0.15658362989323843,0.6906534325889164
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.07393812270582066,0.14748953974895398,0.0,0.24132031800342155,0.21174617461746176,0.2652466775896596,0.22727272727272727,0.1277533039647577,0.328125
5,Ontario & Yates Counties PUMA,0.0350826326471441,0.035454545454545454,0.034908471690080885,0.2676001046846375,0.24131981884839335,0.30815307820299503,0.21468298109010012,0.1588502269288956,0.3697478991596639
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.06089508437270726,0.0,0.11096256684491979,0.5260029717682021,0.578838174273859,0.4965277777777778,0.62,0.62,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.10589502847468062,0.05038265306122449,0.12355447352404139,0.23324514991181658,0.1361377136622621,0.33827192867444605,0.5294348508634223,0.2804005722460658,0.8321739130434782
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.03959355290819902,0.063915857605178,0.021013597033374538,0.2416697180519956,0.19595125786163523,0.2815284441398218,0.7738534528202425,0.7403708987161198,0.7934782608695652
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.1524630541871921,0.06774580335731414,0.21153846153846154,0.2207225630538514,0.20266208673250322,0.23714694780684628,0.6140083745717548,0.692063492063492,0.41383989145183175
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.2861271676300578,0.34414893617021275,0.2588705647176412,0.22519825214435993,0.23897058823529413,0.2148426424723561,0.529648871372268,0.4251754584559656,0.5980435749221876
11,Livingston & Wyoming Counties PUMA,0.05824175824175824,0.13054187192118227,0.0,0.14017424975798645,0.11124694376528117,0.16635927701954997,0.5335276967930029,0.5209302325581395,0.5392781316348195
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.1441502672309926,0.1738894540522211,0.11926917839310032,0.23936283185840707,0.20149146708733687,0.27628635346756153,0.2630005977286312,0.0925610448608745,0.4523659305993691
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.3367983367983368,0.0,0.40065952184666115,0.46170178017311775,0.42919389978213507,0.4882754526565746,0.6827731092436975,1.0,0.5492537313432836
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.11451104100946373,0.08133086876155268,0.18588469184890655,0.26552934454330257,0.29748427672955974,0.23103038533355966,0.4278451310129057,0.4314606741573034,0.4259148170365927
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.10557684120902512,0.11997857525441885,0.0960791239844578,0.19671314741035856,0.0,0.4535017221584386,1.0,1.0,#DIV/0!
16,Monroe County (Central)--Rochester City (East) PUMA,0.027676437287709146,0.05013673655423884,0.0,0.3705091322673446,0.2600444773906597,0.4613508900268227,0.520242214532872,0.3234792495736214,0.606316836607809
17,Westchester County (Northwest) PUMA,0.22041625371655105,0.0,0.339334757400061,0.20852697514649424,0.21809425524595802,0.19490695396669933,0.5301681503461919,0.0,0.7146666666666667
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.160684172488557,0.2814667988107037,0.1218968809675366,0.36776230478660427,0.378209242618742,0.362103433289874,0.3879082978291743,0.45957918050941304,0.30045045045045043
19,Onondaga County (Central)--Syracuse City PUMA,0.13287937743190661,0.18234610917537747,0.08290965975752836,0.272234273318872,0.2296815725945511,0.31023508879991785,0.29294871794871796,0.16765578635014836,0.38826185101580135
20,Westchester County (Northeast) PUMA,0.07612456747404844,0.04293381037567084,0.10720268006700168,0.12367624810892587,0.0,0.3562091503267974,#DIV/0!,#DIV/0!,#DIV/0!
21,Madison & Cortland Counties PUMA,0.08577194752774975,0.13259668508287292,0.058823529411764705,0.18728557013118063,0.16407766990291262,0.21239495798319327,0.3383702104695089,0.40012763241863436,0.0
22,Erie County (West Central)--Buffalo City (West) PUMA,0.09530520567250947,0.06163934426229508,0.11802891708468574,0.18785714285714286,0.20436175080067104,0.17331721080209592,0.3806818181818182,0.104,0.5017502917152858
23,Monroe County (Central)--Rochester City (West) PUMA,0.10530999703352122,0.1249277038750723,0.08465286236297198,0.25684537894665677,0.3049147442326981,0.22420252014984673,0.3869653767820774,0.40611961057023643,0.36514851485148514
24,Suffolk County (Central)--Islip Town (East) PUMA,0.1467236467236467,0.09358879882092852,0.1802136553646075,0.29907476869217303,0.3767180341524365,0.18241551939924905,0.7253121452894438,0.6538461538461539,0.7439198855507868
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.2215302491103203,0.225,0.2185430463576159,0.13043478260869565,0.0,0.3375959079283887,#DIV/0!,#DIV/0!,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.18389186144747957,0.14079895219384414,0.21640316205533597,0.3393786348331803,0.33641225085075355,0.34203276787008846,0.4268272002713244,0.34153197470133523,0.5063913470993117
27,St. Lawrence County PUMA,0.039847161572052404,0.0,0.06778087279480037,0.13918819188191883,0.1442125237191651,0.13479103238306117,0.3278070836473248,0.16981132075471697,0.4164705882352941
28,Columbia & Greene Counties PUMA,0.07160909856781802,0.0,0.12082444918265814,0.37181578617141425,0.3137736312300516,0.43249486652977415,0.5277566539923955,0.6326530612244898,0.39482758620689656
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.06541368863790112,0.04868056392336426,0.08137463364174473,0.3048016701461378,0.3977628635346756,0.23045267489711935,0.2358937022206043,0.08439201451905626,0.3373860182370821
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.18429425989563447,0.12429712932820361,0.22956677087985708,0.16972196761380995,0.09484011627906977,0.22403795466526094,0.16995447647951442,0.0,0.22672064777327935
31,Monroe County (North & West) PUMA,0.09894280292762266,0.09171762090050027,0.10582010582010581,0.17072404586147322,0.08737864077669903,0.3131914893617021,0.10606060606060606,0.7058823529411765,0.0
32,Schenectady County--Schenectady City PUMA,0.11874138723013321,0.06915180983252296,0.15541350379544547,0.14663824495958788,0.11951263214477692,0.17330045790771398,0.11837081035214256,0.2550761421319797,0.0497131931166348
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.24561403508771928,0.3114754098360656,0.16981132075471697,0.3239355581127733,0.2796019900497512,0.38472032742155526,0.5765176299527445,0.6852551984877127,0.5085646780862374
34,Niagara County (North & East) PUMA,0.07759197324414716,0.0,0.14536340852130325,0.2157212510405518,0.2888941510774331,0.14190157668418538,0.03483992467043315,0.03707414829659319,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.30984601026598224,0.4237037037037037,0.2574931880108992,0.16792820069204153,0.03403518892414191,0.24822695035460993,0.0,0.0,0.0
36,Suffolk County (East) PUMA,0.06590151795631248,0.13273676360924683,0.0,0.1786389413988658,0.03133640552995392,0.33365664403491757,#DIV/0!,#DIV/0!,#DIV/0!
37,Warren & Washington Counties PUMA,0.03914405010438413,0.0,0.08581235697940504,0.19308700834326578,0.24843966712898752,0.13967882234861156,0.4085714285714286,0.15284974093264247,0.6544209215442092
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.10629135595000525,0.027654420670165523,0.19159185460915262,0.1866093643971952,0.17482517482517482,0.19408502772643252,0.8472222222222222,0.6467889908256881,1.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0375,0.02629578963368293,0.04673599799523869,0.3205626115251391,0.2785011958543715,0.34802220680083273,0.505940594059406,0.540053050397878,0.4497816593886463
40,Westchester County (Central)--White Plains City PUMA,0.10602866779089376,0.08565834557023984,0.12143650499814883,0.125071935545751,0.1303339517625232,0.12136081125286229,0.6328293736501079,0.6631944444444444,0.5828571428571429
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.1966216216216216,0.12317985045257772,0.25184965966262207,0.32240360913445887,0.3196961475854585,0.32443431548103535,0.29607150739351135,0.2577903682719547,0.32049891540130154
42,Erie County (North Central) PUMA,0.1487486781811773,0.14530612244897959,0.1513647642679901,0.1538662486938349,0.24129930394431554,0.10927021696252466,0.0,#DIV/0!,0.0
43,Chautauqua County PUMA,0.18023715415019761,0.0597165991902834,0.25745784695201035,0.27645446880269814,0.27781954887218047,0.2747120921305182,0.675568743818002,0.6970021413276232,0.6571691176470589
44,Dutchess County (Southwest) PUMA,0.04829931972789116,0.21068249258160238,0.0,0.2531078732789734,0.2268041237113402,0.29095354523227385,0.35520684736091296,0.3492063492063492,0.3590342679127726
45,Westchester County (Southeast) PUMA,0.08979763912310287,0.0658273381294964,0.12372708757637474,0.16469474680548982,0.10038610038610038,0.2665036674816626,0.0,0.0,0.0
46,Rockland County (North)--New City & Congers PUMA,0.26343847179031543,0.6867704280155642,0.1381692573402418,0.12801101169993118,0.0,0.4376470588235294,0.7961432506887053,1.0,0.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.15855969677826912,0.24387527839643652,0.04671532846715328,0.17241837005574728,0.21300228683436787,0.14464565168790522,0.22727272727272727,0.29411764705882354,0.21205357142857142
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.24756474221905442,0.2745490981963928,0.20828471411901983,0.9004207573632539,1.0,0.0
49,Erie County (West Central)--Buffalo City (East) PUMA,0.16094130375980525,0.07716049382716049,0.20616409829237817,0.2638220082040307,0.17645687645687647,0.3179520508376661,0.547085201793722,0.5217237725185447,0.5695924764890282
50,Wayne & Seneca Counties PUMA,0.06516290726817042,0.0,0.13756613756613756,0.210064445358563,0.22957198443579765,0.19106901217861977,0.12871927554980594,0.0,0.23329425556858147
51,Monroe County (South) PUMA,0.17794524761611813,0.17016893283889575,0.1825766871165644,0.0712471783295711,0.09847740667976425,0.034482758620689655,0.29362214199759323,0.36,0.2607913669064748
52,Tompkins County PUMA,0.16469942355201755,0.15,0.18003365114974762,0.3792603335750544,0.2449181953396133,0.5070754716981132,0.15421303656597773,0.19207920792079208,0.0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.14233983286908078,0.0,0.24817872753763964,0.3734015345268542,0.26588541666666665,0.453522220065981,0.7611202635914333,1.0,0.6112600536193029
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.13351877607788595,0.19985304922850844,0.020100502512562814,0.12350299401197605,0.09822309970384994,0.13893911995177818,0.1831081081081081,0.176056338028169,0.2063953488372093
55,NYC-Manhattan Community District 8--Upper East Side PUMA,0.06341223848344957,0.05192366257232768,0.07066628208826074,0.2793804177916726,0.22516328635269853,0.3175872093023256,#DIV/0!,#DIV/0!,#DIV/0!
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0629900235454038,0.05393132302668503,0.07121029724974534,0.055231143552311436,0.03265171503957784,0.11873840445269017,1.0,#DIV/0!,1.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.1962240919351529,0.1594313001953549,0.21859943238070095,0.22396820261588946,0.17067342505430846,0.3180017886802095,0.26800804828973845,0.23748159057437407,0.30479148181011534
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.02064409578860446,0.03689064558629776,0.0132291040288635,0.19752968211413252,0.1819327731092437,0.2105911330049261,0.34573002754820936,0.0,0.44424778761061945
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.2304742970746947,0.20019595035924231,0.2537688442211055,0.29417301274920854,0.46147013102376194,0.18930957683741648,0.3130699088145897,0.26926483613817537,0.3272936439459304
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,0.0,0.0,0.0,0.1576923076923077,0.10276516714816343,0.21665928223305272,0.2548435171385991,0.0,0.5747899159663865
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.05773292654306501,0.09064830751577739,0.03494837172359015,0.08984194472686939,0.09642384105960265,0.08631459398069279,0.08226691042047532,0.07155635062611806,0.09924385633270322
62,Saratoga County (South & Central) PUMA,0.015709029153693745,0.02084592145015106,0.011182108626198083,0.031753668510945396,0.011784115012962526,0.052566936870547774,0.0,0.0,0.0
63,Cattaraugus & Allegany Counties PUMA,0.2016210739614995,0.2776349614395887,0.15217391304347827,0.12946776287321507,0.15036522358809906,0.10972736452372939,0.030085022890778287,0.04962243797195254,0.0
64,Genesee & Orleans Counties PUMA,0.0946441672780631,0.3192090395480226,0.015857284440039643,0.1400724512678972,0.1029119788219722,0.18054054054054053,0.6662162162162162,0.5611847233047544,0.8100320170757738
65,Cayuga & Onondaga (South) Counties PUMA,0.03125,0.0,0.06697459584295612,0.3394949861060771,0.26331508213041316,0.4113641699929561,0.019491525423728815,0.06036745406824147,0.0
66,Sullivan & Ulster (West) Counties PUMA,0.17841497411389884,0.27217496962332927,0.0,0.25196665492544323,0.12738160043549265,0.34647945488333676,0.4903790087463557,0.6188340807174888,0.034482758620689655
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.02768166089965398,0.08247422680412371,0.0,0.27800294767870304,0.21254901960784314,0.33599722029186935,0.4532710280373832,0.3957559681697613,0.48661950169178714
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.03287279656979514,0.0,0.0625,0.513869625520111,0.6147919876733436,0.4312736443883985,0.7052341597796143,0.7807692307692308,0.5145631067961165
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,0.08664033040043095,0.10489052051920808,0.07131057268722467,0.16215818876800941,0.14464882943143811,0.18170504044803984,0.31464737793851716,0.28525641025641024,0.3323671497584541
70,Jefferson & Lewis Counties PUMA,0.06917264096105406,0.09527934170636639,0.048036465638148666,0.12788230301315603,0.07806031933767002,0.20200598275558684,0.3442760942760943,0.33970276008492567,0.3472803347280335
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.3142857142857143,0.14925373134328357,0.6052631578947368,0.29010654490106547,0.35420010700909577,0.2055084745762712,0.3076923076923077,0.0,0.546875
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,0.0,0.0,0.0,0.3011649647634115,0.37089201877934275,0.26572668112798264,0.19602977667493796,0.0,0.2273381294964029
73,Orange County (Northeast)--Greater Newburgh City PUMA,0.06040268456375839,0.0,0.12350835322195704,0.2122916050113446,0.24729411764705883,0.18702225242058773,0.6258064516129033,0.5687645687645687,0.647636039250669
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",0.03660492926935978,0.058823529411764705,0.02555143044332824,0.2171218728482901,0.1678719008264463,0.27865255549819307,0.5837173579109063,0.47358370464672184,0.6864608076009501
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.1865945945945946,0.0,0.2149439601494396,0.17591678688026727,0.17656323830524492,0.17531515684549986,0.46911689637570186,0.06676783004552352,0.6730769230769231
76,Erie County (Central) PUMA,0.12239347234814144,0.04903943377148635,0.1820049301561216,0.1495839636913767,0.14754825826492124,0.1510957324106113,0.3119861531804414,0.13935574229691877,0.5911664779161948
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.08456549935149157,0.024624624624624624,0.13013698630136986,0.280440414507772,0.14729403012832434,0.3830824372759857,0.6275419982316534,0.6394887615689732,0.6155210643015521
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.07362978283350569,0.0,0.13293502613890965,0.20307917888563048,0.08831341301460824,0.3445171849427169,0.18316831683168316,0.25542406311637084,0.0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.03470339442576727,0.027281279397930385,0.03862732095490716,0.3050573888091822,0.22775315376747357,0.3908437381763148,0.3572841133816744,0.5277044854881267,0.18708827404479578
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.11888849806542384,0.022727272727272728,0.17026443604964922,0.25027612105146896,0.23095149021074948,0.2656358410149668,0.34347826086956523,0.38694516971279375,0.3017543859649123
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.03193663771078181,0.034722222222222224,0.029382957884427033,0.19984949473231564,0.1390742285237698,0.26453617399023527,0.3991955756661639,0.4724702380952381,0.24651162790697675
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.1130377965420185,0.09161646586345382,0.13451086956521738,0.14143302180685358,0.141396176078257,0.14151925078043703,0.0,0.0,#DIV/0!
83,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,0.13397513036502207,0.15770609318996415,0.10803246571508536,0.1199400299850075,0.0,0.2711864406779661
84,Orange County (Northwest) PUMA,0.19461697722567287,0.2508710801393728,0.17083946980854198,0.28754790979588196,0.19419271314962086,0.37439779766001374,0.31455633100697905,0.22681451612903225,0.40039447731755423
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.08809312419848081,0.12004504504504504,0.0631911532385466,0.29237925844848817,0.23898560068772834,0.3859186746987952,0.26686567164179104,0.14407988587731813,0.35523613963039014
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.09688090737240075,0.07509881422924901,0.12925969447708577,0.2513788098693759,0.2829512893982808,0.22986822840409957,0.5737547892720306,0.18974358974358974,0.8027522935779816
87,Dutchess County (North & East) PUMA,0.15630550621669628,0.08041958041958042,0.203012912482066,0.25185852669520165,0.2642357642357642,0.24169060320065655,0.6681967213114755,0.6580921757770632,0.6841216216216216
88,Putnam County PUMA,0.07292817679558011,0.20689655172413793,0.0,0.23716558206796817,0.07692307692307693,0.4744394618834081,1.0,#DIV/0!,1.0
89,Albany County (Outside Albany City) PUMA,0.07097457627118645,0.053717399766446086,0.08195097796484278,0.10889036324431912,0.10501355013550136,0.11260968475788105,0.21199143468950749,0.0,0.43278688524590164
