,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,0.025620097072235323,0.027822125028565625,0.023725195781003867,0.04978873904692112,0.055336240234628464,0.042968101808712966,0.11913212664347621,0.11193000657928033,0.1309487975255078
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.04710890047348032,0.05784865540963102,0.03800265134776845,0.030568071384397915,0.007896735003796507,0.062103929024081114,0.11728395061728394,0.0,0.2511013215859031
2,Ulster County (East) PUMA,0.030401103565365024,0.0,0.051565874730021596,0.04356293856508664,0.05103056855521258,0.03344797356531121,0.02911392405063291,0.012756909992912827,0.053180396246089674
3,Albany County (East Central)--Albany City PUMA,0.029670605984410358,0.03284301293431397,0.026551982049364247,0.12055512918905091,0.0806119825147853,0.1600916263680326,0.5666243654822335,0.0,0.8496669838249287
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.02966381015161503,0.05654154232762683,0.0,0.06593732773608108,0.07617801047120419,0.056256702136434876,0.24111795357650403,0.27439353099730457,0.0
5,Ontario & Yates Counties PUMA,0.02611649148574838,0.06309603016189842,0.0,0.02683991542186754,0.025710072449830097,0.02812386156648452,0.11357702349869452,0.13612866168868468,0.04308797127468582
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.03965111963379933,0.05026563138536984,0.030821529745042493,0.05202890494719289,0.05949059490594906,0.03997674080534962,0.19120458891013384,0.19120458891013384,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.027677365173257387,0.022275449101796407,0.03222984793432916,0.05026522929500342,0.0741473450977289,0.022162212496508054,0.12173913043478261,0.09600862998921252,0.1637323943661972
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.025550566602522983,0.039145416953824945,0.01693879332925871,0.02577663671373556,0.027380850517669204,0.02336928608115049,0.05035685963521015,0.06046511627906977,0.028678304239401497
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.016989585151568044,0.019954045229169187,0.01424086117963669,0.04556508383463458,0.07936879018118059,0.004666949512091642,0.013040901007705987,0.020351526364477335,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0349638594721802,0.0317227916056613,0.03666666666666667,0.11695641219450743,0.17620429483459082,0.07150489759572573,0.38917817523205794,0.5736708860759494,0.23996723996723995
11,Livingston & Wyoming Counties PUMA,0.00816904476636532,0.0,0.01413760603204524,0.021748878923766816,0.027675519326847225,0.01394180810529962,0.12142857142857143,0.18944844124700239,0.04107648725212465
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.013077421718666328,0.0,0.023111022563131942,0.15137978955727616,0.16760384545619444,0.1317693488270116,0.1246928746928747,0.16302521008403362,0.10261374636979671
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.03444897959183674,0.04594112399643176,0.02781354622714396,0.06255448997384482,0.07151230949589683,0.04887787415668456,0.03817365269461078,0.0,0.08900523560209424
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.020337946326171724,0.01800595238095238,0.02280232740997012,0.08271664404256251,0.11455490006163599,0.05121951219512195,0.057777777777777775,0.0,0.09420289855072464
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.03339741583582957,0.025732899022801303,0.042728264102309906,0.050552636347164344,0.0513675783855904,0.04958349861166204,0.0,0.0,0.0
16,Monroe County (Central)--Rochester City (East) PUMA,0.021256701159456427,0.02694946974422957,0.015572443004858601,0.11694010871191343,0.18482126146359723,0.039500373652183195,0.13585907335907335,0.11339198435972629,0.15776930409914203
17,Westchester County (Northwest) PUMA,0.03173167378247341,0.007004266967232912,0.05191562068738911,0.04277825826624975,0.017545807884508605,0.0804845668768669,0.03806228373702422,0.0,0.09205020920502092
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.015065913370998116,0.06616541353383458,0.0,0.06236695241930844,0.11427446864340068,0.02182600676298801,0.17094895512161698,0.3401499659168371,0.0
19,Onondaga County (Central)--Syracuse City PUMA,0.03599797194524252,0.0,0.06513761467889909,0.0994383456727087,0.13741526672561155,0.047532729103726086,0.20392390011890607,0.08909853249475891,0.3543956043956044
20,Westchester County (Northeast) PUMA,0.01878222440461576,0.02507365762732247,0.012223406255876638,0.0424997675067423,0.0291849387569938,0.06376811594202898,0.0,0.0,#DIV/0!
21,Madison & Cortland Counties PUMA,0.02049674463467567,0.024323798404358825,0.017803341550260202,0.03620071684587814,0.03805125536620268,0.03392942679227207,0.12449205762837089,0.12592270950933565,0.11633663366336634
22,Erie County (West Central)--Buffalo City (West) PUMA,0.023768467166891922,0.008194905869324474,0.035084895791421905,0.05936293436293436,0.0728483936821747,0.04209657449442839,0.07461139896373056,0.12554489973844812,0.0
23,Monroe County (Central)--Rochester City (West) PUMA,0.027942666859707543,0.0617797695262484,0.0,0.09441299250872076,0.1824953445065177,0.019189991518235795,0.17500913408841798,0.1370585134422773,0.26071428571428573
24,Suffolk County (Central)--Islip Town (East) PUMA,0.01854631217838765,0.01081685938082805,0.02440403278997456,0.006620553359683794,0.01065267509340965,0.0,0.14225053078556263,0.3941176470588235,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.01989497502454852,0.02171682626538988,0.018077939797049542,0.0,0.0,0.0,0.0,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.13841286580543105,0.08264947245017586,0.1839961667465261,0.10291813552683118,0.13563478588945482,0.06760333944206882,0.11807780320366133,0.02982107355864811,0.3150887573964497
27,St. Lawrence County PUMA,0.019072216151783054,0.04467194043741275,0.0,0.03577112844182715,0.02124194576223182,0.05441002815877918,0.16466876971608832,0.28502994011976046,0.030666666666666665
28,Columbia & Greene Counties PUMA,0.01296405421331762,0.0048201067309347565,0.019054976181279774,0.05550603678794263,0.07430340557275542,0.03256567110471392,0.19299499642601858,0.38848920863309355,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.024499746063991874,0.0275176129299627,0.021597927874078503,0.06413301662707839,0.09003421727972626,0.03178418803418803,0.19299499642601858,0.410958904109589,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0778131703828902,0.04868184541641701,0.10014930515677041,0.028831000278112542,0.036223723723723726,0.021615680527569153,0.17732884399551066,0.11573236889692586,0.2781065088757396
31,Monroe County (North & West) PUMA,0.03143408226033467,0.02118595279217041,0.03991236425985902,0.026624328285295554,0.028937278448961875,0.023647705055395214,0.49263622974963184,0.23026315789473684,0.6252771618625277
32,Schenectady County--Schenectady City PUMA,0.005906304532641281,0.0,0.009956252828480916,0.05899618432638685,0.06122097033800874,0.05607899299012588,0.11911764705882352,0.24368231046931407,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.07778599605522682,0.034263338228095935,0.12195727769498262,0.061792054099746405,0.06339764978964167,0.05955033421105935,0.016666666666666666,0.0,0.08902077151335312
34,Niagara County (North & East) PUMA,0.03556689427478052,0.03802672147995889,0.03364935238349579,0.06063986756396876,0.08934819230270831,0.024771310612806605,0.0,0.0,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.020677671589921807,0.016379058204153262,0.02349669128224801,0.031698528064496426,0.027350813743218808,0.036810631229235884,0.05199516324062878,0.14776632302405499,0.0
36,Suffolk County (East) PUMA,0.002909022662224933,0.005801441003087863,0.0,0.001159285879897983,0.0020296326364927946,0.0,0.33587786259541985,0.24825174825174826,0.5700934579439252
37,Warren & Washington Counties PUMA,0.016853564168142172,0.02212323682256867,0.012684989429175475,0.03053993072107287,0.040100250626566414,0.01964783465905228,0.06895056374674761,0.0736902705814623,0.054481546572934976
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.07723006014276881,0.08934745030250649,0.06408904510837728,0.0,0.0,0.0,0.0,0.0,0.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.027422096317280452,0.010990295802642347,0.04287127624491591,0.06812738401490287,0.11325919589392643,0.019528371407516582,0.19737663960024984,0.2801418439716312,0.0
40,Westchester County (Central)--White Plains City PUMA,0.031282036261386606,0.03933641183512913,0.0227710843373494,0.036762434352795796,0.050520907663764804,0.020535263423666048,#DIV/0!,#DIV/0!,#DIV/0!
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.1595959595959596,0.24383561643835616,0.08367626886145405,0.14836810576327206,0.1247945527119042,0.1668817997418403,0.21535508637236084,0.1871275327771156,0.2664509169363538
42,Erie County (North Central) PUMA,0.0068952802359882005,0.015015256142604785,0.0,0.026708788052843192,0.0509658857377723,0.0,0.0,0.0,0.0
43,Chautauqua County PUMA,0.007202881152460984,0.016791044776119403,0.0,0.05887045309508615,0.06250724805752059,0.05442032070384561,0.1352229111307942,0.1938610662358643,0.06405228758169934
44,Dutchess County (Southwest) PUMA,0.03333179872013259,0.0423998304006784,0.026369333441849108,0.04613123162569588,0.02676997061180871,0.07345953691831963,0.0952157598499062,0.12200435729847495,0.07495881383855024
45,Westchester County (Southeast) PUMA,0.028413120567375886,0.024270674274692598,0.03350795690422062,0.04979314420803783,0.017552413456850317,0.09939984996249063,0.0,0.0,0.0
46,Rockland County (North)--New City & Congers PUMA,0.016678382005239953,0.010294117647058823,0.021584359814668323,0.08593038728202256,0.08329722703639515,0.09074697840301169,0.0,0.0,0.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.03255739540836733,0.02663134411600669,0.04053293300806906,0.032832913133165255,0.027016742770167426,0.03762541806020067,0.127420998980632,0.1827485380116959,0.0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.014983000057626924,0.027745364968235448,0.004771784232365146,0.030260095132071653,0.014614135543970602,0.05297109539759335,0.0,0.0,0.0
49,Erie County (West Central)--Buffalo City (East) PUMA,0.05499023537876452,0.0818686401480111,0.03348751156336725,0.05448963929393707,0.035009462016761285,0.07198349113862589,0.062255859375,0.01391731477691363,0.1336963097398669
50,Wayne & Seneca Counties PUMA,0.0026843385622011577,0.0,0.004822908816880181,0.037906622457209424,0.034752480445167724,0.042070973107845855,0.09478517546736635,0.0,0.2629663330300273
51,Monroe County (South) PUMA,0.019808672143079964,0.02869416753869031,0.011865491605533946,0.009764241627036326,0.0060949063996517195,0.014853278589542326,0.0,0.0,0.0
52,Tompkins County PUMA,0.013976793248945147,0.0121580547112462,0.01527476500361533,0.0330821858491383,0.05240377183490493,0.008467900748326113,0.07692307692307693,0.10635964912280702,0.0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.03012320196091079,0.036639583013950636,0.025389755011135856,0.043230387184778424,0.030156231076662227,0.061107891032541196,0.0651085141903172,0.012392755004766444,0.436241610738255
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.018508221463182144,0.020754716981132074,0.01657049859446664,0.01640451223387353,0.012720796685323835,0.020842455556528593,0.09449760765550239,0.12414876898899947,0.0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,0.029733914439729326,0.02651908595170086,0.03227711585866886,0.0,0.0,0.0,0.0,0.0,0.0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.035863757423367684,0.03528792712204427,0.03644654506723472,0.0388088376560999,0.0,0.13911845730027547,0.0,0.0,0.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.06806475349521707,0.061349157867178636,0.0729597353857897,0.1110487626956961,0.1366228613935036,0.05697308633344984,0.04438830747022735,0.05939159826170932,0.0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.004235832856325129,0.01214907240190445,0.0,0.044633259968265344,0.055978154866393605,0.03210169126360013,0.35668789808917195,0.20806100217864923,0.5253399258343634
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.08598233995584989,0.07103825136612021,0.0961111111111111,0.13922335942203493,0.18738140417457305,0.09549109707064905,0.4409982174688057,0.16720955483170466,0.5748407643312102
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,0.035736835459022606,0.07188214376428753,0.0,0.14405074098920534,0.17207693090465045,0.10213089802130898,0.0,0.0,0.0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.0,0.0,0.0,0.1052917021771132,0.01543474532670211,0.17933860938383267,0.1905037637521714,0.4107365792759051,0.0
62,Saratoga County (South & Central) PUMA,0.01358965860125953,0.005047530916126862,0.02187933708874194,0.022245924120067043,0.024294969512195123,0.019906450560208854,0.0,0.0,0.0
63,Cattaraugus & Allegany Counties PUMA,0.017676767676767676,0.00825277057297807,0.02527075812274368,0.04881113170210761,0.04715804478232464,0.050666666666666665,0.046555639666919,0.04914744232698094,0.038580246913580245
64,Genesee & Orleans Counties PUMA,0.020239307535641547,0.05180840664711633,0.0,0.03779289493575208,0.02647827119449062,0.051821862348178135,0.20238095238095238,0.23060227889310905,0.0
65,Cayuga & Onondaga (South) Counties PUMA,0.0018767143063375198,0.004214621494569622,0.0,0.021179676854195056,0.023117916385198528,0.019090762012619316,0.0625,0.12890625,0.0
66,Sullivan & Ulster (West) Counties PUMA,0.022727272727272728,0.045323862675460846,0.0,0.024207248018120044,0.026622463331324092,0.02206798362697989,0.04800322710770472,0.08339173090399439,0.0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.02027412906910337,0.0,0.03021276595744681,0.09116209101165852,0.060980934361810506,0.12344333748443337,0.3750448189315167,0.14696485623003194,0.4908108108108108
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.023738114989470996,0.025096268755809323,0.02248157248157248,0.05974614687216682,0.07635197840209229,0.04046242774566474,0.17304964539007092,0.16539440203562342,0.18269230769230768
