,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,681282,353386,327896,568152,307111,261041,113130,46275,66855,227458,96208,131250,202595,88256,114339,24863,7952,16911,386315,214861,171454,315274,183816,131458,71041,31045,39996,67509,42317,25192,50283,35039,15244,17226,7278,9948
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7913,3949,3964,7405,3702,3703,508,247,261,3305,1616,1689,3198,1509,1689,107,107,0,4318,2074,2244,3948,1934,2014,370,140,230,290,259,31,259,259,0,31,0,31
2,Ulster County (East) PUMA,3297,1907,1390,2720,1777,943,577,130,447,724,269,455,620,269,351,104,0,104,2496,1561,935,2023,1431,592,473,130,343,77,77,0,77,77,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,2808,1025,1783,1704,793,911,1104,232,872,876,413,463,790,413,377,86,0,86,1883,612,1271,865,380,485,1018,232,786,49,0,49,49,0,49,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1308,337,971,1035,64,971,273,273,0,351,0,351,351,0,351,0,0,0,957,337,620,684,64,620,273,273,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,2045,1052,993,1688,851,837,357,201,156,498,343,155,462,307,155,36,36,0,1120,378,742,799,213,586,321,165,156,427,331,96,427,331,96,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2939,1999,940,2641,1999,642,298,0,298,1512,1051,461,1387,1051,336,125,0,125,1322,843,479,1149,843,306,173,0,173,105,105,0,105,105,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,8678,4309,4369,7599,3875,3724,1079,434,645,3499,1136,2363,3393,1136,2257,106,0,106,4830,2981,1849,3932,2547,1385,898,434,464,349,192,157,274,192,82,75,0,75
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",836,435,401,775,435,340,61,0,61,192,115,77,131,115,16,61,0,61,489,165,324,489,165,324,0,0,0,155,155,0,155,155,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3867,2244,1623,3073,1648,1425,794,596,198,971,52,919,850,52,798,121,0,121,2594,1960,634,2153,1596,557,441,364,77,302,232,70,70,0,70,232,232,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15565,6391,9174,11707,4611,7096,3858,1780,2078,3832,1205,2627,3298,1088,2210,534,117,417,8670,3870,4800,6486,2940,3546,2184,930,1254,3063,1316,1747,1923,583,1340,1140,733,407
