,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,568152,307111,261041,60869.55879060533,66346.59254145896,54425.906980129555,202595,88256,114339,85765.07758829191,103035.07772842639,72434.70796491136,315274,183816,131458,49385.01316949701,54867.85373416895,41718.42900394042,50283,35039,15244,32571.147902869758,34153.80461771169,28933.34229860929
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7405,3702,3703,42649.87846049966,42459.83252296056,42839.87307588442,3198,1509,1689,54089.27454659162,51217.693836978135,56654.82534043813,3948,1934,2014,33520.73201621074,35880.972078593586,31254.245283018867,259,259,0,40559.84555984556,40559.84555984556,0.0
2,Ulster County (East) PUMA,2720,1777,943,48515.0,56560.60776589758,33353.76458112407,620,269,351,55447.74193548387,85297.39776951673,32571.50997150997,2023,1431,592,47323.38111715274,52910.69182389937,33817.56756756757,77,77,0,24000.0,24000.0,0.0
3,Albany County (East Central)--Albany City PUMA,1704,793,911,62291.666666666664,94321.56368221942,34410.537870472006,790,413,377,92227.84810126582,128825.66585956416,52135.27851458886,865,380,485,36497.10982658959,56821.05263157895,20573.19587628866,49,0,49,35000.0,0.0,35000.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1035,64,971,50338.16425120773,25000.0,52008.23892893924,351,0,351,26000.0,0.0,26000.0,684,64,620,62827.48538011696,25000.0,66732.25806451614,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,1688,851,837,37626.04857819905,35530.199764982375,39756.95340501792,462,307,155,57186.580086580085,48996.74267100977,73407.74193548386,799,213,586,36723.86733416771,48018.779342723006,32618.378839590445,427,331,96,18150.351288056205,15003.625377643504,29000.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2641,1999,642,86487.2586141613,95351.30065032517,58887.22741433022,1387,1051,336,103314.96034607066,117146.38439581351,60050.59523809524,1149,843,306,70604.87380330723,75321.94543297746,57609.80392156863,105,105,0,38000.0,38000.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,7599,3875,3724,113622.84511119884,150514.29677419356,75235.52631578948,3393,1136,2257,191251.78308281756,379705.9859154929,96398.44926894107,3932,2547,1385,50361.826042726345,54133.05850019631,43426.570397111915,274,192,82,60145.98540145985,73020.83333333333,30000.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",775,435,340,35674.83870967742,41077.70114942529,28762.352941176472,131,115,16,66126.7175572519,70652.17391304347,33600.0,489,165,324,35052.965235173826,47874.545454545456,28523.456790123455,155,155,0,11900.0,11900.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3073,1648,1425,35754.67621217052,41651.21359223301,28935.382456140353,850,52,798,37349.43529411765,150000.0,30008.796992481202,2153,1596,557,35679.56339990711,38121.05263157895,28683.842010771994,70,0,70,18700.0,0.0,18700.0
