,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,913096,449857,463239,673541,351189,322352,239555,98668,140887,250746,104677,146069,226994,97688,129306,23752,6989,16763,525832,274875,250957,386231,215975,170256,139601,58900,80701,136518,70305,66213,60316,37526,22790,76202,32779,43423
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",13236,5613,7623,10127,4562,5565,3109,1051,2058,3564,1913,1651,3244,1593,1651,320,320,0,8495,2899,5596,6062,2493,3569,2433,406,2027,1177,801,376,821,476,345,356,325,31
2,Ulster County (East) PUMA,3979,2373,1606,2773,1808,965,1206,565,641,984,506,478,731,380,351,253,126,127,2918,1790,1128,2042,1428,614,876,362,514,77,77,0,0,0,0,77,77,0
3,Albany County (East Central)--Albany City PUMA,3496,1391,2105,1874,877,997,1622,514,1108,1059,413,646,876,413,463,183,0,183,2388,978,1410,949,464,485,1439,514,925,49,0,49,49,0,49,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1331,337,994,1115,337,778,216,0,216,351,0,351,351,0,351,0,0,0,957,337,620,764,337,427,193,0,193,23,0,23,0,0,0,23,0,23
5,Ontario & Yates Counties PUMA,2474,1370,1104,1392,708,684,1082,662,420,498,343,155,256,101,155,242,242,0,1463,610,853,811,378,433,652,232,420,513,417,96,325,229,96,188,188,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3094,2076,1018,3094,2076,1018,0,0,0,1541,1051,490,1541,1051,490,0,0,0,1320,920,400,1320,920,400,0,0,0,233,105,128,233,105,128,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,11028,5150,5878,9330,4828,4502,1698,322,1376,3873,1348,2525,3873,1348,2525,0,0,0,5927,3443,2484,4769,3121,1648,1158,322,836,1228,359,869,688,359,329,540,0,540
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",896,477,419,888,469,419,8,8,0,210,115,95,210,115,95,0,0,0,686,362,324,678,354,324,8,8,0,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4355,2151,2204,2770,1423,1347,1585,728,857,1098,52,1046,697,52,645,401,0,401,3084,2065,1019,2004,1371,633,1080,694,386,173,34,139,69,0,69,104,34,70
