,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,683212,356582,326630,640273,330709,309564,42939,25873,17066,227274,96335,130939,220019,92685,127334,7255,3650,3605,392030,219440,172590,363860,201870,161990,28170,17570,10600,63908,40807,23101,56394,36154,20240,7514,4653,2861
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",8122,3964,4158,7913,3949,3964,209,15,194,3305,1616,1689,3305,1616,1689,0,0,0,4527,2089,2438,4318,2074,2244,209,15,194,290,259,31,290,259,31,0,0,0
2,Ulster County (East) PUMA,3022,1830,1192,2936,1830,1106,86,0,86,620,269,351,549,269,280,71,0,71,2402,1561,841,2387,1561,826,15,0,15,0,0,0,0,0,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,3027,1025,2002,2282,1025,1257,745,0,745,876,413,463,876,413,463,0,0,0,2102,612,1490,1357,612,745,745,0,745,49,0,49,49,0,49,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1308,337,971,1308,337,971,0,0,0,351,0,351,351,0,351,0,0,0,957,337,620,957,337,620,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,2100,1052,1048,1929,1052,877,171,0,171,498,343,155,498,343,155,0,0,0,1175,378,797,1004,378,626,171,0,171,427,331,96,427,331,96,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2939,1999,940,2939,1999,940,0,0,0,1512,1051,461,1512,1051,461,0,0,0,1322,843,479,1322,843,479,0,0,0,105,105,0,105,105,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,8678,4309,4369,8572,4309,4263,106,0,106,3499,1136,2363,3393,1136,2257,106,0,106,4830,2981,1849,4830,2981,1849,0,0,0,349,192,157,349,192,157,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",681,280,401,681,280,401,0,0,0,192,115,77,192,115,77,0,0,0,489,165,324,489,165,324,0,0,0,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3647,1897,1750,3160,1537,1623,487,360,127,1098,52,1046,971,52,919,127,0,127,2479,1845,634,2119,1485,634,360,360,0,70,0,70,70,0,70,0,0,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15553,6282,9271,13888,5340,8548,1665,942,723,3710,1270,2440,3627,1205,2422,83,65,18,9346,4127,5219,8344,3552,4792,1002,575,427,2497,885,1612,1917,583,1334,580,302,278
11,Livingston & Wyoming Counties PUMA,105,38,67,105,38,67,0,0,0,10,0,10,10,0,10,0,0,0,95,38,57,95,38,57,0,0,0,0,0,0,0,0,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,9546,3747,5799,9354,3555,5799,192,192,0,3370,485,2885,3370,485,2885,0,0,0,5259,2764,2495,5067,2572,2495,192,192,0,917,498,419,917,498,419,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,5109,2328,2781,4703,2328,2375,406,0,406,902,361,541,902,361,541,0,0,0,3507,1628,1879,3152,1628,1524,355,0,355,700,339,361,649,339,310,51,0,51
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,1636,920,716,1636,920,716,0,0,0,175,24,151,175,24,151,0,0,0,1396,831,565,1396,831,565,0,0,0,65,65,0,65,65,0,0,0,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1544,678,866,1544,678,866,0,0,0,819,438,381,819,438,381,0,0,0,725,240,485,725,240,485,0,0,0,0,0,0,0,0,0,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,6560,3344,3216,5901,2805,3096,659,539,120,616,402,214,530,316,214,86,86,0,4664,1947,2717,4257,1660,2597,407,287,120,1280,995,285,1114,829,285,166,166,0
17,Westchester County (Northwest) PUMA,4277,2724,1553,4277,2724,1553,0,0,0,1119,632,487,1119,632,487,0,0,0,2748,1831,917,2748,1831,917,0,0,0,410,261,149,410,261,149,0,0,0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5378,2234,3144,4893,1800,3093,485,434,51,1362,334,1028,1362,334,1028,0,0,0,3204,1457,1747,2817,1121,1696,387,336,51,812,443,369,714,345,369,98,98,0
19,Onondaga County (Central)--Syracuse City PUMA,2261,1429,832,2121,1289,832,140,140,0,791,540,251,791,540,251,0,0,0,1470,889,581,1330,749,581,140,140,0,0,0,0,0,0,0,0,0,0
20,Westchester County (Northeast) PUMA,2677,1449,1228,2677,1449,1228,0,0,0,1987,1246,741,1987,1246,741,0,0,0,690,203,487,690,203,487,0,0,0,0,0,0,0,0,0,0,0,0
21,Madison & Cortland Counties PUMA,373,249,124,373,249,124,0,0,0,80,14,66,80,14,66,0,0,0,293,235,58,293,235,58,0,0,0,0,0,0,0,0,0,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,5743,2498,3245,5242,2354,2888,501,144,357,1320,275,1045,1101,275,826,219,0,219,3678,1837,1841,3540,1837,1703,138,0,138,745,386,359,601,242,359,144,144,0
23,Monroe County (Central)--Rochester City (West) PUMA,3162,1729,1433,3135,1729,1406,27,0,27,609,479,130,609,479,130,0,0,0,2098,849,1249,2071,849,1222,27,0,27,455,401,54,455,401,54,0,0,0
24,Suffolk County (Central)--Islip Town (East) PUMA,3234,2355,879,3234,2355,879,0,0,0,1774,971,803,1774,971,803,0,0,0,1460,1384,76,1460,1384,76,0,0,0,0,0,0,0,0,0,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,2412,1429,983,2412,1429,983,0,0,0,1269,458,811,1269,458,811,0,0,0,1143,971,172,1143,971,172,0,0,0,0,0,0,0,0,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",9308,5167,4141,8608,4843,3765,700,324,376,1631,607,1024,1434,607,827,197,0,197,6222,3484,2738,5838,3160,2678,384,324,60,1455,1076,379,1336,1076,260,119,0,119
27,St. Lawrence County PUMA,394,220,174,357,183,174,37,37,0,107,8,99,107,8,99,0,0,0,287,212,75,250,175,75,37,37,0,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,806,432,374,806,432,374,0,0,0,137,34,103,137,34,103,0,0,0,651,380,271,651,380,271,0,0,0,18,18,0,18,18,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6059,2804,3255,5757,2621,3136,302,183,119,3708,1798,1910,3525,1615,1910,183,183,0,1765,841,924,1646,841,805,119,0,119,586,165,421,586,165,421,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6541,2717,3824,6541,2717,3824,0,0,0,2779,1410,1369,2779,1410,1369,0,0,0,3650,1307,2343,3650,1307,2343,0,0,0,112,0,112,112,0,112,0,0,0
31,Monroe County (North & West) PUMA,1625,897,728,1625,897,728,0,0,0,314,0,314,314,0,314,0,0,0,1311,897,414,1311,897,414,0,0,0,0,0,0,0,0,0,0,0,0
32,Schenectady County--Schenectady City PUMA,1419,497,922,1331,409,922,88,88,0,505,119,386,505,119,386,0,0,0,914,378,536,826,290,536,88,88,0,0,0,0,0,0,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2996,1836,1160,2996,1836,1160,0,0,0,1080,797,283,1080,797,283,0,0,0,1916,1039,877,1916,1039,877,0,0,0,0,0,0,0,0,0,0,0,0
34,Niagara County (North & East) PUMA,831,583,248,831,583,248,0,0,0,477,374,103,477,374,103,0,0,0,354,209,145,354,209,145,0,0,0,0,0,0,0,0,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4431,2235,2196,4388,2192,2196,43,43,0,1730,668,1062,1730,668,1062,0,0,0,2658,1524,1134,2658,1524,1134,0,0,0,43,43,0,0,0,0,43,43,0
36,Suffolk County (East) PUMA,1775,732,1043,1775,732,1043,0,0,0,844,176,668,844,176,668,0,0,0,839,556,283,839,556,283,0,0,0,92,0,92,92,0,92,0,0,0
37,Warren & Washington Counties PUMA,260,159,101,260,159,101,0,0,0,95,95,0,95,95,0,0,0,0,165,64,101,165,64,101,0,0,0,0,0,0,0,0,0,0,0,0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,4124,1862,2262,3968,1706,2262,156,156,0,1490,681,809,1334,525,809,156,156,0,2408,1132,1276,2408,1132,1276,0,0,0,226,49,177,226,49,177,0,0,0
