,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,6954814.0,3410121.0,3544693.0,4359224.0,2166810.0,2192414.0,2595590.0,1243311.0,1352279.0,2976986.0,1332307.0,1644679.0,1964914.0,878653.0,1086261.0,1012072.0,453654.0,558418.0,3538210.0,1837683.0,1700527.0,2218769.0,1181371.0,1037398.0,1319441.0,656312.0,663129.0,439618.0,240131.0,199487.0,175541.0,106786.0,68755.0,264077.0,133345.0,130732.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",40174.0,19344.0,20830.0,6019.0,2013.0,4006.0,34155.0,17331.0,16824.0,21469.0,9895.0,11574.0,3670.0,1193.0,2477.0,17799.0,8702.0,9097.0,15620.0,7465.0,8155.0,2107.0,820.0,1287.0,13513.0,6645.0,6868.0,3085.0,1984.0,1101.0,242.0,0.0,242.0,2843.0,1984.0,859.0
2,Ulster County (East) PUMA,65994.0,33284.0,32710.0,46065.0,23744.0,22321.0,19929.0,9540.0,10389.0,20530.0,8295.0,12235.0,16114.0,6954.0,9160.0,4416.0,1341.0,3075.0,41705.0,22724.0,18981.0,27788.0,15476.0,12312.0,13917.0,7248.0,6669.0,3759.0,2265.0,1494.0,2163.0,1314.0,849.0,1596.0,951.0,645.0
3,Albany County (East Central)--Albany City PUMA,41242.0,19498.0,21744.0,16649.0,8695.0,7954.0,24593.0,10803.0,13790.0,18053.0,8855.0,9198.0,10588.0,5176.0,5412.0,7465.0,3679.0,3786.0,20590.0,9311.0,11279.0,5514.0,3030.0,2484.0,15076.0,6281.0,8795.0,2599.0,1332.0,1267.0,547.0,489.0,58.0,2052.0,843.0,1209.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,47327.0,22639.0,24688.0,34054.0,16471.0,17583.0,13273.0,6168.0,7105.0,13239.0,6630.0,6609.0,11157.0,5499.0,5658.0,2082.0,1131.0,951.0,31241.0,13866.0,17375.0,21057.0,9333.0,11724.0,10184.0,4533.0,5651.0,2847.0,2143.0,704.0,1840.0,1639.0,201.0,1007.0,504.0,503.0
5,Ontario & Yates Counties PUMA,63130.0,30668.0,32462.0,50706.0,23974.0,26732.0,12424.0,6694.0,5730.0,23698.0,9523.0,14175.0,20169.0,8364.0,11805.0,3529.0,1159.0,2370.0,35780.0,18850.0,16930.0,27688.0,13976.0,13712.0,8092.0,4874.0,3218.0,3652.0,2295.0,1357.0,2849.0,1634.0,1215.0,803.0,661.0,142.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,41601.0,21539.0,20062.0,38488.0,20038.0,18450.0,3113.0,1501.0,1612.0,18404.0,7885.0,10519.0,16967.0,7196.0,9771.0,1437.0,689.0,748.0,21918.0,12673.0,9245.0,20442.0,12061.0,8381.0,1476.0,612.0,864.0,1279.0,981.0,298.0,1079.0,781.0,298.0,200.0,200.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,59782.0,28688.0,31094.0,35420.0,17505.0,17915.0,24362.0,11183.0,13179.0,29783.0,12821.0,16962.0,23185.0,11092.0,12093.0,6598.0,1729.0,4869.0,27098.0,14356.0,12742.0,11847.0,6170.0,5677.0,15251.0,8186.0,7065.0,2901.0,1511.0,1390.0,388.0,243.0,145.0,2513.0,1268.0,1245.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",78047.0,38947.0,39100.0,60509.0,30697.0,29812.0,17538.0,8250.0,9288.0,21178.0,7999.0,13179.0,18166.0,6658.0,11508.0,3012.0,1341.0,1671.0,52246.0,28624.0,23622.0,39828.0,22591.0,17237.0,12418.0,6033.0,6385.0,4623.0,2324.0,2299.0,2515.0,1448.0,1067.0,2108.0,876.0,1232.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,61938.0,30683.0,31255.0,39436.0,19302.0,20134.0,22502.0,11381.0,11121.0,18839.0,8983.0,9856.0,14917.0,7130.0,7787.0,3922.0,1853.0,2069.0,38941.0,18860.0,20081.0,23130.0,11313.0,11817.0,15811.0,7547.0,8264.0,4158.0,2840.0,1318.0,1389.0,859.0,530.0,2769.0,1981.0,788.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",41487.0,17359.0,24128.0,3776.0,1983.0,1793.0,37711.0,15376.0,22335.0,6151.0,2096.0,4055.0,1076.0,333.0,743.0,5075.0,1763.0,3312.0,25710.0,10588.0,15122.0,2279.0,1229.0,1050.0,23431.0,9359.0,14072.0,9626.0,4675.0,4951.0,421.0,421.0,0.0,9205.0,4254.0,4951.0
11,Livingston & Wyoming Counties PUMA,48146.0,24569.0,23577.0,40058.0,20966.0,19092.0,8088.0,3603.0,4485.0,10585.0,4674.0,5911.0,9598.0,4235.0,5363.0,987.0,439.0,548.0,33900.0,18064.0,15836.0,28270.0,15429.0,12841.0,5630.0,2635.0,2995.0,3661.0,1831.0,1830.0,2190.0,1302.0,888.0,1471.0,529.0,942.0
