,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,7265893,3563151,3702742,6084655,3051413,3033242,1181238,511738,669500,3061516,1369729,1691787,2875405,1295123,1580282,186111,74606,111505,3697468,1919016,1778452,2956797,1602867,1353930,740671,316149,424522,506909,274406,232503,252453,153423,99030,254456,120983,133473
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",40763,19630,21133,33759,17308,16451,7004,2322,4682,21469,9895,11574,19610,9114,10496,1859,781,1078,16087,7661,8426,12260,6650,5610,3827,1011,2816,3207,2074,1133,1889,1544,345,1318,530,788
2,Ulster County (East) PUMA,68326,34727,33599,56810,29358,27452,11516,5369,6147,20723,8295,12428,18329,7720,10609,2394,575,1819,43489,23851,19638,35829,20315,15514,7660,3536,4124,4114,2581,1533,2652,1323,1329,1462,1258,204
3,Albany County (East Central)--Albany City PUMA,42071,20278,21793,30206,15503,14703,11865,4775,7090,18053,8855,9198,16247,7772,8475,1806,1083,723,21234,9955,11279,13327,7206,6121,7907,2749,5158,2784,1468,1316,632,525,107,2152,943,1209
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,47550,22700,24850,39732,19189,20543,7818,3511,4307,13239,6630,6609,13008,6399,6609,231,231,0,31400,13899,17501,24735,11077,13658,6665,2822,3843,2911,2171,740,1989,1713,276,922,458,464
5,Ontario & Yates Counties PUMA,63561,31008,32553,54760,26024,28736,8801,4984,3817,23712,9537,14175,23145,9331,13814,567,206,361,36053,19087,16966,29126,15298,13828,6927,3789,3138,3796,2384,1412,2489,1395,1094,1307,989,318
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,41925,21703,20222,40100,20759,19341,1825,944,881,18404,7885,10519,18073,7885,10188,331,0,331,22138,12797,9341,21002,12147,8855,1136,650,486,1383,1021,362,1025,727,298,358,294,64
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,60153,28863,31290,52923,27580,25343,7230,1283,5947,29804,12842,16962,28328,12805,15523,1476,37,1439,27205,14401,12804,23160,13662,9498,4045,739,3306,3144,1620,1524,1435,1113,322,1709,507,1202
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",78862,39550,39312,64964,33101,31863,13898,6449,7449,21331,8136,13195,19763,7051,12712,1568,1085,483,52503,28764,23739,42932,24652,18280,9571,4112,5459,5028,2650,2378,2269,1398,871,2759,1252,1507
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,62441,31143,31298,46841,23917,22924,15600,7226,8374,18889,9033,9856,17587,8346,9241,1302,687,615,39078,18954,20124,27964,15000,12964,11114,3954,7160,4474,3156,1318,1290,571,719,3184,2585,599
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",43686,18331,25355,25378,10727,14651,18308,7604,10704,6709,2200,4509,5428,1855,3573,1281,345,936,26769,11210,15559,18286,7859,10427,8483,3351,5132,10208,4921,5287,1664,1013,651,8544,3908,4636
11,Livingston & Wyoming Counties PUMA,48513,24936,23577,41166,21124,20042,7347,3812,3535,10702,4791,5911,10275,4403,5872,427,388,39,34129,18293,15836,29561,16031,13530,4568,2262,2306,3682,1852,1830,1330,690,640,2352,1162,1190
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,61292,29615,31677,46523,22203,24320,14769,7412,7357,39994,17915,22079,34473,15282,19191,5521,2633,2888,17226,9231,7995,10586,5667,4919,6640,3564,3076,4072,2469,1603,1464,1254,210,2608,1215,1393
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,36920,18327,18593,31230,16014,15216,5690,2313,3377,13268,5030,8238,12577,4866,7711,691,164,527,21705,12059,9646,17520,10637,6883,4185,1422,2763,1947,1238,709,1133,511,622,814,727,87
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,48065,22800,25265,35509,16985,18524,12556,5815,6741,14142,7069,7073,12865,6286,6579,1277,783,494,29622,13985,15637,21588,10161,11427,8034,3824,4210,4301,1746,2555,1056,538,518,3245,1208,2037
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,33750,16484,17266,32121,15736,16385,1629,748,881,26154,13034,13120,25315,12342,12973,839,692,147,7097,3193,3904,6388,3191,3197,709,2,707,499,257,242,418,203,215,81,54,27
16,Monroe County (Central)--Rochester City (East) PUMA,48256,23052,25204,33035,17541,15494,15221,5511,9710,17304,8544,8760,16430,7985,8445,874,559,315,24673,12295,12378,14805,8532,6273,9868,3763,6105,6279,2213,4066,1800,1024,776,4479,1189,3290
17,Westchester County (Northwest) PUMA,51545,24887,26658,47209,23750,23459,4336,1137,3199,30943,13221,17722,29381,13128,16253,1562,93,1469,18687,11249,7438,16732,10205,6527,1955,1044,911,1915,417,1498,1096,417,679,819,0,819
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,40515,15581,24934,23686,9468,14218,16829,6113,10716,6653,1520,5133,6106,1185,4921,547,335,212,28073,11000,17073,16017,7541,8476,12056,3459,8597,5789,3061,2728,1563,742,821,4226,2319,1907
19,Onondaga County (Central)--Syracuse City PUMA,54964,27683,27281,36643,19299,17344,18321,8384,9937,14126,6243,7883,12120,4952,7168,2006,1291,715,34026,17970,16056,22394,12974,9420,11632,4996,6636,6812,3470,3342,2129,1373,756,4683,2097,2586
20,Westchester County (Northeast) PUMA,51373,25639,25734,48999,25023,23976,2374,616,1758,36358,17320,19038,35749,17139,18610,609,181,428,14537,8066,6471,12943,7655,5288,1594,411,1183,478,253,225,307,229,78,171,24,147
21,Madison & Cortland Counties PUMA,54568,27200,27368,44601,22400,22201,9967,4800,5167,14305,5804,8501,13645,5552,8093,660,252,408,35656,17724,17932,28109,14679,13430,7547,3045,4502,4607,3672,935,2847,2169,678,1760,1503,257
22,Erie County (West Central)--Buffalo City (West) PUMA,45343,20927,24416,34740,16671,18069,10603,4256,6347,22307,9395,12912,19435,7988,11447,2872,1407,1465,20064,10285,9779,13980,7820,6160,6084,2465,3619,2972,1247,1725,1325,863,462,1647,384,1263
23,Monroe County (Central)--Rochester City (West) PUMA,38308,19002,19306,21802,10171,11631,16506,8831,7675,7441,3407,4034,6352,3026,3326,1089,381,708,23938,11603,12335,13769,6069,7700,10169,5534,4635,6929,3992,2937,1681,1076,605,5248,2916,2332
24,Suffolk County (Central)--Islip Town (East) PUMA,48827,24193,24634,44614,21632,22982,4213,2561,1652,21526,8975,12551,20709,8848,11861,817,127,690,25388,14761,10627,22694,12503,10191,2694,2258,436,1913,457,1456,1211,281,930,702,176,526
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,41486,20789,20697,40003,20210,19793,1483,579,904,25084,11844,13240,24736,11719,13017,348,125,223,15891,8619,7272,14756,8165,6591,1135,454,681,511,326,185,511,326,185,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",22766,10542,12224,12078,6561,5517,10688,3981,6707,3966,1559,2407,3053,1418,1635,913,141,772,13451,6696,6755,7346,3962,3384,6105,2734,3371,5349,2287,3062,1679,1181,498,3670,1106,2564
