,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,0.8741406918075268,0.9200509891623887,0.8349056311806711,0.8154495248006733,0.8781930334777305,0.739107721409454,0.7215399305269743,0.7730970748532161,0.6355109392847729
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.862733353299391,0.8481187069422363,0.8757429946221341,0.8511166253101737,0.8253349953256466,0.8963631391851244,0.8747252747252747,1.0,0.7091836734693877
2,Ulster County (East) PUMA,0.8200841275757415,0.8996712689020381,0.7659269863994274,0.7928832630098452,0.8449263302168486,0.7225712585146485,0.7676999617298125,0.8357771260997068,0.6398678414096917
3,Albany County (East Central)--Albany City PUMA,0.8359724938489685,0.8381618381618382,0.833737090399082,0.7301576741401105,0.841422268362315,0.6131058020477815,0.435031847133758,1.0,0.15119617224880383
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.9302790576371381,0.9772538602025569,0.8786496350364964,0.8072395526780459,0.8443160934628512,0.7729589772635327,0.2854830005396654,0.21603005635566688,0.71875
5,Ontario & Yates Counties PUMA,0.8135448499011325,0.8339012861382874,0.7994678829342455,0.822363980018901,0.8990390775144138,0.7369810243972036,0.8615649183147034,0.9471635150166852,0.5700757575757576
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.8816915179662674,0.9368009702196469,0.8359610868835962,0.8495892374703644,0.8925118650026367,0.7773339251368545,0.6370481927710844,0.7061769616026711,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.8493119698397738,0.9569688991278591,0.7582631688817758,0.7854409539912788,0.8294234264001321,0.7340856481481481,0.7657232704402516,1.0,0.3726315789473684
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.8330018840276324,0.8856154910096818,0.8009765953864287,0.8118179136761381,0.8704338135138482,0.7255271313119037,0.7607585703865791,0.8634742740703005,0.5019255455712451
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.863931013975617,0.9369938065745593,0.7910678227818031,0.7970097933871612,0.8406359053896859,0.7427685950413223,0.7537473233404711,0.7486502699460108,0.7664670658682635
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.871031746031746,1.0,0.8090787716955942,0.8321589783111307,0.8335077164530473,0.8311787072243346,0.5693932694669614,0.4498525073746313,0.6887579774177712
11,Livingston & Wyoming Counties PUMA,0.873536546777766,0.9439322202840768,0.8218727139722019,0.8644305714602342,0.9218992248062016,0.7876800966266931,0.6349757113115891,0.781294964028777,0.49865951742627346
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.9311414392059554,0.958008826583593,0.9105005983246909,0.7432750332412805,0.6328339312091158,0.8471615720524017,0.33214709371293,0.6534653465346535,0.10010214504596528
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.9065543998679214,0.8847946725860155,0.9194375082139572,0.8197708751623952,0.9143536875495638,0.6803973122991528,0.861948142957253,0.7418086500655308,1.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.8512102874432678,0.849290780141844,0.8532238065716057,0.779466352242456,0.8307971014492753,0.731680580150097,0.490072202166065,0.3077731092436975,0.627373417721519
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.8459547209547209,0.8921640276086074,0.7916388279087525,0.8748091603053435,0.9947257383966245,0.7324707846410684,0.648,0.645320197044335,0.6511627906976745
16,Monroe County (Central)--Rochester City (East) PUMA,0.8727962085308056,0.8744029947076287,0.8712552612032681,0.7223114885802824,0.7328631254132687,0.7108477011494253,0.7444717444717445,0.6905109489051094,0.7836691410392365
17,Westchester County (Northwest) PUMA,0.8444282592862346,0.9056679835523663,0.7939828651125722,0.8356949632873889,0.8846076861489192,0.7473798337549693,0.6002814919071077,0.5440613026819924,0.7559681697612732
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.9106669025296303,0.9488721804511279,0.898912792042563,0.7864666258420085,0.7567441135194137,0.8056872037914692,0.6494992846924177,0.7379255740300871,0.5766470971950424
19,Onondaga County (Central)--Syracuse City PUMA,0.848377581120944,0.9302995391705069,0.7842872164638726,0.75120751734434,0.8092068774265113,0.6791096227715946,0.7603117895420591,0.8195797027165556,0.6578014184397163
20,Westchester County (Northeast) PUMA,0.8354009542865938,0.9494558645707376,0.7170899968642208,0.7842206191215414,0.9580547112462006,0.5225348890414093,0.4760914760914761,1.0,0.0
21,Madison & Cortland Counties PUMA,0.8955738347042694,0.9089187653853437,0.8861571352218065,0.8392056374119155,0.8869304955104755,0.7842761999540687,0.9600313479623824,0.9760900140646976,0.8782816229116945
22,Erie County (West Central)--Buffalo City (West) PUMA,0.859939686946532,0.8775968556990454,0.8468212915067579,0.8161360439841453,0.8406494960806271,0.7835220500595947,0.6444201312910285,0.8408119658119658,0.4383408071748879
23,Monroe County (Central)--Rochester City (West) PUMA,0.8753091808526117,0.9155339805825242,0.8424530795664816,0.7691433357262503,0.771529957690733,0.7672808605815316,0.699443413729128,0.6449511400651465,0.8341384863123994
24,Suffolk County (Central)--Islip Town (East) PUMA,0.9225106131441776,0.9430529595015577,0.9069349962207105,0.8916527381771704,0.9626108492450267,0.77814696485623,0.2952710495963091,0.4641509433962264,0.22093023255813954
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.8662014563106796,0.9462751971954426,0.7878580003429944,0.7792395179086743,0.8883010882708585,0.6395663956639567,1.0,1.0,1.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.9420677361853832,1.0,0.8998973305954825,0.8348874232431203,0.8694444444444445,0.7955760816723384,0.6118535735037769,0.5967302452316077,0.6387096774193548
27,St. Lawrence County PUMA,0.8966156246952112,0.9171309192200557,0.8817493692178301,0.841529845020715,0.9147681041497152,0.746113074204947,0.6645678305666858,0.7452357071213641,0.5573333333333333
28,Columbia & Greene Counties PUMA,0.8624182771750845,0.8260577568838147,0.8896144669094562,0.7992415264280636,0.8612837935521179,0.7244773519163763,0.44971264367816094,0.7107558139534884,0.19460227272727273
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.914466059602649,0.9330087885576426,0.8973235622112474,0.6777077363896848,0.7986549826778072,0.5222629649030907,0.7057471264367816,0.670995670995671,0.7247924080664294
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.8721130397360494,0.9537652698314519,0.8014715719063545,0.804953560371517,0.8772273699215966,0.7245888646720824,0.5523672883787661,0.5926680244399185,0.4563106796116505
31,Monroe County (North & West) PUMA,0.8643844634628045,0.9125300928579617,0.8262880986937591,0.8260276172125883,0.8844142998445669,0.7492098903141848,0.5074415308291992,0.9671052631578947,0.2879581151832461
