,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,288938,150145,138793,239903,128766,111137,49035,21379,27656,80435,31779,48656,71944,29917,42027,8491,1862,6629,178540,99129,79411,147119,83950,63169,31421,15179,16242,29963,19237,10726,20840,14899,5941,9123,4338,4785
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1618,1189,429,1371,942,429,247,247,0,204,107,97,97,0,97,107,107,0,1414,1082,332,1274,942,332,140,140,0,0,0,0,0,0,0,0,0,0
2,Ulster County (East) PUMA,1844,1078,766,1556,948,608,288,130,158,248,85,163,248,85,163,0,0,0,1596,993,603,1308,863,445,288,130,158,0,0,0,0,0,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,2009,485,1524,1025,253,772,984,232,752,716,253,463,630,253,377,86,0,86,1244,232,1012,346,0,346,898,232,666,49,0,49,49,0,49,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,886,479,407,823,443,380,63,36,27,79,36,43,43,0,43,36,36,0,476,112,364,449,112,337,27,0,27,331,331,0,331,331,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1301,1128,173,1128,1128,0,173,0,173,495,495,0,495,495,0,0,0,0,701,528,173,528,528,0,173,0,173,105,105,0,105,105,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4032,1653,2379,3270,1461,1809,762,192,570,2050,747,1303,1944,747,1197,106,0,106,1920,844,1076,1264,652,612,656,192,464,62,62,0,62,62,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",296,66,230,296,66,230,0,0,0,0,0,0,0,0,0,0,0,0,296,66,230,296,66,230,0,0,0,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2240,1414,826,1886,1258,628,354,156,198,454,0,454,333,0,333,121,0,121,1716,1414,302,1483,1258,225,233,156,77,70,0,70,70,0,70,0,0,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",9459,3680,5779,7455,2683,4772,2004,997,1007,1845,672,1173,1845,672,1173,0,0,0,5528,2222,3306,4411,1756,2655,1117,466,651,2086,786,1300,1199,255,944,887,531,356
11,Livingston & Wyoming Counties PUMA,53,53,0,0,0,0,53,53,0,53,53,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,6166,1984,4182,4631,1094,3537,1535,890,645,1020,0,1020,938,0,938,82,0,82,4177,1486,2691,3245,744,2501,932,742,190,969,498,471,448,350,98,521,148,373
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1689,837,852,1382,640,742,307,197,110,344,59,285,344,59,285,0,0,0,1060,544,516,950,544,406,110,0,110,285,234,51,88,37,51,197,197,0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,579,496,83,314,231,83,265,265,0,107,24,83,107,24,83,0,0,0,407,407,0,142,142,0,265,265,0,65,65,0,65,65,0,0,0,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,546,240,306,483,240,243,63,0,63,243,0,243,243,0,243,0,0,0,303,240,63,240,240,0,63,0,63,0,0,0,0,0,0,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,2920,1274,1646,2250,862,1388,670,412,258,418,204,214,328,114,214,90,90,0,1878,622,1256,1531,505,1026,347,117,230,624,448,176,391,243,148,233,205,28
17,Westchester County (Northwest) PUMA,2677,1759,918,2296,1440,856,381,319,62,562,322,240,562,322,240,0,0,0,1942,1264,678,1734,1118,616,208,146,62,173,173,0,0,0,0,173,173,0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1770,661,1109,1573,661,912,197,0,197,119,0,119,119,0,119,0,0,0,1324,415,909,1127,415,712,197,0,197,327,246,81,327,246,81,0,0,0
19,Onondaga County (Central)--Syracuse City PUMA,948,525,423,607,184,423,341,341,0,45,45,0,45,45,0,0,0,0,903,480,423,562,139,423,341,341,0,0,0,0,0,0,0,0,0,0
20,Westchester County (Northeast) PUMA,814,408,406,814,408,406,0,0,0,654,408,246,654,408,246,0,0,0,160,0,160,160,0,160,0,0,0,0,0,0,0,0,0,0,0,0
21,Madison & Cortland Counties PUMA,187,121,66,187,121,66,0,0,0,66,0,66,66,0,66,0,0,0,121,121,0,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,2337,1045,1292,2077,1045,1032,260,0,260,401,112,289,401,112,289,0,0,0,1513,807,706,1441,807,634,72,0,72,423,126,297,235,126,109,188,0,188
23,Monroe County (Central)--Rochester City (West) PUMA,1330,743,587,954,531,423,376,212,164,125,125,0,125,125,0,0,0,0,986,453,533,610,241,369,376,212,164,219,165,54,219,165,54,0,0,0
24,Suffolk County (Central)--Islip Town (East) PUMA,1648,1270,378,1648,1270,378,0,0,0,1067,765,302,1067,765,302,0,0,0,581,505,76,581,505,76,0,0,0,0,0,0,0,0,0,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,673,236,437,577,236,341,96,0,96,431,90,341,431,90,341,0,0,0,242,146,96,146,146,0,96,0,96,0,0,0,0,0,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",4294,2176,2118,3804,1992,1812,490,184,306,412,86,326,412,86,326,0,0,0,3107,1732,1375,2894,1601,1293,213,131,82,775,358,417,498,305,193,277,53,224
27,St. Lawrence County PUMA,54,33,21,51,30,21,3,3,0,8,8,0,8,8,0,0,0,0,46,25,21,43,22,21,3,3,0,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,532,214,318,532,214,318,0,0,0,109,34,75,109,34,75,0,0,0,423,180,243,423,180,243,0,0,0,0,0,0,0,0,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2377,583,1794,1721,583,1138,656,0,656,1100,252,848,749,252,497,351,0,351,834,166,668,529,166,363,305,0,305,443,165,278,443,165,278,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1688,782,906,1576,782,794,112,0,112,724,689,35,724,689,35,0,0,0,852,93,759,852,93,759,0,0,0,112,0,112,0,0,0,112,0,112
31,Monroe County (North & West) PUMA,1155,654,501,1100,654,446,55,0,55,87,0,87,87,0,87,0,0,0,1068,654,414,1013,654,359,55,0,55,0,0,0,0,0,0,0,0,0
32,Schenectady County--Schenectady City PUMA,293,293,0,293,293,0,0,0,0,119,119,0,119,119,0,0,0,0,174,174,0,174,174,0,0,0,0,0,0,0,0,0,0,0,0,0
