,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,239903,128766,111137,60040.46348732613,65492.14134165851,53724.01846369796,71944,29917,42027,82810.44965528745,99194.93398402246,71147.12327789278,147119,83950,63169,52500.02516330317,58541.56321620012,44470.97421203439,20840,14899,5941,34665.120921305184,36981.13967380361,28856.946641979466
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1371,942,429,50394.74835886215,42527.6008492569,67669.46386946387,97,0,97,107000.0,0.0,107000.0,1274,942,332,46084.92935635793,42527.6008492569,56178.31325301205,0,0,0,#DIV/0!,0.0,0.0
2,Ulster County (East) PUMA,1556,948,608,48437.40359897172,61666.666666666664,27810.197368421053,248,85,163,32268.548387096773,50000.0,23022.085889570553,1308,863,445,51503.058103975534,62815.758980301274,29564.044943820223,0,0,0,#DIV/0!,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,1025,253,772,73263.41463414633,185000.0,36645.07772020726,630,253,377,105492.06349206349,185000.0,52135.27851458886,346,0,346,20000.0,0.0,20000.0,49,0,49,35000.0,0.0,35000.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,823,443,380,18108.626974483595,18795.033860045147,17308.42105263158,43,0,43,35400.0,0.0,35400.0,449,112,337,18741.64810690423,30000.0,15000.0,331,331,0,15003.625377643504,15003.625377643504,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1128,1128,0,75245.9219858156,75245.9219858156,0.0,495,495,0,109121.21212121213,109121.21212121213,0.0,528,528,0,50894.69696969697,50894.69696969697,0.0,105,105,0,38000.0,38000.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3270,1461,1809,157954.3119266055,286666.6666666667,54002.54284134881,1944,747,1197,232215.84362139917,509445.7831325301,59207.68588137009,1264,652,612,49037.1835443038,53932.51533742331,43821.8954248366,62,62,0,50000.0,50000.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",296,66,230,29476.013513513513,24459.090909090908,30915.652173913044,0,0,0,#DIV/0!,0.0,0.0,296,66,230,29476.013513513513,24459.090909090908,30915.652173913044,0,0,0,#DIV/0!,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1886,1258,628,42108.271474019086,44412.71860095389,37492.03821656051,333,0,333,48486.48648648649,0.0,48486.48648648649,1483,1258,225,41780.98449089683,44412.71860095389,27066.666666666668,70,0,70,18700.0,0.0,18700.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",7455,2683,4772,48059.665995975854,56671.785314945955,43217.60477787091,1845,672,1173,83533.8753387534,104833.33333333333,71331.62830349531,4411,1756,2655,40215.23690773067,42383.371298405465,38781.246704331454,1199,255,944,22331.442869057548,28145.882352941175,20760.805084745763
