,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,913096,449857,463239,673541,351189,322352,239555,98668,140887,250746,104677,146069,226994,97688,129306,23752,6989,16763,525832,274875,250957,386231,215975,170256,139601,58900,80701,136518,70305,66213,60316,37526,22790,76202,32779,43423
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",4404,1805,2599,3726,1189,2537,678,616,62,204,107,97,204,107,97,0,0,0,3875,1373,2502,3522,1082,2440,353,291,62,325,325,0,0,0,0,325,325,0
2,Ulster County (East) PUMA,2177,1307,870,1621,1013,608,556,294,262,248,85,163,248,85,163,0,0,0,1929,1222,707,1373,928,445,556,294,262,0,0,0,0,0,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,2415,851,1564,1195,337,858,1220,514,706,716,253,463,716,253,463,0,0,0,1650,598,1052,430,84,346,1220,514,706,49,0,49,49,0,49,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,1089,571,518,373,255,118,716,316,400,79,36,43,43,0,43,36,36,0,679,204,475,187,112,75,492,92,400,331,331,0,143,143,0,188,188,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1427,1205,222,1427,1205,222,0,0,0,495,495,0,495,495,0,0,0,0,699,605,94,699,605,94,0,0,0,233,105,128,233,105,128,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5609,2282,3327,4078,1960,2118,1531,322,1209,2212,747,1465,2212,747,1465,0,0,0,2717,1306,1411,1637,984,653,1080,322,758,680,229,451,229,229,0,451,0,451
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",511,263,248,503,255,248,8,8,0,18,0,18,18,0,18,0,0,0,493,263,230,485,255,230,8,8,0,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2266,1414,852,1872,1258,614,394,156,238,454,0,454,454,0,454,0,0,0,1742,1414,328,1418,1258,160,324,156,168,70,0,70,0,0,0,70,0,70
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15588,5303,10285,7906,3254,4652,7682,2049,5633,1881,672,1209,1881,672,1209,0,0,0,9217,3111,6106,5578,2489,3089,3639,622,3017,4490,1520,2970,447,93,354,4043,1427,2616
11,Livingston & Wyoming Counties PUMA,308,53,255,197,0,197,111,53,58,53,53,0,0,0,0,53,53,0,255,0,255,197,0,197,58,0,58,0,0,0,0,0,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,9954,4081,5873,6885,3039,3846,3069,1042,2027,1131,111,1020,1049,111,938,82,0,82,7636,3365,4271,5456,2646,2810,2180,719,1461,1187,605,582,380,282,98,807,323,484
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1981,1046,935,1546,721,825,435,325,110,427,59,368,427,59,368,0,0,0,1141,625,516,1031,625,406,110,0,110,413,362,51,88,37,51,325,325,0
