,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.09472533958667337,0.06676729367482828,0.11476083220943527,0.2654859346711497,0.21427921782628467,0.3215730184852385,0.5581828037328411,0.4662399544840338,0.6558077718876958
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,0.0,0.09109677419354839,0.21194464675892208,0.02478017585931255,1.0,1.0,#DIV/0!
2,Ulster County (East) PUMA,0.0,0.0,0.0,0.288232244686366,0.24058919803600654,0.37057991513437055,#DIV/0!,#DIV/0!,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.0,0.7393939393939394,0.8595317725752508,0.6711026615969582,0.0,#DIV/0!,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.45569620253164556,1.0,0.0,0.7245949926362297,0.45098039215686275,0.8421052631578947,0.56797583081571,0.56797583081571,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0,0.39749723960250277,0.24655436447166923,0.5372076541459957,0.663235294117647,0.0,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,#DIV/0!,0.0,0.016227180527383367,0.030418250950570342,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,#DIV/0!,0.0,0.1859931113662457,0.11032531824611033,0.5121951219512195,1.0,#DIV/0!,1.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,0.3948139307800803,0.1999357119897139,0.4941041598427776,0.9004454342984409,0.9388157894736842,0.8808080808080808
11,Livingston & Wyoming Counties PUMA,1.0,1.0,#DIV/0!,0.22745098039215686,#DIV/0!,0.22745098039215686,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.07250221043324491,0.0,0.0803921568627451,0.285489785227868,0.21367013372956908,0.34207445563099975,0.6798652064026959,0.5338842975206611,0.8316151202749141
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,0.0,0.09640666082383874,0.0,0.2131782945736434,0.7869249394673123,0.8977900552486188,0.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,0.0,0.0,0.6511056511056511,0.6511056511056511,#DIV/0!,0.8379052369077307,0.0,1.0
