,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,0.7047748926978475,0.6938308786077902,0.7140767221229204,0.7370045033420217,0.7391543740047848,0.7346551447691542,0.5640856394831153,0.5904402650465974,0.5278452910787749
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.18187814329293428,0.14987484355444305,0.21753529719365522,0.3348876642645189,0.22743259085580306,0.6156202143950995,0.0,0.0,0.0
2,Ulster County (East) PUMA,0.7894599257593977,0.8400814871403107,0.7541914308524794,0.700193263390392,0.7146932952924394,0.6830400192864031,0.5832022648631645,0.5268656716417911,0.6800684345594525
3,Albany County (East Central)--Albany City PUMA,0.6622953143829304,0.6732200533632917,0.6511594617807043,0.4699971011691951,0.47585034013605443,0.46229581561870664,0.39983646770237125,0.4856007944389275,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.8286278706066343,0.8170494985441604,0.840623428858723,0.6925606247431155,0.7156649018997198,0.674412915851272,0.6688476917484552,0.7648156789547363,0.3305921052631579
5,Ontario & Yates Counties PUMA,0.8720749522667732,0.8803537183038568,0.8661591168633422,0.7825144296973426,0.7538113124171454,0.8149372933175266,0.845863371095091,0.8163875598086124,0.8855761482675262
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.9503559043621099,0.968296111197876,0.9389077137731712,0.9261815453863466,0.9457446808510638,0.9008605851979345,0.8087954110898662,0.771689497716895,1.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.8620655993752441,0.8574022746822135,0.866932668329177,0.6646794539485052,0.7526464361326747,0.5802573653911277,0.4565826330532213,0.6441281138790036,0.3348729792147806
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.8726229269004426,0.8547749585617749,0.8836295014939456,0.7660259004451639,0.7963411946219969,0.7288494458960266,0.5938507314654103,0.7460674157303371,0.4735907678650688
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.7881034674991638,0.787109375,0.7890405024907949,0.6623524698776617,0.6657953208730885,0.6592804245145489,0.3421150278293135,0.32084592145015106,0.37596153846153846
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,0.3895131086142322,0.6775244299674267,0.0,0.0,#DIV/0!,0.0
11,Livingston & Wyoming Counties PUMA,0.9096537047784872,0.9137815501451865,0.9065005971677188,0.8419938586292222,0.8559000669194735,0.8260201140221639,0.5830498866213152,0.6977142857142857,0.4701912260967379
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.19105575997735635,0.13624319152068307,0.24179043466412317,0.2462453066332916,0.30980392156862746,0.187875150060024,0.0,0.0,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.8898139079333987,0.9716248506571087,0.83298755186722,0.8002838774317442,0.8129675810473815,0.7810464383273797,1.0,1.0,1.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.7850439222163826,0.7023377377668071,0.8736007462686567,0.6688475292587777,0.6102276531637094,0.7241706161137441,0.3548038862900324,0.3830227743271222,0.33976833976833976
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.8250107991360691,0.850590568152427,0.7993247337892823,0.8290551611141452,0.6665387567152724,0.9757533772081746,1.0,1.0,1.0
16,Monroe County (Central)--Rochester City (East) PUMA,0.5353057199211045,0.49140455876735006,0.5821666440125051,0.4944438079963341,0.5451478467949991,0.42520325203252035,0.06380753138075314,0.20677966101694914,0.0
17,Westchester County (Northwest) PUMA,0.8532478859353078,0.8738341968911917,0.8371306875802853,0.8156859941374133,0.7920754716981132,0.8467782010932582,0.8276220145379024,1.0,0.6959706959706959
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,#DIV/0!,0.12197686645636173,0.2691415313225058,0.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,0.660901150220531,0.5867606737171954,0.7195291931237416,0.5715336312722747,0.5415765677216434,0.6121551379448221,0.28641975308641976,0.26860622462787553,0.31407563025210083
20,Westchester County (Northeast) PUMA,0.920125786163522,0.937904438198575,0.9050909291913106,0.8444013948082139,0.8143322475570033,0.8844139425681777,1.0,1.0,1.0
21,Madison & Cortland Counties PUMA,0.8604751001717229,0.8707128748428802,0.8536933507791127,0.7215675138435326,0.7195457673778389,0.7235502559199055,0.5703602991162474,0.5494474355341457,0.6538461538461539
22,Erie County (West Central)--Buffalo City (West) PUMA,0.5304035970452843,0.550687184306355,0.5134231487855246,0.45184570717544587,0.44752121482804824,0.45728737354814536,0.5254372019077902,0.5399361022364217,0.5110759493670886
23,Monroe County (Central)--Rochester City (West) PUMA,0.5892458723784025,0.558055805580558,0.6199115044247787,0.552051991816103,0.5944431996414967,0.5028601144045762,0.5275807722616234,0.42844036697247706,0.6022099447513812
