,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,0.022551578376603293,0.024619295431545177,0.020663406010176463,0.037347819000213146,0.03896912234067446,0.0352996956576231,0.07876707044209552,0.08746478712605923,0.06057859715232894
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.06920446364290857,0.05660377358490566,0.08393519422213547,0.0,0.0,0.0,0.0,#DIV/0!,0.0
2,Ulster County (East) PUMA,0.012403191055727014,0.0,0.02123840861501645,0.0404892028792322,0.04291142940660626,0.037278152367666434,0.03455182774161242,0.013206162876008804,0.0804416403785489
3,Albany County (East Central)--Albany City PUMA,0.03761855423607237,0.040399313679613164,0.03471316818774446,0.041817243159525036,0.06683168316831684,0.0,0.0,0.0,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,0.06299577863339055,0.08379727394893453,0.04354071281084478,0.24111795357650403,0.27439353099730457,0.0
5,Ontario & Yates Counties PUMA,0.027858017135862913,0.06559077809798271,0.0,0.022369902313251262,0.027239997282793287,0.016775905118601747,0.03417634996582365,0.023255813953488372,0.06956521739130435
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.045020368029217585,0.06214213539912428,0.0327710843373494,0.05771721033483382,0.06603396603396604,0.04430481714193652,0.23923444976076555,0.23923444976076555,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.02236126224156692,0.027552834287971558,0.015992246183668523,0.023824718145075516,0.0,0.04816168565899807,0.22248803827751196,0.0,0.3875
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.02128493810564051,0.04108201938376971,0.008775137111517367,0.026201354103594428,0.026710275279367673,0.025418994413407822,0.05319693094629156,0.08843537414965986,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.010523630333567192,0.020448630561407857,0.0,0.03491470155485744,0.06176313987982049,0.0055,0.0,0.0,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Livingston & Wyoming Counties PUMA,0.008213777242361187,0.0,0.014272121788772598,0.019954389965792473,0.024289336714266647,0.014217590957258918,0.1256720430107527,0.18944844124700239,0.04434250764525994
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.006535202705269957,0.0,0.01233947915919363,0.25396825396825395,0.23513513513513515,0.2710892710892711,0.3581081081081081,#DIV/0!,0.3581081081081081
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.04340183883180097,0.056164383561643834,0.035075960679177835,0.028021921207734463,0.04257659073055774,0.0,0.0,0.0,#DIV/0!
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.011891093980646219,0.0,0.025182354984369573,0.08375931842385516,0.11114602975068091,0.0554472601256227,0.07730426164519326,0.0,0.0998719590268886
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.03256854482076895,0.01798727054699751,0.05143198090692124,0.0,0.0,0.0,0.0,0.0,0.0
16,Monroe County (Central)--Rochester City (East) PUMA,0.01808895509682911,0.018015521064301553,0.018165964249382358,0.031603053435114506,0.04837578873568591,0.0,0.0,0.0,0.0
17,Westchester County (Northwest) PUMA,0.03492552645095018,0.008146067415730337,0.05747398297067171,0.026256983240223464,0.02500395632220288,0.028047952951820856,0.058981233243967826,0.0,0.1337386018237082
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,0.022403907411339987,0.0,0.040994754225762584,0.08121755209444563,0.09855364951227716,0.051147413457798524,0.12327773749093546,0.1710261569416499,0.0
20,Westchester County (Northeast) PUMA,0.021078735275883446,0.028481661088723447,0.01354825262280275,0.04901329901329901,0.032322893987606766,0.0787354607813898,0.0,0.0,#DIV/0!
21,Madison & Cortland Counties PUMA,0.020896500860444152,0.025025025025025027,0.018035516093229745,0.036986853187827295,0.03939924568965517,0.034111886989324984,0.12621722846441946,0.12797881729920565,0.11633663366336634
22,Erie County (West Central)--Buffalo City (West) PUMA,0.016263343206840666,0.008978403300169862,0.022484716609677755,0.042901234567901236,0.041430948419301165,0.045283018867924525,0.0,0.0,0.0
23,Monroe County (Central)--Rochester City (West) PUMA,0.015655039824224115,0.03323615160349854,0.0,0.04516129032258064,0.03200522534291313,0.06115965051628276,0.11573472041612484,0.1592128801431127,0.0
24,Suffolk County (Central)--Islip Town (East) PUMA,0.02151473697301331,0.013319044703000613,0.02712041884816754,0.007686130549500975,0.012366186784791436,0.0,0.1550925925925926,0.3941176470588235,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.02224131347842688,0.0235774621739534,0.020827193240986343,0.0,0.0,0.0,0.0,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,0.019668100799016593,0.04582338902147971,0.0,0.034165948894631065,0.017210944395410415,0.055540101993509505,0.16466876971608832,0.28502994011976046,0.030666666666666665
28,Columbia & Greene Counties PUMA,0.013233082706766918,0.004910557699052964,0.019478810213214005,0.0570029043304868,0.07401941747572816,0.03551108495193251,0.1955104996379435,0.3988183161004431,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.01380545604849821,0.014414813993457893,0.013203309045088478,0.13740208877284596,0.22041884816753926,0.0,0.0,0.0,#DIV/0!
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.07317797239127208,0.09336397586900316,0.051597051597051594,0.025792188651436992,0.04400670578373848,0.0,0.191044776119403,0.191044776119403,#DIV/0!
31,Monroe County (North & West) PUMA,0.03337946305009687,0.022041207474844275,0.04312030462076773,0.030213434352767254,0.034659041677497615,0.02513607125185552,0.0,0.0,0.0
32,Schenectady County--Schenectady City PUMA,0.006514336475349158,0.0,0.011383235598482234,0.055170239596469106,0.04598345717089584,0.06696669666966697,0.07085793678360541,0.13963039014373715,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.062338556914069226,0.04524886877828054,0.08182823442683376,0.05900046274872744,0.05998089780324738,0.057494866529774126,0.017889087656529516,0.0,0.10526315789473684
34,Niagara County (North & East) PUMA,0.0391282813273898,0.045370938074800735,0.03489821354383049,0.055283682520263035,0.07890365448504984,0.026135975401434915,0.0,0.0,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.025349712419228856,0.02038216560509554,0.028528178854215182,0.03302837649247945,0.03560132401618242,0.030161462175231538,0.0,0.0,0.0
36,Suffolk County (East) PUMA,0.0032493055919501075,0.0063713904018086525,0.0,0.0014179369018078695,0.0024645717806531116,0.0,0.3804034582132565,0.24825174825174826,1.0
37,Warren & Washington Counties PUMA,0.017339090541087572,0.022807286086024798,0.013029315960912053,0.030959054154183176,0.040486805639233646,0.02000969327702001,0.06967572304995617,0.0736902705814623,0.05688073394495413
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.061599822734323066,0.09353574926542606,0.03520841764467827,0.0,0.0,0.0,0.0,0.0,#DIV/0!
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.011775838502786247,0.0,0.023753976670201484,0.08798775822494262,0.0622802611752888,0.17014446227929375,0.398989898989899,0.44950213371266,0.0
40,Westchester County (Central)--White Plains City PUMA,0.03061719187022189,0.0320017337282381,0.029139685476410732,0.05558150397010743,0.07698999565028274,0.030761472516389308,#DIV/0!,#DIV/0!,#DIV/0!
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.4601226993865031,0.8389261744966443,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
42,Erie County (North Central) PUMA,0.007526665325015094,0.01599110655036771,0.0,0.033686498234175494,0.05662100456621005,0.0,0.0,0.0,0.0
