,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,0.0179722914388976,0.018643382719517283,0.01729558388541973,0.057781204259545145,0.05367791598526521,0.06409561834008824,0.16629550189345346,0.1649384547360614,0.16977680204903037
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.09506142303569956,0.08839173967459324,0.10249259194701063,0.05867768595041322,0.06394009216589862,0.04532163742690058,1.0,1.0,1.0
2,Ulster County (East) PUMA,0.10293505412156537,0.07321110262286733,0.12348178137651822,0.1450946736040337,0.11713633657471721,0.17799182720373613,0.3663663663663664,0.4701527070800555,0.174508126603935
3,Albany County (East Central)--Albany City PUMA,0.09824909619337917,0.15208538126667603,0.043372459204122533,0.22250883729817522,0.1875625208402801,0.2694115014544641,0.8579545454545454,0.8250218722659668,1.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.019013910609926743,0.037366548042704624,0.0,0.20347470618293306,0.19080531179622584,0.21337540963709187,0.28760744985673353,0.21096269000460618,0.5555555555555556
5,Ontario & Yates Counties PUMA,0.022956351849385017,0.01662049861495845,0.027483821850019033,0.17278919485358327,0.17744311671304633,0.16746739876458477,0.29702322538436376,0.33503691084611015,0.24537037037037038
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.020137494676644156,0.0,0.032987841339445885,0.050890458660829765,0.047560003542644586,0.05515832482124617,0.31130434782608696,0.32096069868995636,0.27350427350427353
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.019893705202593984,0.0035291873330789776,0.037007481296758106,0.057793496075217804,0.029365218920344646,0.08516762614290552,0.3198433420365535,0.0,0.5051546391752577
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.07469320707314717,0.1332080200501253,0.03797766944488127,0.17912194334597692,0.14329659061779032,0.22307588623803748,0.5003397508493771,0.35909745559289485,0.6265008576329331
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.06976873471203024,0.07847840986977382,0.06151180420186268,0.2654785681364265,0.21167835801506885,0.31377922910956907,0.6406509465293923,0.7102993404363267,0.5086538461538461
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.3534136546184739,0.4292682926829268,0.0,0.2149390243902439,0.32867132867132864,0.0,1.0,1.0,1.0
11,Livingston & Wyoming Counties PUMA,0.02749372950028941,0.05460599334073252,0.0066541545811295,0.13087686014110392,0.11957181482094575,0.1440010249183268,0.6614819004524887,0.6535836177474402,0.6692913385826772
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.08330385567739654,0.08755150088287228,0.0793704864422946,0.27615833077631174,0.18581293157564344,0.3625450180072029,0.8596491228070176,1.0,0.6216216216216216
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.036283940094971386,0.04898446833930705,0.027543679342240494,0.12833070473976924,0.10618982118294361,0.1620263763868537,0.0,0.0,0.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.08784443276522261,0.11369246406272687,0.060167910447761194,0.2571647077765255,0.2548761418813266,0.2593555503033168,0.7536592961694176,0.8047210300429185,0.7142857142857143
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.02790496760259179,0.04302095008190361,0.012726170894294866,0.03431372549019608,0.0007630675314765357,0.06477312088673363,0.0,0.0,0.0
16,Monroe County (Central)--Rochester City (East) PUMA,0.03779910596897187,0.051432208784213874,0.0232431697702868,0.2706474490963166,0.20209817893903403,0.36449864498644985,1.0,1.0,1.0
17,Westchester County (Northwest) PUMA,0.03424450653175262,0.007952116289012398,0.05503346629707254,0.10292052794158944,0.112279843444227,0.0903098220171391,0.28147389969293757,0.0,0.49107142857142855
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,#DIV/0!,0.28159457167090757,0.34468937875751504,0.23529411764705882,#DIV/0!,#DIV/0!,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,0.1575085324232082,0.24529735892076762,0.08595322905374013,0.23510626582975444,0.23129958443520968,0.24042777924478478,0.6321361058601134,0.5861657722122838,0.7117768595041323
20,Westchester County (Northeast) PUMA,0.0167381462949726,0.01168873103002906,0.021060195677408657,0.0969989281886388,0.055360991379310345,0.15182688896771904,0.23821339950372208,0.0,0.5517241379310345
21,Madison & Cortland Counties PUMA,0.04429021179164282,0.03788831028910038,0.04853098608302605,0.20655011919627653,0.16073781291172595,0.25153270712638504,0.3851203501094092,0.41348005502063273,0.2748663101604278
22,Erie County (West Central)--Buffalo City (West) PUMA,0.10753666630981694,0.1224010337131446,0.0950929294915921,0.26919921234000654,0.20032453164183509,0.3555185801442041,0.5680566483084186,0.33706070287539935,0.7922480620155039
23,Monroe County (Central)--Rochester City (West) PUMA,0.13032859680284192,0.06729055258467023,0.1929203539823009,0.37179188054129725,0.42759940463533913,0.30395451020935643,0.8584939978173881,0.7689335394126738,0.9381443298969072
24,Suffolk County (Central)--Islip Town (East) PUMA,0.04418126757516764,0.017015005359056805,0.06256800870511425,0.09334308036734135,0.1255307650737281,0.04667562122229684,0.36312535132096685,0.29925187032418954,0.38171262699564584
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.015181258997513415,0.011236965120460267,0.01889990677176032,0.07438703421526527,0.059245726216886334,0.09151291512915129,0.0,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.7727272727272727,0.8208955223880597,0.7061855670103093,1.0,1.0,#DIV/0!
27,St. Lawrence County PUMA,0.04746271456711378,0.03568357695614789,0.056581793975703114,0.2064433950540574,0.1390328678577962,0.2764582937488125,0.5094289508632138,0.4539624370132845,0.5859671302149179
28,Columbia & Greene Counties PUMA,0.13407100672052136,0.136070110701107,0.13249057979822534,0.17491506427095374,0.17374621339616292,0.17618282710280375,0.3844877644131066,0.4268808114961961,0.34364820846905536
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.024812660483152543,0.02304499781564002,0.026443034149289817,0.06125166444740346,0.03556771545827633,0.0973111395646607,0.4307692307692308,0.19855595667870035,1.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.05086729807385336,0.048739088263821534,0.05253176559833112,0.08272692454998085,0.08898776418242492,0.07603960396039604,0.22632794457274827,0.0,1.0
