,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,897048.0,441595.0,455453.0,339552.0,176911.0,162641.0,557496.0,264684.0,292812.0,249470.0,103797.0,145673.0,114368.0,48794.0,65574.0,135102.0,55003.0,80099.0,516909.0,269907.0,247002.0,195320.0,110865.0,84455.0,321589.0,159042.0,162547.0,130669.0,67891.0,62778.0,29864.0,17252.0,12612.0,100805.0,50639.0,50166.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",13088.0,5585.0,7503.0,900.0,140.0,760.0,12188.0,5445.0,6743.0,3564.0,1913.0,1651.0,248.0,0.0,248.0,3316.0,1913.0,1403.0,8378.0,2871.0,5507.0,652.0,140.0,512.0,7726.0,2731.0,4995.0,1146.0,801.0,345.0,0.0,0.0,0.0,1146.0,801.0,345.0
2,Ulster County (East) PUMA,3516.0,2133.0,1383.0,2460.0,1675.0,785.0,1056.0,458.0,598.0,754.0,380.0,374.0,518.0,380.0,138.0,236.0,0.0,236.0,2685.0,1676.0,1009.0,1865.0,1218.0,647.0,820.0,458.0,362.0,77.0,77.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,3496.0,1391.0,2105.0,576.0,241.0,335.0,2920.0,1150.0,1770.0,1059.0,413.0,646.0,195.0,0.0,195.0,864.0,413.0,451.0,2388.0,978.0,1410.0,381.0,241.0,140.0,2007.0,737.0,1270.0,49.0,0.0,49.0,0.0,0.0,0.0,49.0,0.0,49.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1308.0,337.0,971.0,714.0,0.0,714.0,594.0,337.0,257.0,351.0,0.0,351.0,351.0,0.0,351.0,0.0,0.0,0.0,957.0,337.0,620.0,363.0,0.0,363.0,594.0,337.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,2438.0,1370.0,1068.0,1721.0,1079.0,642.0,717.0,291.0,426.0,498.0,343.0,155.0,350.0,307.0,43.0,148.0,36.0,112.0,1427.0,610.0,817.0,1097.0,498.0,599.0,330.0,112.0,218.0,513.0,417.0,96.0,274.0,274.0,0.0,239.0,143.0,96.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3094.0,2076.0,1018.0,2537.0,1590.0,947.0,557.0,486.0,71.0,1541.0,1051.0,490.0,984.0,565.0,419.0,557.0,486.0,71.0,1320.0,920.0,400.0,1320.0,920.0,400.0,0.0,0.0,0.0,233.0,105.0,128.0,233.0,105.0,128.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,11014.0,5150.0,5864.0,4370.0,1912.0,2458.0,6644.0,3238.0,3406.0,3873.0,1348.0,2525.0,2763.0,1186.0,1577.0,1110.0,162.0,948.0,5927.0,3443.0,2484.0,1298.0,664.0,634.0,4629.0,2779.0,1850.0,1214.0,359.0,855.0,309.0,62.0,247.0,905.0,297.0,608.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",841.0,438.0,403.0,623.0,378.0,245.0,218.0,60.0,158.0,194.0,115.0,79.0,73.0,55.0,18.0,121.0,60.0,61.0,647.0,323.0,324.0,550.0,323.0,227.0,97.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4329.0,2151.0,2178.0,1801.0,777.0,1024.0,2528.0,1374.0,1154.0,1098.0,52.0,1046.0,576.0,52.0,524.0,522.0,0.0,522.0,3058.0,2065.0,993.0,1052.0,691.0,361.0,2006.0,1374.0,632.0,173.0,34.0,139.0,173.0,34.0,139.0,0.0,0.0,0.0
