,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,0.8906919079566338,0.9173457508731082,0.8711542857142857,0.8161060274646338,0.8555112374977311,0.7667246025172932,0.7448340221303826,0.8280123827303448,0.6051127342013337
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.967624810892587,0.9337871287128713,1.0,0.9143121815655396,0.9324975891996142,0.8975044563279857,0.8931034482758621,1.0,0.0
2,Ulster County (East) PUMA,0.856353591160221,1.0,0.7714285714285715,0.8104967948717948,0.9167200512491992,0.6331550802139038,1.0,1.0,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,0.9018264840182648,1.0,0.8142548596112311,0.4593733404142326,0.6209150326797386,0.3815892997639654,1.0,#DIV/0!,1.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1.0,#DIV/0!,1.0,0.7147335423197492,0.18991097922848665,1.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.927710843373494,0.8950437317784257,1.0,0.7133928571428572,0.5634920634920635,0.7897574123989218,1.0,1.0,1.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.9173280423280423,1.0,0.7288503253796096,0.8691376701966718,1.0,0.6388308977035491,1.0,1.0,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.9697056301800514,1.0,0.9551417689377909,0.8140786749482402,0.8544112713854412,0.7490535424553812,0.7851002865329513,1.0,0.5222929936305732
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.6822916666666666,1.0,0.2077922077922078,1.0,1.0,1.0,1.0,1.0,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.8753861997940268,1.0,0.8683351468988031,0.8299922898997687,0.8142857142857143,0.8785488958990536,0.23178807947019867,0.0,1.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.8606471816283925,0.9029045643153527,0.8412637990102779,0.7480968858131488,0.7596899224806202,0.73875,0.6278158667972575,0.4430091185410334,0.7670291929021179
11,Livingston & Wyoming Counties PUMA,0.15873015873015872,0.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.8925081433224755,1.0,0.8762113160362613,0.8085409252669039,0.66952629615815,0.9353521605988432,0.46233230134158926,0.7028112449799196,0.208067940552017
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.6496674057649667,0.3628808864265928,0.8410351201478743,0.8981745579007416,1.0,0.8099041533546326,0.7185714285714285,0.41887905604719766,1.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,1.0,1.0,1.0,0.7234957020057307,0.681107099879663,0.7858407079646018,1.0,1.0,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.6678362573099416,0.3515981735159817,1.0,0.7255172413793104,1.0,0.5896907216494846,#DIV/0!,#DIV/0!,#DIV/0!
16,Monroe County (Central)--Rochester City (East) PUMA,0.8301886792452831,0.7151898734177216,1.0,0.8369098712446352,0.9321739130434783,0.7760917838638046,0.7878787878787878,0.8028846153846154,0.7380191693290735
17,Westchester County (Northwest) PUMA,1.0,1.0,1.0,0.9301779120510238,0.9291949563530553,0.9323882224645583,0.6399456521739131,0.7052810902896082,0.3825503355704698
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1.0,1.0,1.0,0.7633666781648845,0.9107939339875112,0.6704161979752531,1.0,1.0,1.0
19,Onondaga County (Central)--Syracuse City PUMA,0.7168141592920354,0.7407407407407407,0.6653386454183267,0.6605442176870748,0.6164229471316085,0.7280550774526678,#DIV/0!,#DIV/0!,#DIV/0!
20,Westchester County (Northeast) PUMA,0.8880918220946915,0.8956661316211878,0.8769230769230769,0.5260869565217391,1.0,0.32854209445585214,0.0,#DIV/0!,0.0
21,Madison & Cortland Counties PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,1.0,1.0,1.0,0.9050847457627119,0.9673380511703865,0.8379330593071052,0.7984994640943194,1.0,0.6563071297989032
23,Monroe County (Central)--Rochester City (West) PUMA,1.0,1.0,1.0,0.6605621805792163,0.7768421052631579,0.5815450643776824,1.0,1.0,1.0
24,Suffolk County (Central)--Islip Town (East) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,1.0,1.0,1.0,0.6773378264532435,0.7172413793103448,0.4418604651162791,#DIV/0!,#DIV/0!,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1.0,1.0,1.0,0.9272670516622444,0.9415317046390338,0.908465991316932,0.493411420204978,0.5457685664939551,0.42536475869809204
27,St. Lawrence County PUMA,1.0,1.0,1.0,0.9881422924901185,0.9831460674157303,1.0,#DIV/0!,#DIV/0!,#DIV/0!
28,Columbia & Greene Counties PUMA,0.7956204379562044,1.0,0.7281553398058253,1.0,1.0,1.0,1.0,1.0,#DIV/0!
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.8667178306472244,0.9565695437053326,0.7885167464114833,0.568271954674221,0.760998810939358,0.39285714285714285,0.886535552193646,0.6875,1.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.8506657070888809,1.0,0.6968590211833455,0.7394520547945206,0.9051262433052792,0.6470337174562527,0.0,#DIV/0!,0.0
31,Monroe County (North & West) PUMA,1.0,#DIV/0!,1.0,0.958047292143402,1.0,0.8671497584541062,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.9527777777777777,0.9360100376411543,1.0,0.4971751412429379,0.16822429906542055,0.8985176738882554,#DIV/0!,#DIV/0!,#DIV/0!
34,Niagara County (North & East) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.86878612716763,1.0,0.7862523540489642,0.8054928517682468,0.9225721784776902,0.6481481481481481,#DIV/0!,#DIV/0!,#DIV/0!
36,Suffolk County (East) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Warren & Washington Counties PUMA,0.0,0.0,#DIV/0!,1.0,1.0,1.0,1.0,1.0,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1.0,1.0,1.0,0.7746815286624203,1.0,0.5405844155844156,0.0,0.0,#DIV/0!
40,Westchester County (Central)--White Plains City PUMA,1.0,1.0,1.0,0.875,0.9575757575757575,0.7432867883995704,1.0,1.0,#DIV/0!
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.8501926782273603,0.9594339622641509,0.7362204724409449,0.6985180986314682,0.6796951338675005,0.7118362831858407,0.7692307692307693,1.0,0.533751962323391
42,Erie County (North Central) PUMA,1.0,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
43,Chautauqua County PUMA,1.0,#DIV/0!,1.0,0.5902828136330674,0.3880597014925373,0.7636363636363637,1.0,1.0,1.0
44,Dutchess County (Southwest) PUMA,0.8689533861037819,1.0,0.8403001071811361,0.9142578759337447,0.9638492871690427,0.8269058295964126,1.0,1.0,#DIV/0!
45,Westchester County (Southeast) PUMA,0.753968253968254,0.7134866376631448,0.8369426751592357,0.8455827765404603,1.0,0.7057991513437057,1.0,1.0,#DIV/0!
46,Rockland County (North)--New City & Congers PUMA,0.7901766479965532,0.879154078549849,0.754671488848704,0.8290249433106576,0.9182926829268293,0.5699115044247788,0.9553719008264463,0.9553719008264463,#DIV/0!
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.6924671734623359,0.7166172106824926,0.6714100905562742,0.7932977461447213,0.7641582622187743,0.8113298127700432,1.0,1.0,1.0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.8146919431279621,1.0,0.7782189449801474,0.7941287165976666,0.8120603015075377,0.7406296851574213,0.0,#DIV/0!,0.0
49,Erie County (West Central)--Buffalo City (East) PUMA,1.0,1.0,1.0,0.8744870041039672,1.0,0.7397163120567376,1.0,#DIV/0!,1.0
50,Wayne & Seneca Counties PUMA,1.0,1.0,#DIV/0!,1.0,1.0,1.0,0.3682539682539683,0.3682539682539683,#DIV/0!
51,Monroe County (South) PUMA,0.8516949152542372,1.0,0.7469879518072289,0.8829981718464351,1.0,0.7450199203187251,#DIV/0!,#DIV/0!,#DIV/0!
52,Tompkins County PUMA,0.9559808612440192,0.0,1.0,0.4710526315789474,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.835352422907489,0.42165242165242167,0.9344709897610921,0.8387479250652122,0.8809355067328136,0.753405017921147,1.0,1.0,1.0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1.0,1.0,1.0,0.9159891598915989,0.9444444444444444,0.8830409356725146,0.9336188436830836,0.9336188436830836,#DIV/0!
55,NYC-Manhattan Community District 8--Upper East Side PUMA,1.0,1.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,#DIV/0!
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.8932208321210358,0.9542238868081565,0.8604339074032655,0.7354009077155824,0.6638530854340139,0.8762631933527959,0.9131602506714414,1.0,0.6453382084095064
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.7907180385288967,0.6745843230403801,0.8585298196948682,0.856757797458606,0.96,0.7532767925983038,0.7129337539432177,1.0,0.0
