,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,0.12265955992893263,0.08817729364259555,0.146059825900766,0.24439043855976555,0.20715298858650263,0.2806708254226562,0.35803542773136215,0.29790825990282466,0.4188550365480331
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.28317249698431846,0.35023523261892314,0.1917320028510335,0.15510635486854274,0.14317099963383376,0.16184373708143862,0.2835951134380454,0.40574282147315854,0.0
2,Ulster County (East) PUMA,0.0,#DIV/0!,0.0,0.30294906166219837,0.14847161572052403,0.5486111111111112,#DIV/0!,#DIV/0!,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,0.21180555555555555,0.0,0.4057649667405765,0.1290483308420528,0.0,0.20393700787401575,0.0,#DIV/0!,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0,0.2545454545454545,0.24640883977900552,0.2664864864864865,0.6718232044198895,0.0,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.6475095785440613,#DIV/0!,0.6475095785440613,0.34165280088740985,0.35665914221218964,0.29957805907172996,#DIV/0!,#DIV/0!,#DIV/0!
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.26195372750642676,0.13007380073800737,0.31290092658588736,0.2545439316525672,0.22286108555657774,0.2726913450138322,0.5355689630980778,0.4454186760192898,0.578002476269088
11,Livingston & Wyoming Counties PUMA,1.0,1.0,#DIV/0!,0.22745098039215686,#DIV/0!,0.22745098039215686,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.18027210884353742,0.18624161073825504,0.1790586630286494,0.19989165763813652,0.16702867072111208,0.2325983571119758,0.305965741287655,0.10909090909090909,0.41544117647058826
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.0,0.0,#DIV/0!,0.24424424424424424,0.0,0.3948220064724919,1.0,#DIV/0!,1.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.20510835913312694,0.31889290012033694,0.0,0.7031963470319634,0.0,1.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0,0.6984478935698448,#DIV/0!,0.6984478935698448,1.0,1.0,#DIV/0!
16,Monroe County (Central)--Rochester City (East) PUMA,0.17374517374517376,0.2571428571428571,0.0,0.431048951048951,0.2573051948051948,0.5224071702944942,0.5003046922608165,0.44739336492890996,0.5955631399317406
17,Westchester County (Northwest) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.24469413233458176,1.0,0.0,0.5696122059758424,0.5304548959136469,0.597079502433748,0.0,0.0,0.0
19,Onondaga County (Central)--Syracuse City PUMA,0.0,0.0,0.0,0.43591941705957993,0.36983842010771995,0.4963084495488105,1.0,1.0,1.0
20,Westchester County (Northeast) PUMA,0.06225165562913907,0.0,1.0,0.6169811320754717,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
21,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,0.2995850622406639,0.3217821782178218,0.27712854757929883,0.20952659263588544,0.31000813669650124,0.15321477428180574,0.20362737015663643,0.0,0.30456226880394577
23,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0,0.04889112903225806,0.0,0.08810172570390554,0.24264224983649443,0.08098159509202454,0.4271708683473389
24,Suffolk County (Central)--Islip Town (East) PUMA,0.0,0.0,0.0,0.6293800539083558,0.7012012012012012,0.0,#DIV/0!,#DIV/0!,#DIV/0!
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.5763546798029556,0.5763546798029556,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.10064412238325282,0.0,0.16005121638924455,0.23184466019417477,0.23915372254954473,0.22500626409421198,0.40961986035686576,0.3426758328926494,0.47368421052631576
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,0.0
28,Columbia & Greene Counties PUMA,0.45132743362831856,0.0,0.6455696202531646,0.6492890995260664,0.6115485564304461,1.0,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.18098341232227488,0.04049416609471517,0.2876498176133403,0.3502428494333513,0.3939393939393939,0.3220940550133097,0.0,0.0,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0934094447327452,0.0,0.2097902097902098,0.36584051724137934,0.0,0.4142769981696156,0.28,#DIV/0!,0.28
31,Monroe County (North & West) PUMA,0.0,#DIV/0!,0.0,0.06574923547400612,0.06574923547400612,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,1.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
34,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.7771739130434783,1.0,0.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
36,Suffolk County (East) PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
37,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.11840968020743302,0.0,0.2005856515373353,0.08537350910232266,0.0,0.15027624309392265,1.0,1.0,1.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0,0.4873853211009174,0.0,0.5233990147783252,1.0,1.0,#DIV/0!
40,Westchester County (Central)--White Plains City PUMA,0.0,0.0,0.0,0.09813084112149532,0.10899653979238755,0.0,0.0,0.0,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.19123841617523168,0.19785082174462706,0.18595250126326426,0.3016209665202242,0.2884041759880686,0.31066598622097474,0.2551813471502591,0.19877467665078286,0.2965087281795511
42,Erie County (North Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
43,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.22955145118733508,0.6083916083916084,0.0,0.6040723981900452,1.0,0.24406047516198703
44,Dutchess County (Southwest) PUMA,0.0,#DIV/0!,0.0,0.2581155977830562,0.43699731903485256,0.0,0.6635514018691588,0.0,1.0
45,Westchester County (Southeast) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Rockland County (North)--New City & Congers PUMA,0.4768211920529801,1.0,0.33613445378151263,0.27621483375959077,0.0,0.39416058394160586,0.7961432506887053,1.0,0.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,0.0,0.25165562913907286,0.2204724409448819,0.2609375,0.35502958579881655,#DIV/0!,0.35502958579881655
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,#DIV/0!,0.0,0.2798191068400226,0.26600284495021337,0.3333333333333333,1.0,1.0,#DIV/0!
49,Erie County (West Central)--Buffalo City (East) PUMA,0.48372093023255813,0.0,0.5810055865921788,0.26999576809140924,0.0,0.46946284032376745,0.48600883652430044,#DIV/0!,0.48600883652430044
50,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.7261904761904762,0.7261904761904762,#DIV/0!,0.0,0.0,#DIV/0!
51,Monroe County (South) PUMA,0.8721461187214612,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
52,Tompkins County PUMA,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,#DIV/0!,0.0,0.3145888594164456,0.28752886836027713,0.33758586849852795,#DIV/0!,#DIV/0!,#DIV/0!
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
55,NYC-Manhattan Community District 8--Upper East Side PUMA,0.06074766355140187,0.0,0.5,0.5540123456790124,0.3644067796610169,0.662621359223301,#DIV/0!,#DIV/0!,#DIV/0!
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.05215419501133787,0.12582056892778992,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.3047356470969835,0.3333333333333333,0.2927222478120682,0.2881602432736167,0.2221622788088045,0.3925584570745861,0.29499644296893524,0.2482174688057041,0.3482007095793208
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.3188405797101449,0.0,0.5,0.20614596670934698,0.23859649122807017,0.1875,0.09368191721132897,0.0,0.15140845070422534
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.20758928571428573,0.12109862671660425,0.3351749539594843,0.3976339139007558,0.48732394366197185,0.3493427704752275,0.3357079252003562,0.3179916317991632,0.3488372093023256
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.0,#DIV/0!,0.0,0.26124197002141325,0.441747572815534,0.18604651162790697,#DIV/0!,#DIV/0!,#DIV/0!
62,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
63,Cattaraugus & Allegany Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.54,#DIV/0!,0.54,1.0,1.0,#DIV/0!
64,Genesee & Orleans Counties PUMA,0.0,#DIV/0!,0.0,1.0,1.0,#DIV/0!,1.0,1.0,1.0
65,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,0.0,#DIV/0!
66,Sullivan & Ulster (West) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.0,0.0,0.0,0.1681882734834652,0.10361099712761593,0.23134028892455857,0.43766756032171583,0.3473895582329317,0.5281879194630873
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,0.0,1.0,1.0,#DIV/0!,0.8023715415019763,1.0,0.0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,0.04754136564903286,0.06462264150943396,0.030861354214647627,0.2161844271936015,0.15586945932781296,0.27252047315741584,0.6319612590799032,0.4352078239608802,0.8249400479616307
70,Jefferson & Lewis Counties PUMA,0.09124767225325885,0.0,0.14583333333333334,0.08628318584070796,0.0,0.2727272727272727,0.0,#DIV/0!,0.0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,#DIV/0!
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,0.0,0.0,0.0,0.3952702702702703,0.48547008547008547,0.3071786310517529,0.0,0.0,#DIV/0!
73,Orange County (Northeast)--Greater Newburgh City PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.4092920353982301,#DIV/0!,0.4092920353982301
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",0.05101327742837177,0.08420056764427625,0.031578947368421054,0.249789029535865,0.2156832055094694,0.3007483629560337,0.521087160262418,0.24088541666666666,0.678623718887262
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.14395886889460155,0.0,0.45528455284552843,0.06047103755569701,0.12258064516129032,0.0,0.7535014005602241,0.0,1.0
76,Erie County (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.576271186440678,0.0,1.0,0.0,0.0,#DIV/0!
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.0,0.0,0.0,0.21968866476649856,0.0,0.35494155154091395,0.485838779956427,0.6262833675564682,0.14640198511166252
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.10526315789473684,0.0,0.17162872154115585,0.1942186088527552,0.0,0.3302611367127496,0.35294117647058826,0.47560975609756095,0.0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.055257341332491314,0.05649350649350649,0.054087277197295634,0.32955850976530443,0.13581890812250333,0.4432291666666667,0.39202803328953134,0.48600143575017946,0.2449438202247191
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,0.0,0.24091544374563242,0.17704794261985654,0.2959349593495935,0.324820788530466,0.32728842832469773,0.3221601489757914
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,1.0,1.0,1.0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.17941585535465926,0.0,0.24037267080745342,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
83,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
84,Orange County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,0.0,#DIV/0!
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.09216589861751152,0.13782542113323124,0.06463527239150507,0.19217970049916805,0.14611260053619302,0.2675438596491228,0.19091554293825408,0.07246376811594203,0.26721120186697783
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0
87,Dutchess County (North & East) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,1.0
88,Putnam County PUMA,0.0,#DIV/0!,0.0,0.2722063037249284,0.0,1.0,1.0,#DIV/0!,1.0
89,Albany County (Outside Albany City) PUMA,0.0,#DIV/0!,0.0,0.2232597623089983,0.19679144385026737,0.32510288065843623,0.0,#DIV/0!,0.0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",0.10927456382001836,0.0,0.17246376811594202,0.14887063655030802,0.0355543850408217,0.2565707133917397,0.0,0.0,0.0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.0,0.0,0.0,0.3263556116015132,0.36294319481509724,0.2548435171385991,0.6749311294765841,0.54,0.7262357414448669
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",0.0,#DIV/0!,0.0,0.1259765625,0.20772946859903382,0.0,0.2898550724637681,#DIV/0!,0.2898550724637681
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
95,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.5870646766169154,0.0,1.0
96,Rensselaer County--Troy City PUMA,0.0,0.0,0.0,0.430828147438966,0.39906103286384975,0.45270816491511723,0.07142857142857142,1.0,0.0
97,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
99,Monroe County (East) PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.5602836879432624,0.0,0.8919354838709678,#DIV/0!,#DIV/0!,#DIV/0!
101,Erie County (South) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
102,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,#DIV/0!,0.0,0.4119530416221985,0.0,0.6531302876480541,0.5531914893617021,#DIV/0!,0.5531914893617021
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.1382636655948553,0.0,0.2549407114624506,0.035613340870548335,0.0,0.06354009077155824,0.0,0.0,#DIV/0!
104,NYC-Manhattan Community District 11--East Harlem PUMA,0.22326269098077872,0.33052985702270815,0.17880794701986755,0.2512645700461843,0.3007896625987078,0.2091556459816887,0.36156282998944034,0.23599269183922048,0.6457615437629222
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.09867452135493372,0.1740139211136891,0.06364617044228695,0.14216608438591777,0.2540853979968371,0.025767543859649123,0.6115288220551378,0.0,0.7052023121387283
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.0,0.0,0.0,0.2407624633431085,0.31873015873015875,0.17384196185286105,0.2539964476021314,0.2416,0.2694610778443114
107,Onondaga County (North) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,1.0,1.0,#DIV/0!
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,0.06307053941908713,0.0,0.10382513661202186,0.11811391223155929,0.07886676875957122,0.17942583732057416,0.08214285714285714,0.10210876803551609,0.0
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",0.0,#DIV/0!,0.0,0.5453216374269005,0.5453216374269005,#DIV/0!,0.0,0.0,0.0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,0.0,0.0,0.0,0.34845250800426897,0.0,0.5287449392712551,0.17811355311355312,0.05028571428571429,0.2635599694423224
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",0.05812774586008787,0.0,0.0817102137767221,0.23958935801041065,0.0920332936979786,0.4684618222058281,0.1469240837696335,0.13338856669428334,0.19781931464174454
112,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
113,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.018313458262350937,0.0,0.028067885117493474,0.08302354399008674,0.10584518167456557,0.0,0.1855921855921856,0.0,0.3645083932853717
114,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.0,0.0,0.0,0.08043775649794802,0.0,0.16153846153846155,0.1371191135734072,0.0,1.0
115,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.18686868686868688,#DIV/0!,0.18686868686868688
116,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.3246268656716418,0.5576923076923077,0.0,#DIV/0!,#DIV/0!,#DIV/0!
117,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0
118,NYC-Brooklyn Community District 4--Bushwick PUMA,0.2433487052146151,0.09719058466211086,0.3715046604527297,0.35925984005018036,0.36337124526100906,0.35447761194029853,0.24838411819021236,0.3174061433447099,0.20124320124320125
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.15629322268326418,0.10574412532637076,0.21323529411764705,0.9099886061526775,0.8671472708547889,0.9350180505415162,1.0,1.0,#DIV/0!
120,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.19196940726577438,0.0,0.25534079348931843,0.3351226993865031,0.19685990338164253,0.5756302521008403,0.1588235294117647,1.0,0.0
121,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,0.08408124704770903,0.0,0.13536121673003804,0.1339811542991755,0.13913639479095272,0.13009808982963345,0.35364635364635366,0.0,0.5363636363636364
122,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,0.0,0.0,0.0,0.1908146528157463,0.2154377880184332,0.16857440166493237,0.0,0.0,0.0
123,Suffolk County (Northwest)--Huntington Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
124,Orange County (Southeast) PUMA,0.0,0.0,0.0,0.27037037037037037,0.0,0.32662192393736017,1.0,1.0,#DIV/0!
125,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0
126,Suffolk County (Northwest)--Smithtown Town PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
127,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",0.0,#DIV/0!,0.0,0.2169230769230769,0.5053763440860215,0.0,0.48909657320872274,#DIV/0!,0.48909657320872274
128,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",0.0,0.0,0.0,0.23136908111584534,0.2291981845688351,0.2323852236515992,0.43607356525592733,0.4967124925283921,0.40035211267605636
