,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,0.04624946802719742,0.024673967374017357,0.06290223586146428,0.09081300321228117,0.062406595391765615,0.1302935313541397,0.21066768994627783,0.17222060110884155,0.29710049855680926
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.08978675645342311,0.167276529012023,0.0,0.28640376692171865,0.14004829251466022,0.3622230164403145,0.30246389124893797,0.40574282147315854,0.08244680851063829
2,Ulster County (East) PUMA,0.2571138211382114,0.2490118577075099,0.26569037656903766,0.3002056202878684,0.2022346368715084,0.45567375886524825,1.0,1.0,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,0.17280453257790368,0.0,0.28328173374613,0.6025963149078727,0.5255623721881391,0.6560283687943262,0.0,#DIV/0!,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,#DIV/0!,0.0,0.20167189132706373,0.0,0.31129032258064515,1.0,#DIV/0!,1.0
5,Ontario & Yates Counties PUMA,0.4859437751004016,0.7055393586005831,0.0,0.4456596035543404,0.380327868852459,0.492379835873388,0.3664717348927875,0.45083932853717024,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0,0.1953770879028176,0.09352309032820215,0.3365539452495974,0.43973941368078173,0.0,0.6214039125431531
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.011661807580174927,0.022099447513812154,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.3652094717668488,0.0,0.38336520076481834,0.35019455252918286,0.3360774818401937,0.3788027477919529,0.6011560693641619,1.0,0.5035971223021583
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.2663642255346727,0.2081513828238719,0.290937019969278,0.38458364849068283,0.2874251497005988,0.44386625332152346,0.8452583070579675,0.8564609614728946,0.8390739695087521
11,Livingston & Wyoming Counties PUMA,0.8412698412698413,1.0,0.0,0.1657142857142857,0.0,0.1858974358974359,1.0,#DIV/0!,1.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.15851119208745446,0.0,0.1876155268022181,0.34772580496355754,0.3272065514103731,0.3688248502994012,0.7755463673951565,0.5338842975206611,0.9099264705882353
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.08730964467005076,0.0,0.13782051282051283,0.08680725846002943,0.0,0.1494301392992824,0.6926877470355731,0.9207708779443254,0.4972477064220184
