,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,-1.7938518313637555,-0.03619334506205998,0.04598381168755824,-0.07348739056911475,0.1495900913502598,-0.2182147231880925,-0.3281332455122453,-0.32204380466534993,-0.8809604457098155,-0.12419703471234937,0.09368309617065697,-0.13105689423218053,-0.26702235439334066,-0.2892518207879517,-0.2238388938434918,-0.26037776392978185,E,C,C,C,C,C,C-,C-,D,C,C,C,C,C-,C-,C-
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.43110345300457403,-0.176704392234538,0.08729068818163192,0.08921527254083163,0.3430739302583761,-0.734030400160629,0.007131909950391335,0.006725780220091146,#DIV/0!,-0.2185282988559052,-1.4368848644832877,-1.4333869725086092,#DIV/0!,-0.6433634381723392,-0.05673072312198177,#DIV/0!,B-,C,C,C,B-,C-,C,C,#DIV!0,C,D-,D-,C,#DIV!0,C-,#DIV!0
2,Ulster County (East) PUMA,#DIV/0!,1.7176928299585401,#DIV/0!,#DIV/0!,#DIV/0!,-0.715858849303855,-0.7387170508255443,#DIV/0!,0.30008478432759805,-0.04479485204590584,-1.4976171345861706,-1.4941153189032816,#DIV/0!,8.404607663833193,-0.4629674675326793,#DIV/0!,#DIV!0,A-,#DIV!0,#DIV!0,#DIV!0,C-,C-,#DIV!0,B-,C,D-,D-,C-,#DIV!0,A,#DIV!0
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,1.672789676321461,0.2592576795278172,0.26117763319806636,#DIV/0!,2.5813217967774165,-0.14566855326278627,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.6916485462119442,#DIV/0!,#DIV/0!,#DIV!0,A-,B-,B-,#DIV!0,A,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,A-,#DIV!0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,-1.0712360016574187,#DIV/0!,#DIV/0!,#DIV/0!,-1.033194428094207,-0.1630693313161511,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,D,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,#DIV/0!,-0.20066317980186638,#DIV/0!,#DIV/0!,0.391269402142398,0.14526868738599613,-0.4020129730481617,#DIV/0!,#DIV/0!,-0.4037374014052436,-3.008104087632093,-3.004504684454952,#DIV/0!,-0.6187588485869701,-0.4535389205370665,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,B-,C,C-,#DIV!0,#DIV!0,C-,E,E,C-,#DIV!0,C-,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,-0.01107858506899067,#DIV/0!,#DIV/0!,#DIV/0!,-0.5819503728742806,0.9486758805778913,#DIV/0!,#DIV/0!,#DIV/0!,-0.9845279975341071,-0.9810593308189148,#DIV/0!,0.3132689323502171,#DIV/0!,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C-,B,#DIV!0,#DIV!0,#DIV!0,D,D,#DIV!0,#DIV!0,B-,#DIV!0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,#DIV/0!,0.2592576795278172,0.26117763319806636,#DIV/0!,0.6616567554996834,#DIV/0!,#DIV/0!,#DIV/0!,0.015493684220486352,-0.5253178587566265,-0.5218788600678199,0.9480246386860838,-0.14901660427045102,0.1408001586776949,#DIV/0!,#DIV!0,#DIV!0,B-,B-,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,C,C-,C-,C,B,C,#DIV!0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,-0.6471659217811953,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.12721706873657584,#DIV/0!,#DIV/0!,-0.19131609294386773,0.5192694753579944,0.5226409867638042,0.5867745222867012,#DIV/0!,0.8469971417649779,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C,B-,B-,B,B-,#DIV!0,#DIV!0
11,Livingston & Wyoming Counties PUMA,#DIV/0!,-0.01107858506899067,#DIV/0!,#DIV/0!,#DIV/0!,-1.033194428094207,-0.5674389773306341,#DIV/0!,#DIV/0!,-0.1113379901823721,#DIV/0!,#DIV/0!,#DIV/0!,0.14801864964505285,0.10779340223064063,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,D,C-,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C,#DIV!0,C,#DIV!0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,#DIV/0!,-1.154970300699905,0.2592576795278172,0.26117763319806636,#DIV/0!,-1.033194428094207,-0.7103035404576851,#DIV/0!,#DIV/0!,0.15630575419304066,-0.6204619303754819,-0.6170167847474226,-1.393131556197112,-0.6433634381723392,-0.14437907425221347,#DIV/0!,#DIV!0,D,B-,B-,#DIV!0,D,C-,#DIV!0,#DIV!0,C,C-,C-,C,D-,C-,#DIV!0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.08034307347509193,0.6496652774329275,0.6530283644034518,0.6243747729331527,-0.3545685530364955,-0.007888946733904596,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,B-,B-,C,B-,C-,#DIV!0
