,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,-2.8783845726006785,-0.12194974275807928,0.14912484045932786,-0.1608264178603184,-0.1792438889346021,-0.22366972039776925,-0.15968355026285924,-0.5106618646221398,-0.19506813764013148,-0.12191740658438832,0.1911395926708645,0.10005712581614527,0.03860667344607415,-0.16506450889502575,-0.28500780205070575,-0.06246492331959534,E,C,C,C,C,C,C,C-,C,C,C,C,C-,C,C,C
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",#DIV/0!,4.834558519957066,#DIV/0!,#DIV/0!,#DIV/0!,-0.7936599967225921,-1.2235420223789333,#DIV/0!,0.7462290272029071,-0.0405078035717988,-1.8002172272546477,-1.7995851421474705,-1.3374828557528178,-0.05560687003987249,-0.9301163383532393,-0.7453267442738485,#DIV!0,A,#DIV!0,#DIV!0,#DIV!0,D,D,#DIV!0,B-,C,E,E,D,D-,C,C-
2,Ulster County (East) PUMA,0.5147994138020704,-0.7871150479247875,#DIV/0!,#DIV/0!,#DIV/0!,-0.07963821499945826,1.2101254668882353,#DIV/0!,#DIV/0!,-0.12676394010024195,0.1525554962829562,0.15343426409767105,0.6027036668454884,-0.27526029653234024,-0.3510025735412508,#DIV/0!,B-,D,#DIV!0,#DIV!0,#DIV!0,C,B,#DIV!0,#DIV!0,C,C,C,C-,B-,C-,#DIV!0
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,0.01693808450868473,#DIV/0!,#DIV/0!,#DIV/0!,-0.3937247319305442,-0.4835855179446594,#DIV/0!,0.04296039173156331,2.0860184126419634,0.36298461653904146,0.36388996667155693,-5.27450316432193,0.06799152063734876,2.389177278797096,0.005502717528091569,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C-,C-,#DIV!0,C,A,B-,B-,A,E,C,C
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,3.257707159755542,0.10350012853705849,0.11105505817676264,#DIV/0!,0.0706326115047048,1.0036806795962985,#DIV/0!,0.11928655937145807,-0.9036764356249556,0.5486943661778813,0.549623175970246,#DIV/0!,-0.034621942572339096,2.796339519347436,#DIV/0!,#DIV!0,A,C,C,#DIV!0,C,B,#DIV!0,C,D,B-,B-,A,#DIV!0,C,#DIV!0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,-0.49629239368956163,#DIV/0!,#DIV/0!,#DIV/0!,1.3684126575856004,-0.3380499363126391,#DIV/0!,#DIV/0!,0.4240638164231565,#DIV/0!,#DIV/0!,#DIV/0!,-0.12909018522965493,1.065733189422801,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,A-,C-,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,B,#DIV!0,C,#DIV!0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.031893413193551226,0.00571797260493996,#DIV/0!,#DIV/0!,#DIV/0!,-0.17684462868748752,-0.5852583373205354,#DIV/0!,#DIV/0!,0.7000944072754456,0.6634307232719239,0.6643740270578188,0.971955436186644,-0.3766919069791296,-0.023857004440840216,#DIV/0!,C,C,#DIV!0,#DIV!0,#DIV!0,C,C-,#DIV!0,#DIV!0,B-,B-,B-,C,B,C-,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.6200677888246678,#DIV/0!,#DIV/0!,#DIV/0!,-0.08988163163884527,0.45245648493513024,0.4533731375415478,#DIV/0!,-0.22238818497736793,0.46667855732038815,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C,B-,B-,B-,#DIV!0,C,#DIV!0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,0.8207868492834001,#DIV/0!,#DIV/0!,#DIV/0!,-0.3642089702966762,-0.6921891802062382,#DIV/0!,#DIV/0!,-0.22212912115878955,-0.628861434383901,-0.6280813785400413,-1.9893756973922745,-0.2687006549543484,-0.5472273084660562,#DIV/0!,#DIV!0,B,#DIV!0,#DIV!0,#DIV!0,C-,C-,#DIV!0,#DIV!0,C,C-,C-,C-,E,C-,#DIV!0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,-0.7666364154445059,#DIV/0!,#DIV/0!,#DIV/0!,3.894502273005837,-0.6196021682137076,#DIV/0!,-0.5044274967033268,-0.2984562342493076,0.21520700734821113,0.2160936895731359,-0.1900447883650208,-0.21813131233513294,-0.17837697981318004,-0.13687658779208875,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,A,C-,#DIV!0,C-,C-,C,C,C,C,C,C
11,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,0.2582297938196647,0.26577770867707246,-0.05173488954604558,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4432494648968039,0.44416495443257625,0.09765590017766732,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,B-,B-,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,B-,#DIV!0,C,#DIV!0,#DIV!0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,#DIV/0!,-0.24253535584955555,-0.6662880554789875,-0.658698226930174,-0.103760944671964,#DIV/0!,0.005754732449091865,#DIV/0!,0.20804744777932055,0.04623438396119482,-0.01134199025852656,-0.010483926684121589,-0.23186094109143363,0.8341816304171732,0.054586231036468306,0.12705183359429645,#DIV!0,C,C-,C-,C,#DIV!0,C,#DIV!0,C,C,C,C,C,C,B,C
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,#DIV/0!,-1.7729217895871676,#DIV/0!,#DIV/0!,#DIV/0!,-0.3254883924961725,0.18973549019627586,#DIV/0!,#DIV/0!,-0.08262311716016328,0.283624623645691,0.2845199486802107,#DIV/0!,-0.24449944942437202,-0.08889393906858709,#DIV/0!,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,C-,C,#DIV!0,#DIV!0,C,B-,B-,C,#DIV!0,C,#DIV!0
